hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency,robot_time_min,total_delivery_min
오리환승,8930e024953ffff,구미동,Unknown,983.9,0.98,0,0,0,0.42303821053383994,,0.98
오리환승,8930e0249dbffff,구미동,Unknown,459.0,0.46,0,0,0,0.42303821053383994,,0.46
오리환승,8930e02490fffff,구미동,Unknown,1617.2,1.62,0,0,0,0.42303821053383994,,1.62
오리환승,8930e0249d3ffff,구미동,Unknown,562.9,0.56,0,0,0,0.42303821053383994,,0.56
오리환승,8930e024887ffff,구미동,Unknown,476.7,0.48,0,0,0,0.42303821053383994,,0.48
금곡동,8930e024d8fffff,정자1동,Unknown,778.1,0.78,0,0,0,0.5376324480322402,,0.78
금곡동,8930e024cafffff,금곡동,Unknown,1088.1,1.09,0,0,0,0.2853172252460388,,1.09
금곡동,8930e024ca7ffff,금곡동,Unknown,1105.7,1.11,0,0,0,0.2853172252460388,,1.11
금곡동,8930e026b77ffff,금곡동,Unknown,1588.0,1.59,0,0,0,0.2853172252460388,,1.59
금곡동,8930e024d17ffff,금곡동,Unknown,588.2,0.59,0,0,0,0.2853172252460388,,0.59
분당도서관 부설주차장,8930e024d87ffff,정자1동,Unknown,987.4,0.99,0,0,0,0.5376324480322402,,0.99
분당도서관 부설주차장,8930e024dbbffff,정자1동,Unknown,733.0,0.73,0,0,0,0.5376324480322402,,0.73
분당도서관 부설주차장,8930e1514cbffff,구미동,Unknown,2228.2,2.23,0,0,0,0.42303821053383994,,2.23
분당도서관 부설주차장,8930e024987ffff,구미동,Unknown,1222.3,1.22,0,0,0,0.42303821053383994,,1.22
분당도서관 부설주차장,8930e15324fffff,구미동,Unknown,1061.2,1.06,0,0,0,0.42303821053383994,,1.06
구미도서관,8930e02498fffff,구미동,Unknown,1352.2,1.35,0,0,0,0.42303821053383994,,1.35
구미도서관,8930e024d6bffff,구미동,Unknown,442.4,0.44,0,0,0,0.42303821053383994,,0.44
구미도서관,8930e02499bffff,구미동,Unknown,897.0,0.9,0,0,0,0.42303821053383994,,0.9
구미도서관,8930e024d6fffff,구미동,Unknown,654.3,0.65,0,0,0,0.42303821053383994,,0.65
구미도서관,8930e0248b7ffff,구미동,Unknown,327.4,0.33,0,0,0,0.42303821053383994,,0.33
