h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e153013ffff,37.382330204152815,127.12605536970356,41135580,서현1동,분당구,0.9968130393916227,0.6447023797590359,0.855968775538588,0.0,0.38750000000000007,0.8440178265341103,1.0,0.8,0.0,Unknown,,7,98,매우 높음,부적합
8930e024cafffff,37.350658456575616,127.0945785944842,41135662,금곡동,분당구,0.27166777345719545,0.30579140292930385,0.2853172252460388,1.0,1.0,1.0,1.0,0.8,0.8,Unknown,,0,0,높음,최적
8930e1c912fffff,37.428028701499755,127.06963669119068,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,0.7223174494343502,1.0,0.8,0.0,Unknown,,0,162,매우 낮음,부적합
8930e15264bffff,37.41058121855873,127.12844224248205,41135620,야탑1동,분당구,0.5540292177394195,0.3964888625358763,0.49101307565800223,0.0,0.30000000000000004,0.8628728145354816,1.0,0.8,0.0,Unknown,,18,98,매우 높음,부적합
8930e026a07ffff,37.358944368413525,127.07433363512007,41135665,구미1동,분당구,0.31513740047098093,0.22356132941446688,0.2785069720483753,1.0,1.0,0.9880013712718546,1.0,0.8,0.7904010970174837,Unknown,,0,7,높음,높음
8930e152167ffff,37.43007419291041,127.17731634731331,41133570,상대원1동,중원구,0.14648822460350558,0.31782397855254707,0.21502252618312218,0.0,0.38750000000000007,0.7908810421666094,1.0,0.8,0.0,Unknown,,7,129,보통,부적합
8930e152543ffff,37.440769992636525,127.14935860718965,41133525,중앙동,중원구,0.04532117591399857,0.09557863150110521,0.06542415814884123,0.0,0.825,0.5022935779816513,1.0,0.8,0.0,Unknown,,2,436,매우 낮음,부적합
8930e1c8b43ffff,37.45296513244273,127.13202656262553,41131620,복정동,수정구,0.11696957475334412,0.1752065572430349,0.14026436774922044,0.0,0.65,0.9091532396297566,1.0,0.8,0.0,Unknown,,4,57,낮음,부적합
8930e1c9027ffff,37.423262530933854,127.05090718967962,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,매우 낮음,부적합
8930e1c9ed3ffff,37.418472591590614,127.06621898157583,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,보통,부적합
