admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
41131510,1,9695394004,852127,0.0828436745842234
41131510,2,3136615980,404178,0.02680126186058967
41131510,3,5794838092,520161,0.04951481919804917
41131510,4,12769279573,926750,0.10910892751590574
41131510,5,14359221100,980632,0.12269440928347386
41131510,6,13248285081,961459,0.11320185828410669
41131510,7,20053743759,1350443,0.17135206898044458
41131510,8,21732402197,1287601,0.18569560502636068
41131510,9,12606981140,887837,0.10772214544563255
41131510,10,3635638381,287862,0.03106522982121365
41131520,1,3283941269,422994,0.028888073777273093
41131520,2,3389034524,491247,0.029812554897746438
41131520,3,8066408261,702183,0.07095833264774905
41131520,4,16639797497,1160742,0.14637645997810328
41131520,5,16893213840,1136298,0.1486057050873436
41131520,6,16044960167,1138676,0.14114381320797734
41131520,7,20230253279,1420092,0.17796087121699158
41131520,8,19093474953,1264506,0.16796089452438376
41131520,9,8235092557,787596,0.07244220948620397
41131520,10,1801921207,214726,0.01585108517622791
41131530,1,9899503108,740843,0.05173544588504294
41131530,2,4707622210,456099,0.02460233927255021
41131530,3,12553400156,814858,0.06560488414001188
41131530,4,23416548962,1461099,0.12237640499945883
41131530,5,26431644983,1610633,0.13813349253515514
41131530,6,26561560519,1678794,0.13881243955997327
41131530,7,32996534140,2033739,0.1724420294402863
41131530,8,32574362558,1783251,0.17023573334678707
41131530,9,17716785197,1042676,0.09258906955396688
41131530,10,4490598881,272841,0.023468161266767477
41131540,1,7845901360,907880,0.06372552432766783
41131540,2,3528923420,617864,0.028662416838195724
41131540,3,5780978968,776903,0.046953931608314285
41131540,4,16476703325,1483455,0.13382612276138187
41131540,5,17306651929,1387003,0.14056708310846885
41131540,6,12222186343,1179232,0.09927033203717667
41131540,7,20106505633,1620668,0.16330789224453512
41131540,8,23443012407,1602750,0.19040747377635872
41131540,9,13054478270,1120803,0.1060303251862315
41131540,10,3354890666,362938,0.02724889811166944
41131550,1,4892716184,509371,0.054697659325828714
41131550,2,2655683616,303113,0.029688964624634544
41131550,3,4884441468,406275,0.05460515291839268
