id,name,type,subtype,address,capacity,facility,avg_monthly_entries,idle_score,lat,lon
204-1-000001,수상4,공영,노상,경기도 성남시 수정구 산성대로 415,14,주차장,841.9166666666666,0.9663814933498381,37.449054,127.158354
204-1-000002,수상5,공영,노상,경기도 성남시 수정구 산성대로 395,17,주차장,942.0277777777777,0.9623839646300788,37.447459,127.157645
204-1-000003,수상7,공영,노상,경기도 성남시 수정구 산성대로 285,14,주차장,787.6388888888888,0.9685488549254234,37.441664,127.148493
204-1-000004,수상9-10,공영,노상,경기도 성남시 수정구 산성대로 195,32,주차장,1722.1944444444443,0.931231192259613,37.437458,127.139875
204-1-000005,수상11,공영,노상,경기도 성남시 수정구 산성대로 191,30,주차장,1231.6666666666667,0.9508184174711083,37.436381,127.138351
204-1-000006,수상11-1,공영,노상,경기도 성남시 수정구 산성대로 183,22,주차장,1292.3055555555557,0.9483970508797558,37.436937,127.138785
204-1-000007,수상1,공영,노상,경기도 성남시 수정구 산성대로 465,10,주차장,1065.4166666666667,0.9574569328395209,37.453387,127.16023
204-1-000008,수상1-2,공영,노상,경기도 성남시 수정구 산성대로 451,7,주차장,,1.0,37.453351,127.159145
204-1-000009,수상2,공영,노상,경기도 성남시 수정구 산성대로 478,31,주차장,2012.361111111111,0.9196445704486793,37.454261,127.160291
204-1-000010,수상3,공영,노상,경기도 성남시 수정구 산성대로 431,7,주차장,,1.0,37.450477,127.158994
204-1-000011,수상20,공영,노상,경기도 성남시 수정구 산성대로 478,35,주차장,1720.9722222222224,0.9312799967167911,37.453387,127.16023
204-1-000012,산성대로589,공영,노상,경기도 성남시 수정구 산성대로 589,24,주차장,1374.0833333333333,0.9451315890176661,37.462437,127.168351
205-1-000013,중상24,공영,노상,경기도 성남시 중원구 산성대로 380,30,주차장,1465.8055555555557,0.9414690363449011,37.445721,127.157813
205-1-000014,중상25-26,공영,노상,경기도 성남시 중원구 산성대로 326번길2,26,주차장,1383.0833333333333,0.9447722107420828,37.446331,127.157831
205-1-000015,중상27,공영,노상,경기도 성남시 중원구 산성대로 414,27,주차장,1118.611111111111,0.9553328297600706,37.44866,127.159022
205-1-000016,중상31,공영,노상,경기도 성남시 중원구 산성대로 464,10,주차장,596.8055555555555,0.9761690053984384,37.453062,127.160916
205-1-000017,중상86-87,공영,노상,경기도 성남시 중원구 광명로 340,15,주차장,,1.0,37.445576,127.163549
205-1-000018,중상88,공영,노상,경기도 성남시 중원구 광명로 351,12,주차장,686.0833333333334,0.9726040616400294,37.446375,127.16474
205-1-000019,중상89,공영,노상,경기도 성남시 중원구 광명로 335,13,주차장,973.25,0.9611372325876234,37.445631,127.162621
205-1-000020,중상13,공영,노상,경기도 성남시 중원구 산성대로280,36,주차장,1116.9166666666667,0.9554004904847946,37.440713,127.148265
205-1-000021,중상14,공영,노상,경기도 성남시 중원구 산성대로286,33,주차장,982.1944444444445,0.9607800726964574,37.441029,127.148962
205-1-000022,중상16,공영,노상,경기도 성남시 중원구 산성대로300,23,주차장,1023.7916666666667,0.9591190573640934,37.441485,127.150242
205-1-000023,중상19-20,공영,노상,경기도 성남시 중원구 산성대로330,14,주차장,1256.5,0.9498267996366286,37.443111,127.153741
205-1-000024,중상21,공영,노상,경기도 성남시 중원구 산성대로340,18,주차장,1057.25,0.9577830353488465,37.443322,127.154405
205-1-000025,중상22-23,공영,노상,경기도 성남시 중원구 산성대로350,17,주차장,,1.0,37.443767,127.15535
205-1-000026,중상1,공영,노상,경기도 성남시 중원구 산성대로106,14,주차장,939.861111111111,0.9624704816223489,37.433587,127.131005
205-1-000027,중상2,공영,노상,경기도 성남시 중원구 산성대로116,14,주차장,937.4444444444443,0.9625669813444963,37.433809,127.132067
205-1-000028,중상3,공영,노상,경기도 성남시 중원구 산성대로112,30,주차장,1336.5833333333333,0.946628998499263,37.433755,127.131593
205-1-000029,중상6-7,공영,노상,경기도 성남시 중원구 산성대로150,40,주차장,1282.9166666666667,0.9487719578462593,37.434576,127.135833
205-1-000030,중상8-9,공영,노상,경기도 성남시 중원구 산성대로162,48,주차장,1293.8333333333333,0.9483360453082833,37.434935,127.137276
205-1-000031,중상10,공영,노상,경기도 성남시 중원구 산성대로180,51,주차장,1965.5277777777776,0.9215146685123625,37.435942,127.138991
205-1-000032,중상11,공영,노상,경기도 성남시 중원구 산성대로190,48,주차장,1715.0833333333333,0.9315151454650122,37.436381,127.140051
205-1-000033,중상12,공영,노상,경기도 성남시 중원구 산성대로198,42,주차장,1721.3333333333333,0.9312655772180793,37.436697,127.140624
205-1-000034,중상32-75,공영,노상,경기도 성남시 중원구 사기막골로47,210,주차장,1711.6944444444443,0.9316504669144602,37.438968,127.172547
205-1-000035,중상33,공영,노상,경기도 성남시 중원구 사기막골로52,50,주차장,894.4444444444445,0.964284010883394,37.434862,127.171173
205-1-000036,중상34-35,공영,노상,경기도 성남시 중원구 사기막골로18,46,주차장,616.9166666666666,0.9753659502394192,37.433205,127.16806
205-1-000037,중상36,공영,노상,경기도 성남시 중원구 둔촌대로 423,20,주차장,527.1944444444445,0.9789486410731656,37.433131,127.164079
205-1-000038,중상38-39,공영,노상,경기도 성남시 중원구 둔촌대로410,19,주차장,522.6666666666666,0.9791294394031659,37.432881,127.162491
205-1-000039,중상40,공영,노상,경기도 성남시 중원구 둔촌대로482,20,주차장,593.7777777777778,0.9762899073491749,37.431911,127.169711
205-1-000040,중상41,공영,노상,경기도 성남시 중원구 둔촌대로474,17,주차장,727.0555555555555,0.9709680031323588,37.431318,127.169267
205-1-000041,중상41-1,공영,노상,경기도 성남시 중원구 둔촌대로484,10,주차장,576.0277777777777,0.976998681170464,37.431276,127.170632
205-1-000042,중상79상-중,공영,노상,경기도 성남시 중원구 금빛로 2번길,135,주차장,,1.0,37.443671,127.172221
205-1-000043,중상79하,공영,노상,경기도 성남시 중원구 금빛로 2번길,74,주차장,1626.5,0.9350523594182065,37.444641,127.176881
205-1-000044,중상83,공영,노상,경기도 성남시 중원구 순환로233,22,주차장,,1.0,37.444074,127.178536
205-1-000045,중상47-1,공영,노상,경기도 성남시 중원구 둔촌대로285,13,주차장,651.3888888888888,0.9739894427085587,37.429838,127.149781
205-1-000046,중상48-49,공영,노상,경기도 성남시 중원구 둔촌대로265,19,주차장,774.25,0.9690834855699639,37.429251,127.147527
205-1-000047,중상50,공영,노상,경기도 성남시 중원구 둔촌대로225,18,주차장,545.3055555555555,0.9782254477531648,37.428469,127.143157
205-1-000048,중상57-58,공영,노상,경기도 성남시 중원구 둔촌대로258,15,주차장,776.6666666666666,0.9689869858478166,37.428811,127.148061
205-1-000049,중상66,공영,노상,경기도 성남시 중원구 둔촌대로125,8,주차장,,1.0,37.429119,127.132692
205-1-000050,중상67,공영,노상,경기도 성남시 중원구 둔촌대로120,13,주차장,980.8333333333334,0.9608344231146783,37.428871,127.132021
205-1-000051,중상68-69,공영,노상,경기도 성남시 중원구 둔촌대로140,19,주차장,1239.5,0.9505056252682859,37.428685,127.134309
205-1-000052,중상70-71,공영,노상,경기도 성남시 중원구 산성대로586,14,주차장,,1.0,37.461744,127.168526
205-1-000053,중상70-1,공영,노상,경기도 성남시 중원구 산성대로494,18,주차장,1377.888888888889,0.9449796296850892,37.455309,127.162341
205-1-000054,중상70-2,공영,노상,경기도 성남시 중원구 산성대로500,22,주차장,1692.0277777777776,0.9324357749981421,37.455716,127.16269
205-1-000055,중상70-4-5,공영,노상,경기도 성남시 중원구 산성대로540,10,주차장,,1.0,37.458714,127.165251
205-1-000056,중상70-6,공영,노상,경기도 성남시 중원구 산성대로550,14,주차장,1132.5555555555554,0.9547760152713584,37.459434,127.16589
205-1-000057,중상70-7-8,공영,노상,경기도 성남시 중원구 산성대로570,14,주차장,,1.0,37.460791,127.167258
205-1-000058,중상44-46,공영,노상,경기도 성남시 중원구 둔촌대로331,19,주차장,602.5,0.9759416209956775,37.43101,127.154592
205-1-000059,중상60-63,공영,노상,경기도 성남시 중원구 둔촌대로352,14,주차장,,1.0,37.431331,127.157281
205-1-000060,중상65,공영,노상,경기도 성남시 중원구 둔촌대로 135번길,12,주차장,684.9166666666666,0.9726506477127902,37.429041,127.133821
205-1-000061,중상51-53,공영,노상,경기도 성남시 중원구 둔촌대로 183번길,29,주차장,593.5,0.9763009992712607,37.429431,127.139451
