chart_id,rank,label,GU_NM,value1,value2,value3,category
dong_top15,1,수내1동,분당구,0.7774159949251578,10.883823928952209,14.0,
dong_top15,2,야탑1동,분당구,0.6807534932036852,10.892055891258963,16.0,
dong_top15,3,태평4동,수정구,0.6454353249079487,3.2271766245397435,5.0,
dong_top15,4,정자1동,분당구,0.640844424759958,11.535199645679244,18.0,
dong_top15,5,신흥3동,수정구,0.5863155539839904,2.9315777699199517,5.0,
dong_top15,6,성남동,중원구,0.508153723088836,14.228304246487408,28.0,
dong_top15,7,위례동,수정구,0.5018206070269415,21.578286102158486,43.0,
dong_top15,8,서현1동,분당구,0.49757514797922636,49.25993964994341,99.0,
dong_top15,9,백현동,분당구,0.49309259478025247,13.313500059066817,27.0,
dong_top15,10,삼평동,분당구,0.46860280345974675,18.275509334930124,39.0,
dong_top15,11,정자동,분당구,0.4667082256176748,7.467331609882796,16.0,
dong_top15,12,신흥1동,수정구,0.46297613055698916,1.8519045222279567,4.0,
dong_top15,13,태평3동,수정구,0.45547811619450174,1.821912464778007,4.0,
dong_top15,14,운중동,분당구,0.428018405116932,103.15243563318062,241.0,
dong_top15,15,서현2동,분당구,0.42611810568550473,4.687299162540552,11.0,
hourly,1,00:00~06:59,,29285714.0,,,새벽/심야
hourly,2,07:00~08:59,,35534075.0,,,오전
hourly,3,09:00~10:59,,57078701.0,,,오전
hourly,4,11:00~12:59,,120340160.0,,,점심
hourly,5,13:00~14:59,,109780994.0,,,오후
hourly,6,15:00~16:59,,98305051.0,,,저녁/야간
hourly,7,17:00~18:59,,118076964.0,,,저녁/야간
hourly,8,19:00~20:59,,101984992.0,,,새벽/심야
hourly,9,21:00~22:59,,57918142.0,,,기타
hourly,10,23:00~23:59,,14361615.0,,,기타
mode_compare,1,구미1동,,1.2418,14.4167,9.1339,
mode_compare,2,금곡동,,0.94,13.8333,8.8682,
mode_compare,3,금곡동,,0.4978,13.9333,9.3801,
mode_compare,4,구미1동,,1.2886,14.3167,8.9954,
mode_compare,5,금곡동,,1.1975,7.8798,3.0044,
mode_compare,6,정자3동,,0.53,12.5833,8.0751,
mode_compare,7,판교동,,1.4519,8.7041,3.5424,
mode_compare,8,운중동,,1.1294,7.6593,2.8605,
mode_compare,9,운중동,,0.7343,14.4833,9.676,
mode_compare,10,판교동,,1.4168,8.5905,3.4683,
mode_compare,11,판교동,,0.8556,13.05,8.2083,
mode_compare,12,운중동,,0.8849,6.8671,2.3434,
mode_compare,13,운중동,,1.2447,14.1667,8.8952,
mode_compare,14,운중동,,0.7693,6.4926,2.099,
mode_compare,15,시흥동,,0.885,6.8675,2.3437,
mode_compare,16,운중동,,0.5449,13.4167,8.8478,
mode_compare,17,운중동,,0.1559,11.4833,7.3898,
mode_compare,18,시흥동,,1.4699,8.7626,3.5806,
mode_compare,19,운중동,,1.175,7.8069,2.9568,
mode_compare,20,성남동,,1.4628,24.3333,18.2876,
mode_compare,21,도촌동,,1.1603,14.4833,9.2738,
mode_compare,22,야탑3동,,0.9587,13.2333,8.2841,
mode_compare,23,수진1동,,1.2204,20.1333,14.5512,
mode_compare,24,신흥1동,,0.7829,16.65,11.6757,
mode_compare,25,태평1동,,1.3444,22.05,16.2437,
mode_compare,26,태평2동,,0.6435,17.7333,12.83,
mode_compare,27,신흥2동,,0.7586,19.05,13.9644,
mode_compare,28,중앙동,,0.8481,18.7667,13.6125,
mode_compare,29,중앙동,,1.3449,20.2167,14.5124,
mode_compare,30,신흥2동,,0.8188,6.653,2.2037,
mode_compare,31,단대동,,1.3072,25.5,19.5359,
mode_compare,32,신흥2동,,0.0579,11.6333,7.624,
mode_compare,33,도촌동,,0.941,14.2,9.2134,
mode_compare,34,도촌동,,1.215,15.7333,10.4023,
mode_compare,35,야탑1동,,0.3361,12.3167,8.0064,
mode_compare,36,야탑3동,,0.4882,12.3333,7.8785,
mode_compare,37,도촌동,,1.1301,14.7167,9.5227,
mode_compare,38,서현1동,,0.8771,13.5,8.6128,
mode_compare,39,서현1동,,0.5499,12.6833,8.1507,
mode_compare,40,수내2동,,1.1251,7.6453,2.8513,
mode_compare,41,서현2동,,0.6667,16.0333,11.2032,
mode_compare,42,서현1동,,0.6406,12.4167,7.8134,
mode_compare,43,서현1동,,1.2442,8.0312,3.1033,
mode_compare,44,수내2동,,0.3105,5.006,1.1287,
mode_compare,45,서현1동,,0.6287,13.6833,9.0205,
mode_compare,46,서현1동,,1.2128,14.7333,9.4603,
mode_compare,47,서현1동,,1.1982,7.8821,3.0059,
mode_compare,48,정자3동,,0.9586,7.1058,2.4993,
mode_compare,49,정자3동,,0.7703,6.4957,2.101,
mode_compare,50,정자3동,,1.3859,8.4903,3.4029,
mode_compare,51,정자2동,,1.1158,13.4667,8.3561,
mode_compare,52,수내3동,,1.3644,14.7667,9.3486,
mode_compare,53,정자3동,,0.3303,11.7667,7.4927,
mode_compare,54,분당동,,1.0821,13.4667,8.3879,
mode_compare,55,서현2동,,0.2694,11.8667,7.6446,
mode_compare,56,서현1동,,0.8265,6.6778,2.2199,
mode_compare,57,분당동,,1.0125,14.3,9.2403,
