scenario_id,lot_id,lot_name,lat,lon,gu,dong,rank,cover_n,cover_ds,route_fi,delivery_zone,explanation
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,21.2425,0.78124,부적합,수요커버 Ds=21.24 | 60셀 | 선정순위#1 | 경로타당성78%
S001,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,57,17.2731,0.69945,드론우선,수요커버 Ds=17.27 | 57셀 | 선정순위#2 | 경로타당성70%
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,3,56,15.3927,0.8105,부적합,수요커버 Ds=15.39 | 56셀 | 선정순위#3 | 경로타당성81%
S001,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,14.7226,0.6887,부적합,수요커버 Ds=14.72 | 60셀 | 선정순위#4 | 경로타당성69%
S001,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,5,60,14.1787,0.71941,부적합,수요커버 Ds=14.18 | 60셀 | 선정순위#5 | 경로타당성72%
S001,204-1-000004,수상9-10,37.43746,127.13988,중원구,성남동,6,60,14.0112,0.6573,부적합,수요커버 Ds=14.01 | 60셀 | 선정순위#6 | 경로타당성66%
S002,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,1,57,17.2731,0.69945,드론우선,수요커버 Ds=17.27 | 57셀 | 선정순위#1 | 경로타당성70%
S002,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,2,28,7.2317,0.71791,드론우선,수요커버 Ds=7.23 | 28셀 | 선정순위#2 | 경로타당성72%
S002,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,16,3.776,0.74493,드론우선,수요커버 Ds=3.78 | 16셀 | 선정순위#3 | 경로타당성74%
S002,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,3,0.9493,0.83482,부적합,수요커버 Ds=0.95 | 3셀 | 선정순위#4 | 경로타당성83%
S002,206-2-000021,수내제2공영,37.36665,127.12851,분당구,수내3동,5,1,0.2582,0.74003,부적합,수요커버 Ds=0.26 | 1셀 | 선정순위#5 | 경로타당성74%
S002,206-2-000010,수내동,37.3668,127.12796,분당구,수내3동,6,0,0.0,0.5,부적합,수요커버 Ds=0.00 | 0셀 | 선정순위#6 | 경로타당성50%
S003,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,21.6034,0.78124,부적합,수요커버 Ds=21.60 | 60셀 | 선정순위#1 | 경로타당성78%
S003,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,57,17.5211,0.69945,드론우선,수요커버 Ds=17.52 | 57셀 | 선정순위#2 | 경로타당성70%
S003,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,3,56,15.6656,0.8105,부적합,수요커버 Ds=15.67 | 56셀 | 선정순위#3 | 경로타당성81%
S003,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,15.0025,0.6887,부적합,수요커버 Ds=15.00 | 60셀 | 선정순위#4 | 경로타당성69%
S003,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,5,60,14.4466,0.71941,부적합,수요커버 Ds=14.45 | 60셀 | 선정순위#5 | 경로타당성72%
S003,204-1-000004,수상9-10,37.43746,127.13988,중원구,성남동,6,60,14.3005,0.6573,부적합,수요커버 Ds=14.30 | 60셀 | 선정순위#6 | 경로타당성66%
S004,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,1,57,17.5211,0.69945,드론우선,수요커버 Ds=17.52 | 57셀 | 선정순위#1 | 경로타당성70%
S004,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,2,28,7.332,0.71791,드론우선,수요커버 Ds=7.33 | 28셀 | 선정순위#2 | 경로타당성72%
S004,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,16,3.8352,0.74493,드론우선,수요커버 Ds=3.84 | 16셀 | 선정순위#3 | 경로타당성74%
S004,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,3,0.9623,0.83482,부적합,수요커버 Ds=0.96 | 3셀 | 선정순위#4 | 경로타당성83%
S004,206-2-000021,수내제2공영,37.36665,127.12851,분당구,수내3동,5,1,0.2617,0.74003,부적합,수요커버 Ds=0.26 | 1셀 | 선정순위#5 | 경로타당성74%
