scenario_id,use_airspace,use_obstacle,use_noise,use_robot,use_weather,airspace_mode
S001,True,True,True,True,True,approval_required_allowed
S002,True,True,True,True,True,strict_exclusion
S003,True,True,True,True,False,approval_required_allowed
S004,True,True,True,True,False,strict_exclusion
S005,True,True,True,False,True,approval_required_allowed
S006,True,True,True,False,True,strict_exclusion
S007,True,True,True,False,False,approval_required_allowed
S008,True,True,True,False,False,strict_exclusion
S009,True,True,False,True,True,approval_required_allowed
S010,True,True,False,True,True,strict_exclusion
S011,True,True,False,True,False,approval_required_allowed
S012,True,True,False,True,False,strict_exclusion
S013,True,True,False,False,True,approval_required_allowed
S014,True,True,False,False,True,strict_exclusion
S015,True,True,False,False,False,approval_required_allowed
S016,True,True,False,False,False,strict_exclusion
S017,True,False,True,True,True,approval_required_allowed
S018,True,False,True,True,True,strict_exclusion
S019,True,False,True,True,False,approval_required_allowed
S020,True,False,True,True,False,strict_exclusion
S021,True,False,True,False,True,approval_required_allowed
S022,True,False,True,False,True,strict_exclusion
S023,True,False,True,False,False,approval_required_allowed
S024,True,False,True,False,False,strict_exclusion
S025,True,False,False,True,True,approval_required_allowed
S026,True,False,False,True,True,strict_exclusion
S027,True,False,False,True,False,approval_required_allowed
S028,True,False,False,True,False,strict_exclusion
S029,True,False,False,False,True,approval_required_allowed
S030,True,False,False,False,True,strict_exclusion
S031,True,False,False,False,False,approval_required_allowed
S032,True,False,False,False,False,strict_exclusion
S033,False,True,True,True,True,approval_required_allowed
S034,False,True,True,True,True,strict_exclusion
S035,False,True,True,True,False,approval_required_allowed
S036,False,True,True,True,False,strict_exclusion
S037,False,True,True,False,True,approval_required_allowed
S038,False,True,True,False,True,strict_exclusion
S039,False,True,True,False,False,approval_required_allowed
S040,False,True,True,False,False,strict_exclusion
S041,False,True,False,True,True,approval_required_allowed
S042,False,True,False,True,True,strict_exclusion
S043,False,True,False,True,False,approval_required_allowed
S044,False,True,False,True,False,strict_exclusion
S045,False,True,False,False,True,approval_required_allowed
S046,False,True,False,False,True,strict_exclusion
S047,False,True,False,False,False,approval_required_allowed
S048,False,True,False,False,False,strict_exclusion
S049,False,False,True,True,True,approval_required_allowed
S050,False,False,True,True,True,strict_exclusion
S051,False,False,True,True,False,approval_required_allowed
S052,False,False,True,True,False,strict_exclusion
S053,False,False,True,False,True,approval_required_allowed
S054,False,False,True,False,True,strict_exclusion
S055,False,False,True,False,False,approval_required_allowed
S056,False,False,True,False,False,strict_exclusion
S057,False,False,False,True,True,approval_required_allowed
S058,False,False,False,True,True,strict_exclusion
S059,False,False,False,True,False,approval_required_allowed
S060,False,False,False,True,False,strict_exclusion
S061,False,False,False,False,True,approval_required_allowed
S062,False,False,False,False,True,strict_exclusion
S063,False,False,False,False,False,approval_required_allowed
S064,False,False,False,False,False,strict_exclusion
