scenario_id,route_id,lot_id,dong,path_order,route_lat,route_lon,approval,drone_t,time_saving,co2_saving,hub_rank
S001,R000001,206-2-000020,정자1동,1,37.38545,127.11199,True,0.68,24.32,1094.4,1
S001,R000001,206-2-000020,정자1동,2,37.3804,127.10755,True,0.68,24.32,1094.4,1
S001,R000002,206-2-000020,이매2동,1,37.38545,127.11199,True,1.08,23.92,1076.4,1
S001,R000002,206-2-000020,이매2동,2,37.39147,127.12159,True,1.08,23.92,1076.4,1
S001,R000003,206-2-000020,백현동,1,37.38545,127.11199,True,0.64,24.36,1096.2,1
S001,R000003,206-2-000020,백현동,2,37.39104,127.11369,True,0.64,24.36,1096.2,1
S001,R000004,206-2-000020,백현동,1,37.38545,127.11199,True,0.36,24.64,1108.8,1
S001,R000004,206-2-000020,백현동,2,37.38605,127.10803,True,0.36,24.64,1108.8,1
S001,R000005,206-2-000020,백현동,1,37.38545,127.11199,True,1.08,23.92,1076.4,1
S001,R000005,206-2-000020,백현동,2,37.39236,127.10332,True,1.08,23.92,1076.4,1
S001,R000006,206-2-000020,수내2동,1,37.38545,127.11199,True,0.96,24.04,1081.8,1
S001,R000006,206-2-000020,수내2동,2,37.38017,127.12063,True,0.96,24.04,1081.8,1
S001,R000007,206-2-000020,백현동,1,37.38545,127.11199,True,1.05,23.95,1077.8,1
S001,R000007,206-2-000020,백현동,2,37.39453,127.10874,True,1.05,23.95,1077.8,1
S001,R000008,206-2-000020,정자1동,1,37.38545,127.11199,True,0.97,24.03,1081.4,1
S001,R000008,206-2-000020,정자1동,2,37.37758,127.10732,True,0.97,24.03,1081.4,1
S001,R000009,206-2-000020,백현동,1,37.38545,127.11199,True,0.82,24.18,1088.1,1
S001,R000009,206-2-000020,백현동,2,37.39038,127.11887,True,0.82,24.18,1088.1,1
S001,R000010,206-2-000020,백현동,1,37.38545,127.11199,True,0.11,24.89,1120.0,1
S001,R000010,206-2-000020,백현동,2,37.38539,127.11321,True,0.11,24.89,1120.0,1
S001,R000011,206-2-000020,백현동,1,37.38545,127.11199,True,0.22,24.78,1115.1,1
S001,R000011,206-2-000020,백현동,2,37.38714,127.11074,True,0.22,24.78,1115.1,1
S001,R000012,206-2-000020,백현동,1,37.38545,127.11199,True,0.82,24.18,1088.1,1
S001,R000012,206-2-000020,백현동,2,37.39278,127.11122,True,0.82,24.18,1088.1,1
S001,R000013,206-2-000020,정자1동,1,37.38545,127.11199,True,0.93,24.07,1083.2,1
S001,R000013,206-2-000020,정자1동,2,37.37932,127.10484,True,0.93,24.07,1083.2,1
S001,R000014,206-2-000020,수내1동,1,37.38545,127.11199,True,0.67,24.33,1094.8,1
S001,R000014,206-2-000020,수내1동,2,37.38191,127.11816,True,0.67,24.33,1094.8,1
S001,R000015,206-2-000020,서현1동,1,37.38545,127.11199,True,1.06,23.94,1077.3,1
S001,R000015,206-2-000020,서현1동,2,37.3869,127.12382,True,1.06,23.94,1077.3,1
S001,R000016,206-2-000020,백현동,1,37.38545,127.11199,True,0.37,24.63,1108.3,1
S001,R000016,206-2-000020,백현동,2,37.38648,127.11592,True,0.37,24.63,1108.3,1
S001,R000017,206-2-000020,정자1동,1,37.38545,127.11199,True,0.71,24.29,1093.0,1
S001,R000017,206-2-000020,정자1동,2,37.38215,127.10508,True,0.71,24.29,1093.0,1
S001,R000018,206-2-000020,수내1동,1,37.38545,127.11199,True,0.64,24.36,1096.2,1
S001,R000018,206-2-000020,수내1동,2,37.37974,127.11274,True,0.64,24.36,1096.2,1
S001,R000019,206-2-000020,백현동,1,37.38545,127.11199,True,0.76,24.24,1090.8,1
S001,R000019,206-2-000020,백현동,2,37.3917,127.1085,True,0.76,24.24,1090.8,1
S001,R000020,206-2-000020,백현동,1,37.38545,127.11199,True,0.91,24.09,1084.0,1
S001,R000020,206-2-000020,백현동,2,37.38954,127.10308,True,0.91,24.09,1084.0,1
S001,R000021,206-2-000020,수내1동,1,37.38545,127.11199,True,0.38,24.62,1107.9,1
