admi_nm,total_corp,drone_ratio,annual_new_corp,hh_growth_rate,activity_index_100
상대원1동,3286,0.696895922093731,100.0,1.125,88.87
삼평동,2982,0.2961099932930919,155.0,0.8181818181818182,67.37
서현1동,2145,0.38741258741258744,138.0,0.76,60.2
정자1동,2128,0.35479323308270677,91.0,0.9354838709677419,52.47
야탑1동,1602,0.41448189762796506,66.0,0.8695652173913043,46.18
수내1동,1657,0.4176222088111044,51.0,0.55,44.21
성남동,999,0.4214214214214214,57.0,1.5625,39.97
구미1동,1089,0.46648301193755737,37.0,1.0833333333333333,39.85
위례동,1212,0.36633663366336633,71.0,1.0869565217391304,39.76
야탑3동,961,0.5306971904266389,28.0,0.5454545454545454,39.45
구미동,990,0.401010101010101,38.0,1.8,36.86
금곡동,895,0.3787709497206704,31.0,2.4285714285714284,35.22
복정동,657,0.4231354642313546,28.0,2.6666666666666665,34.94
시흥동,993,0.3031218529707956,61.0,2.066666666666667,34.75
상대원2동,289,0.6505190311418685,8.0,0.0,34.27
운중동,725,0.35310344827586204,67.0,0.7916666666666666,31.64
고등동,561,0.45811051693404636,35.0,0.5,30.97
신촌동,138,0.4927536231884058,8.0,2.0,28.58
백현동,620,0.29516129032258065,60.0,1.1578947368421053,27.01
상대원3동,51,0.5882352941176471,1.0,-1.0,23.9
신흥2동,187,0.3689839572192513,9.0,7.0,23.47
판교동,375,0.328,26.0,1.7142857142857142,23.14
도촌동,550,0.37636363636363634,25.0,-0.07692307692307693,23.03
야탑2동,285,0.45263157894736844,12.0,0.0,22.88
정자동,264,0.36742424242424243,18.0,1.6,22.79
서현2동,176,0.38636363636363635,11.0,1.6666666666666667,22.13
이매1동,406,0.35714285714285715,28.0,0.3333333333333333,21.65
신흥3동,119,0.42857142857142855,6.0,1.0,21.44
금광2동,194,0.38144329896907214,7.0,1.5,21.07
하대원동,333,0.44144144144144143,10.0,-0.5714285714285714,20.94
신흥1동,82,0.3780487804878049,4.0,2.0,20.51
수진2동,247,0.3441295546558704,12.0,0.4,17.04
태평2동,118,0.3983050847457627,2.0,0.0,16.29
수내3동,72,0.2638888888888889,5.0,3.0,15.25
양지동,44,0.38636363636363635,2.0,0.0,14.66
태평1동,200,0.35,11.0,-0.42857142857142855,14.36
수진1동,125,0.368,7.0,-0.6,13.52
정자3동,119,0.31932773109243695,5.0,0.5,13.36
태평3동,89,0.30337078651685395,3.0,1.0,13.18
산성동,28,0.35714285714285715,2.0,0.0,12.72
수내2동,90,0.28888888888888886,6.0,1.0,12.71
단대동,88,0.29545454545454547,3.0,1.0,12.7
정자2동,66,0.24242424242424243,4.0,2.0,12.19
은행2동,94,0.32978723404255317,4.0,0.0,12.15
분당동,151,0.31788079470198677,7.0,-0.25,11.82
은행1동,28,0.2857142857142857,2.0,1.0,11.25
이매2동,117,0.2905982905982906,4.0,0.0,10.08
금광1동,61,0.3114754098360656,1.0,-1.0,7.45
태평4동,51,0.19607843137254902,0.0,0.0,3.09
중앙동,57,0.21052631578947367,3.0,-0.5,3.01
