admi_nm,zone_type,demand_index_100,resident_score,inflow_score,trend_score,inc_per_cap,card_per_cap,age3040_ratio,econ_ratio,stay2yr_ratio,avg_inc,avg_card,high_ratio,avg_dist,inc_per_cap_chg,card_per_cap_chg,avg_inc_chg,avg_card_chg
판교동,즉시 확장 구역,81.09,0.8570307701319142,0.7450650572252329,0.7942271790523071,540.7470048425793,331.6591778769755,0.39178020622988474,0.9491381421273528,0.6851278826773262,6173.744130716767,4273.3218225552955,0.5311899285827256,17192.55839359516,0.02596815330898468,0.093214661242262,0.060719091306247176,0.07353539562702228
백현동,즉시 확장 구역,78.64,0.7898406597889778,0.7350948319246042,0.8549688675356952,522.3727546233472,317.42966157345535,0.3720632302420371,0.9469118185900398,0.6730446745258244,6075.937068023985,3932.717518149444,0.5013999824343582,19892.45995258039,0.028353191261431737,0.07771101346697361,0.09179015696873377,0.1955647277370233
수내2동,안정 수요 구역,76.58,0.8048845981605159,0.9623549083659504,0.3734486434364642,532.5717686671647,320.62070693009343,0.3842198720045579,0.9379352073961166,0.6663098240637889,7497.743366862015,4446.211484119833,0.6710087664843223,20710.497429724506,0.021170927920804706,0.03592378161061516,-0.06412648161757781,-0.23732229571616012
정자1동,즉시 확장 구역,72.59,0.7596626158486808,0.7286982224666566,0.6371850279673086,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,6078.944121859687,4507.43465944735,0.48711112945633983,16074.017386953285,0.029021649260950428,0.05244291597111661,0.017572711615738427,-0.21004609397647692
삼평동,즉시 확장 구역,70.91,0.8009180644811347,0.5426603149768172,0.7292419191777787,519.5259313610076,289.6901595788144,0.43411583957808914,0.9475573978395819,0.6524576264093193,5838.342934338444,3516.417409955968,0.49371799713047404,11859.44711035793,0.02927689360331409,0.05870197484253401,0.0537454995665173,-0.02817886220275232
운중동,안정 수요 구역,70.06,0.9094683216393997,0.6747258167745952,0.21745261743442465,556.3054237869,345.38277446567133,0.4404023790660692,0.9544100836982801,0.5711814072179595,5534.7466064333275,3947.714543483166,0.48575230120942164,18700.356810716217,0.00389789170247807,0.04043910552692507,-0.017296542362604885,-0.03730269215830885
정자동,즉시 확장 구역,67.62,0.7596626158486808,0.5202887219853963,0.7011611861143889,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,5346.762389827746,3106.8367799381394,0.4117844043661047,17106.828413508778,0.029021649260950428,0.05244291597111661,0.04714360152659017,-0.005588349521387728
수내1동,즉시 확장 구역,67.41,0.8048845981605159,0.5691888839726095,0.5045197226441086,532.5717686671647,320.62070693009343,0.3842198720045579,0.9379352073961166,0.6663098240637889,5409.5075495772135,3670.109761003697,0.451450735055037,15289.596162660238,0.021170927920804706,0.03592378161061516,0.026326601966177147,0.04465929787802162
정자2동,즉시 확장 구역,66.97,0.7596626158486808,0.46880879791501967,0.7459615922185615,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,4890.2963718573965,2776.7204167518184,0.4028167693411131,18199.158001566484,0.029021649260950428,0.05244291597111661,0.03645835688198555,0.30896917045093963
이매2동,즉시 확장 구역,66.91,0.6643725201806148,0.6734707924174942,0.674596753280084,476.59032075626976,267.6338025343628,0.36886479771873676,0.9452228888411617,0.6826280656295918,6014.12652412691,3555.4648708543236,0.5254956039153235,18233.3352693676,0.023046544003092286,0.04677484977915091,0.17764873675631615,-0.03081703341483291
고등동,즉시 확장 구역,66.31,0.7209433023429709,0.5680754195197021,0.6612274659844398,439.0966261437474,281.4743490042178,0.47130489099283523,0.9636524468629699,0.5605642676518715,4873.284619157274,4076.663925105456,0.4046690707022487,15919.362259650077,0.018119045576757736,0.06839429359856333,0.10951109046568339,0.1336735258678316
정자3동,즉시 확장 구역,66.31,0.7596626158486808,0.5118543967099333,0.6487333507055159,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,5101.0570826653875,3040.075182781739,0.4450084659057512,17287.760273186952,0.029021649260950428,0.05244291597111661,-0.008899034500033544,0.0005184943786117705
