GU_NM,ADM_NM,score,n_cells,rank,kr_title,label
분당구,수내1동,0.8725946944328697,14,1,B2C소비수요,수내1동
수정구,태평4동,0.689776939972584,5,2,B2C소비수요,태평4동
분당구,야탑1동,0.5053073302701437,16,3,B2C소비수요,야탑1동
수정구,신흥3동,0.41273365260007483,5,4,B2C소비수요,신흥3동
분당구,정자1동,0.3912288089646858,18,5,B2C소비수요,정자1동
수정구,태평3동,0.2638961728812283,4,6,B2C소비수요,태평3동
수정구,신흥1동,0.2409641033296796,4,7,B2C소비수요,신흥1동
중원구,성남동,0.22691923468011396,28,8,B2C소비수요,성남동
수정구,수진1동,0.1880302726006348,5,9,B2C소비수요,수진1동
중원구,상대원3동,0.1779222620899136,5,10,B2C소비수요,상대원3동
분당구,정자동,0.1756013518055147,16,11,B2C소비수요,정자동
분당구,서현2동,0.1732139477441886,11,12,B2C소비수요,서현2동
분당구,삼평동,0.1706182831907607,39,13,B2C소비수요,삼평동
분당구,백현동,0.1696190422988663,27,14,B2C소비수요,백현동
중원구,금광1동,0.1577334109999066,8,15,B2C소비수요,금광1동
