lot_id,lot_name,GU_NM,ADM_NM,candidate_rank,candidate_grade,candidate_score_for_ranking,candidate_score_primary,candidate_score_conservative,delivery_zone,demand_context_score,constraint_context_score,parking_site_score,zone_score,corporate_context_score,airspace_review_required,nb10_risk_note,nb10_candidate_reason,hub_selected_order,hub_assigned_Ds_sum,coverage_cell_count,coverage_demand_sum,covered_top_dong,constraint_risk_summary,top_reason_1,top_reason_2,top_reason_3
206-2-000011,수내역환승,분당구,수내2동,1,A,0.6260202591880663,0.6260202591880663,0.6260202591880663,부적합,0.6549363647892494,0.7444994603011384,0.8361,0.0,0.0328533287308868,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,12,5.512513432543265,수내1동,중간,높은 수요 커버(Ds합산),드론우선구역 포함,우수 접근성
206-2-000015,판교공영,분당구,백현동,2,A,0.6051776899027071,0.6051776899027071,0.6051776899027071,부적합,0.5608995130893378,0.7067153506151125,0.8974,0.0,0.1566804533532173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,12,4.916899870397223,백현동,중간,드론우선구역 포함,우수 접근성,—
206-3-000001,분당구청 부설주차장,분당구,수내2동,3,A,0.6004482282521982,0.6004482282521982,0.6004482282521982,부적합,0.6864448478296267,0.7444994603011384,0.6897,0.0,0.0328533287308868,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,1.0,6.206305036308577,13,6.206305036308578,백현동,중간,상위 수요권역 최다커버,높은 수요 커버(Ds합산),드론우선구역 포함
206-2-000014,서현 환승,분당구,서현1동,4,A,0.5967579310486252,0.5967579310486252,0.5967579310486252,부적합,0.6324578293477161,0.7361954150076765,0.7338,0.0,0.1579767405001072,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,12,5.370138179393756,서현1동,중간,높은 수요 커버(Ds합산),드론우선구역 포함,우수 접근성
206-2-000007,정자역환승,분당구,정자1동,5,A,0.586419922595209,0.586419922595209,0.586419922595209,부적합,0.5880575370256984,0.7741035644307284,0.5709,0.0,0.8869778705706505,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,13,5.215980132458216,금곡동,중간,높은 수요 커버(Ds합산),드론우선구역 포함,우수 접근성
206-2-000020,백현동카페거리공영주차장,분당구,백현동,6,A,0.5792089472235227,0.5792089472235227,0.5792089472235227,부적합,0.6953292983154012,0.6935386805818854,0.6185,0.0,0.1566804533532173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,12,5.906585966308025,백현동,중간,높은 수요 커버(Ds합산),드론우선구역 포함,우수 접근성
206-2-000023,정자동공영주차장,분당구,정자동,7,A,0.5779102859331195,0.5779102859331195,0.5779102859331195,부적합,0.6499202594789075,0.8043770658420445,0.5708,0.0,0.1328785730998173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,13,5.617591802860696,정자3동,중간,높은 수요 커버(Ds합산),드론우선구역 포함,우수 접근성
205-2-000002,성남동 대형,중원구,도촌동,8,A,0.5731557127093929,0.5731557127093929,0.5731557127093929,부적합,0.3702222506546171,0.8872997772027859,0.8841,0.0,0.0145596135916087,False,이상 없음,"종합 점수 낮음, 추가 검토 필요",,,12,3.7091822421909786,고등동,중간,드론우선구역 포함,우수 접근성,—
204-2-000017,신흥 제7,수정구,수진1동,9,A,0.5582526664467627,0.5582526664467627,0.5582526664467627,부적합,0.5684732592143027,0.6721617296757101,0.7229,0.0,0.2104318660565858,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,12,4.964870701265483,성남동,중간,드론우선구역 포함,우수 접근성,—
206-2-000012,판교역환승,분당구,백현동,10,A,0.5472822811145611,0.5472822811145611,0.5472822811145611,부적합,0.5854840594089203,0.7067153506151125,0.6314,0.0,0.1566804533532173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음,,,12,5.072614241332131,백현동,중간,높은 수요 커버(Ds합산),드론우선구역 포함,우수 접근성
