lot_id,n_routes_total,n_feasible_approval,n_feasible_strict,pct_feasible_approval,pct_feasible_strict,mean_time_approval_min,min_time_approval_min,mean_time_strict_min,min_time_strict_min,served_Ds_sum,route_feasibility_index,rfi_rank
204-1-000001,283.0,79.0,0.0,27.915194346289752,0.0,68.44460190502691,11.68702628483155,,,24.771524090118998,0.6444,94
204-1-000002,283.0,79.0,0.0,27.915194346289752,0.0,66.66306047822998,9.964127498828054,,,24.771524090118998,0.6693,83
204-1-000003,283.0,86.0,0.0,30.3886925795053,0.0,65.3651889995263,11.795561191127597,,,27.439068872000668,0.7437,50
204-1-000004,283.0,89.0,0.0,31.448763250883395,0.0,63.877221994849705,9.808918981215367,,,27.804700230056287,0.7822,41
204-1-000005,283.0,90.0,0.0,31.802120141342755,0.0,62.845631615722475,5.350458085960493,,,28.32641311754638,0.8058,34
204-1-000006,283.0,89.0,0.0,31.448763250883395,0.0,63.08125963502278,13.03806870496514,,,28.041019263853936,0.7953,39
204-1-000007,283.0,69.0,0.0,24.381625441696116,0.0,67.51992824165296,7.475802924177092,,,22.083477507941094,0.5861,117
204-1-000008,283.0,67.0,0.0,23.674911660777383,0.0,68.88278788268316,14.775991609692534,,,21.551135502999006,0.5529,128
204-1-000009,283.0,67.0,0.0,23.674911660777383,0.0,67.70218348019387,6.901057219710205,,,21.551135502999006,0.5693,121
204-1-000010,283.0,75.0,0.0,26.501766784452297,0.0,67.32636267483602,7.635115222058525,,,23.668394377792016,0.6313,96
204-1-000011,283.0,69.0,0.0,24.381625441696116,0.0,67.51992824165296,7.475802924177092,,,22.083477507941094,0.5861,118
204-1-000012,283.0,54.0,0.0,19.081272084805654,0.0,81.49047061035269,9.079765714585374,,,17.481145077050773,0.2795,169
204-2-000001,283.0,56.0,0.0,19.78798586572438,0.0,76.55221281286155,15.529091382435611,,,18.331775322452955,0.3652,162
204-2-000002,283.0,62.0,0.0,21.908127208480565,0.0,71.35217541844118,5.434993875720992,,,19.818778787735337,0.4796,148
204-2-000003,283.0,79.0,0.0,27.915194346289752,0.0,67.88918318093579,7.851243309382521,,,24.791508975391086,0.6523,92
204-2-000004,283.0,63.0,0.0,22.261484098939928,0.0,70.04579835261825,9.384460657095147,,,20.143187715615102,0.5054,137
204-2-000005,283.0,63.0,0.0,22.261484098939928,0.0,69.0012115086651,6.423508844111797,,,20.182011647843705,0.5203,136
204-2-000006,283.0,74.0,0.0,26.148409893992934,0.0,70.01916313727307,11.816892099641992,,,23.253490684706787,0.5854,119
204-2-000007,283.0,65.0,0.0,22.968197879858657,0.0,71.95162109920044,11.01024175070789,,,20.645337988196932,0.4928,144
204-2-000008,283.0,67.0,0.0,23.674911660777383,0.0,68.43071801249756,3.8506470970913624,,,21.443674135967346,0.5583,124
204-2-000009,283.0,68.0,0.0,24.02826855123675,0.0,68.92570576350839,5.685694926834993,,,21.579573264994924,0.5574,126
