h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds,demand_grade,score_airspace,score_obstacle,score_noise_proxy,score_terrain,score_robot,score_weather,constraint_score,constraint_grade,n_highrise,n_buildings_total,n_lowrise,Ra,Ra_grade,n_crossings,weather_risk,weather_source,airspace_data_status,airspace_proxy_flag,terrain_method,hard_exclusion_flag,constraint_note,airspace_score,obstacle_score,noise_sensitive_score,robot_access_score,weather_score,noise_method,hard_exclusion_reasons
8930e153013ffff,37.38233020706954,127.12605539248388,41135580,서현1동,분당구,0.4628651701696695,A,0.0,0.0,0.928993314414891,1.0,0.4486433639760003,0.944093,0.4643459356781783,D,43,189,111,0.4486433639760003,A,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.0,0.928993314414891,0.4486433639760003,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지|장애물밀집
8930e024cafffff,37.3506584595111,127.09457861724036,41135662,금곡동,분당구,0.3352825633228366,B,1.0,0.96875,0.8723236015583666,0.6,0.2234022788068476,0.944093,0.8017137760730428,C,1,12,12,0.2234022788068476,D,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,False,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,1.0,0.96875,0.8723236015583666,0.2234022788068476,0.944093,noise_proxy×0.7 + terrain_slope×0.3,
8930e1c912fffff,37.42802870440284,127.0696367139712,41131640,고등동,수정구,0.2469481512496434,C,0.0,0.96875,0.7972151411668509,1.0,0.3270036275073107,0.944093,0.6074123537348324,A,1,317,317,0.3270036275073107,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.7972151411668509,0.3270036275073107,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e15264bffff,37.410581221462095,127.12844226527524,41135620,야탑1동,분당구,0.7196853984687459,A,0.0,0.28125,0.8631042277908709,1.0,0.7267047812461198,0.944093,0.5630304018073982,C,23,301,214,0.7267047812461198,A,6.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.28125,0.8631042277908709,0.7267047812461198,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e026a07ffff,37.35894437134783,127.0743336578728,41135665,구미1동,분당구,0.3418592734528097,B,1.0,0.96875,0.8787206002597276,0.6,0.2198273303501096,0.944093,0.8022781861219673,C,1,2,2,0.2198273303501096,D,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,False,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,1.0,0.96875,0.8787206002597276,0.2198273303501096,0.944093,noise_proxy×0.7 + terrain_slope×0.3,
8930e152167ffff,37.43007419579828,127.17731637013138,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,0.8989274205184934,1.0,0.2555018495734135,0.944093,0.6134544540183814,A,1,168,158,0.2555018495734135,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8989274205184934,0.2555018495734135,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e152543ffff,37.440769995523176,127.14935863000278,41133525,중앙동,중원구,0.3028836789262165,C,0.0,0.84375,0.3365115010455495,1.0,0.2941468329553428,0.944093,0.48370026680017847,D,5,1941,1829,0.2941468329553428,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.84375,0.3365115010455495,0.2941468329553428,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1c8b43ffff,37.452965135326025,127.13202658543788,41131620,복정동,수정구,0.2465699214638441,C,0.0,0.96875,0.7616555240248184,0.6,0.6990217654491403,0.944093,0.6747040578947917,A,1,191,185,0.6990217654491403,A,5.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.7616555240248184,0.6990217654491403,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1c9027ffff,37.42326253384161,127.05090721245168,41131640,고등동,수정구,0.2469481512496434,C,0.0,0.96875,0.8799999999999999,0.6,0.3403749278549029,0.944093,0.6266435855709805,B,1,1,0,0.3403749278549029,B,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8799999999999999,0.3403749278549029,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1c9ed3ffff,37.41847259449854,127.0662190043511,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.8799999999999999,0.6,0.2945365802140299,0.944093,0.617475916042806,B,1,1,0,0.2945365802140299,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8799999999999999,0.2945365802140299,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
