scenario_id,scenario_label_kr,use_airspace,use_obstacle,use_noise,use_robot,use_weather,airspace_mode,scenario_constraint_score,scenario_h3_score,n_available_cells,n_excluded_cells
S001,공역+장애물+소음+로봇접근+기상 (승인허용),True,True,True,True,True,approval_required_allowed,0.639,0.234,1947,0
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),True,True,True,True,True,strict_exclusion,0.613,0.2246,259,1688
S003,공역+장애물+소음+로봇접근 (승인허용),True,True,True,True,False,approval_required_allowed,0.6502,0.2381,1947,0
S004,공역+장애물+소음+로봇접근 (엄격제외),True,True,True,True,False,strict_exclusion,0.6242,0.2287,259,1688
S005,공역+장애물+소음+기상 (승인허용),True,True,True,False,True,approval_required_allowed,0.7727,0.2819,1947,0
S006,공역+장애물+소음+기상 (엄격제외),True,True,True,False,True,strict_exclusion,0.7467,0.2725,259,1688
S007,공역+장애물+소음 (승인허용),True,True,True,False,False,approval_required_allowed,0.7839,0.286,1947,0
S008,공역+장애물+소음 (엄격제외),True,True,True,False,False,strict_exclusion,0.7579,0.2766,259,1688
S009,공역+장애물+로봇접근+기상 (승인허용),True,True,False,True,True,approval_required_allowed,0.6763,0.2475,1947,0
S010,공역+장애물+로봇접근+기상 (엄격제외),True,True,False,True,True,strict_exclusion,0.6503,0.2381,259,1688
S011,공역+장애물+로봇접근 (승인허용),True,True,False,True,False,approval_required_allowed,0.6875,0.2516,1947,0
S012,공역+장애물+로봇접근 (엄격제외),True,True,False,True,False,strict_exclusion,0.6615,0.2422,259,1688
S013,공역+장애물+기상 (승인허용),True,True,False,False,True,approval_required_allowed,0.81,0.2954,1947,0
S014,공역+장애물+기상 (엄격제외),True,True,False,False,True,strict_exclusion,0.784,0.286,259,1688
S015,공역+장애물 (승인허용),True,True,False,False,False,approval_required_allowed,0.8212,0.2995,1947,0
S016,공역+장애물 (엄격제외),True,True,False,False,False,strict_exclusion,0.7952,0.2901,259,1688
S017,공역+소음+로봇접근+기상 (승인허용),True,False,True,True,True,approval_required_allowed,0.6704,0.2463,1947,0
S018,공역+소음+로봇접근+기상 (엄격제외),True,False,True,True,True,strict_exclusion,0.6444,0.2369,259,1688
S019,공역+소음+로봇접근 (승인허용),True,False,True,True,False,approval_required_allowed,0.6816,0.2504,1947,0
S020,공역+소음+로봇접근 (엄격제외),True,False,True,True,False,strict_exclusion,0.6556,0.241,259,1688
