scenario_id,lot_id,lot_name,target_ADM_NM,h3_cell_count,total_Ds,mean_drone_min
S001,205-2-000001,대원천,성남동,8,2.7864,0.41383375
S001,205-2-000002,성남동 대형,성남동,8,2.7864,0.41511624999999996
S001,206-2-000007,정자역환승,정자1동,8,3.7825,0.6809375
S001,206-2-000011,수내역환승,수내1동,8,4.5551,0.549705
S001,206-2-000020,백현동카페거리공영주차장,수내1동,8,4.5551,0.61445375
S001,206-3-000001,분당구청 부설주차장,수내1동,8,4.5551,0.493615
S002,206-2-000006,정자전원마을,구미1동,2,0.6326,1.019585
S002,206-2-000006,정자전원마을,구미동,2,0.5451,1.0535800000000002
S002,206-2-000006,정자전원마을,금곡동,2,0.5764,1.03376
S002,206-2-000006,정자전원마을,수내3동,2,0.5596,1.00863
S002,206-2-000008,오리환승,구미1동,7,2.2438000000000002,0.8002885714285713
S002,206-2-000008,오리환승,금곡동,1,0.3234,1.14154
S002,206-2-000009,금곡동,구미1동,1,0.3437,0.61691
S002,206-2-000009,금곡동,금곡동,3,1.0122,0.7222033333333333
S002,206-2-000009,금곡동,정자1동,3,1.4588,0.9220799999999999
S002,206-2-000009,금곡동,정자동,1,0.342,0.78116
S002,206-3-000004,분당도서관 부설주차장,구미1동,4,1.2053,0.9467625
S002,206-3-000004,분당도서관 부설주차장,금곡동,1,0.2906,0.49777
S002,206-3-000004,분당도서관 부설주차장,정자1동,2,0.9614,0.85067
S002,206-3-000004,분당도서관 부설주차장,정자동,1,0.342,0.5198
S002,206-3-000007,구미도서관,구미1동,3,0.9914000000000001,0.3511266666666666
S002,206-3-000007,구미도서관,금곡동,5,1.6587,0.857062
S003,205-2-000001,대원천,성남동,8,2.8319,0.41383375
S003,205-2-000002,성남동 대형,성남동,8,2.8319,0.41511624999999996
S003,206-2-000007,정자역환승,정자1동,8,3.8396,0.6809375
S003,206-2-000011,수내역환승,수내1동,8,4.6246,0.549705
S003,206-2-000020,백현동카페거리공영주차장,수내1동,8,4.6246,0.61445375
S003,206-3-000001,분당구청 부설주차장,수내1동,8,4.6246,0.493615
S004,206-2-000006,정자전원마을,구미1동,2,0.6413,1.019585
