SHP_ADM_CD,ADM_NM,GU_NM,avg_slope,max_slope,green_pct,yellow_pct,red_pct,n_pixels
31022560,은행2동,중원구,22.314653396606445,88.02887725830078,9.750821581596572,21.4775989017846,68.77157951661883,24039
31021620,양지동,수정구,19.66084098815918,86.26103973388672,11.98855962500993,23.420989910224836,64.59045046476524,12587
31022570,상대원1동,중원구,18.34246826171875,88.02887725830078,17.07230780570502,23.033832092577576,59.8938601017174,67835
31021650,고등동,수정구,16.83254623413086,88.30139923095703,17.72202277489888,25.153917380074397,57.12405984502672,123118
31023680,운중동,분당구,16.19768524169922,87.84452056884766,16.248534450376205,30.238130470910974,53.51333507871282,175702
31022610,도촌동,중원구,15.61776351928711,86.6622543334961,23.7890903670262,25.948443838708645,50.262465794265154,93917
31021640,신촌동,수정구,15.1366548538208,85.97270965576172,14.958381921267442,36.34645542643452,48.69516265229804,49738
31021660,시흥동,수정구,14.423563003540039,88.04503631591797,27.01704216099239,26.724117942574487,46.25883989643312,129385
31023630,야탑3동,분당구,13.471831321716309,87.07665252685547,23.477545262167883,33.69974135904067,42.82271337879144,51036
31023560,정자3동,분당구,13.315135955810547,86.04342651367188,34.70340488151418,20.647485664992136,44.649109453493686,19707
31023670,구미동,분당구,13.066784858703613,85.86483764648438,44.765458422174845,15.636993603411515,39.597547974413644,37520
31023710,금곡동,분당구,12.87440299987793,56.23657989501953,31.964295017626732,22.652518972613443,45.383186009759825,57583
31023580,서현1동,분당구,12.416653633117676,86.59667205810547,30.32841643952755,30.17877184543851,39.49281171503394,74844
31023510,분당동,분당구,12.414510726928711,84.38798522949219,35.09591227499778,26.432772736677208,38.471314988325005,33833
31022540,금광2동,중원구,12.4070463180542,54.318603515625,26.715395157606213,40.529922338967566,32.754682503426224,10945
31022550,은행1동,중원구,12.317229270935059,50.75067901611328,18.175155734701356,51.740564309270795,30.08427995602785,2729
31023520,수내3동,분당구,11.954822540283203,85.02104187011719,40.14869888475837,20.16013726050901,39.69116385473263,10491
31021600,단대동,수정구,11.7616548538208,56.897552490234375,29.194171129655,36.30589114460082,34.499937725744175,8029
31023720,구미1동,분당구,11.04422378540039,77.9987564086914,41.35412554283459,23.520952004963057,35.124922452202355,35462
31023750,판교동,분당구,10.84894847869873,58.93996047973633,36.68015308911974,30.635319846910882,32.684527063969384,45725
31022620,중앙동,중원구,10.604551315307617,50.20592498779297,39.59622752726201,32.44916003536693,27.954612437371058,6786
31022600,하대원동,중원구,10.317896842956543,48.793453216552734,33.07952260769132,39.218034820550116,27.702442571758567,23377
31023600,이매1동,분당구,10.26725959777832,43.34647750854492,38.85173763902844,29.63168289387062,31.51657946710093,28861
31021670,복정동,수정구,10.199762344360352,82.62413787841797,41.586524942354195,30.493223103312523,27.920251954333274,35562
31021520,신흥2동,수정구,9.833390235900879,53.08747100830078,36.09674875120498,40.434668302515114,23.468582946279906,11411
31021610,산성동,수정구,9.588738441467285,48.357704162597656,32.608323343038194,46.48056174002398,20.91111491693783,5839
31021570,태평4동,수정구,9.53112506866455,37.59016418457031,18.50753644675068,65.48060291574005,16.011860637509265,4047
31022530,금광1동,중원구,9.283437728881836,41.78196716308594,35.047807451368286,45.43356412792615,19.51862842070557,6066
31021680,위례동,수정구,9.182230949401855,84.33206939697266,59.20599298289977,16.847362265701552,23.94664475139868,31637
31022580,상대원2동,중원구,8.814579010009766,49.36170196533203,29.717073170731705,55.82439024390244,14.458536585365852,5125
31021550,태평2동,수정구,8.70577621459961,45.125648498535156,24.538094249532904,65.08200124558854,10.379904504878555,4817
31021540,태평1동,수정구,8.076055526733398,47.379722595214844,46.97726425642937,34.15579575102497,18.86693999254566,13415
31021510,신흥1동,수정구,7.916918754577637,27.664583206176758,34.41961514587213,55.3072625698324,10.27312228429547,3222
31022590,상대원3동,중원구,7.81109094619751,25.10806655883789,28.08219178082192,66.04696673189824,5.870841487279844,3066
31021580,수진1동,수정구,7.384324073791504,39.013153076171875,38.2123575284943,54.01919616076785,7.768446310737851,3334
31021560,태평3동,수정구,7.317927360534668,42.12540817260742,38.0926724137931,56.196120689655174,5.711206896551724,3712
31023540,수내2동,분당구,6.01398229598999,36.79265594482422,58.94506562955761,31.490034030140983,9.56490034030141,8228
31021530,신흥3동,수정구,5.7573747634887695,22.38776969909668,46.122703207723454,52.32014948614139,1.5571473061351604,3211
31023760,백현동,분당구,5.5402350425720215,44.56352615356445,70.51036765086096,16.215936708206215,13.27369564093283,19339
31021590,수진2동,수정구,5.146843433380127,37.4509391784668,66.05673451710697,26.266782156777822,7.676483326115201,9236
31023740,삼평동,분당구,4.744914531707764,50.76340866088867,73.7185227639073,17.577103556972453,8.704373679120248,27917
31023590,서현2동,분당구,3.9277381896972656,37.614097595214844,80.57729313662604,13.25208466966004,6.170622193713919,7795
31022510,성남동,중원구,3.641672134399414,43.83701705932617,78.38459614903725,16.14403600900225,5.4713678419604905,19995
31023770,정자1동,분당구,3.2153000831604004,36.3800048828125,81.29254039188724,14.403575111722242,4.303884496390512,14545
31023550,정자2동,분당구,2.6979994773864746,19.47121810913086,89.68538430904023,9.976105137395459,0.33851055356431703,5022
31023780,정자동,분당구,2.4183359146118164,27.52168083190918,88.26131687242798,11.512345679012345,0.22633744855967078,9720
31023620,야탑1동,분당구,2.400862693786621,29.0449161529541,86.68515950069347,12.447988904299583,0.8668515950069348,11536
31023610,이매2동,분당구,2.393833875656128,26.726638793945312,91.25813104870697,7.060130096779312,1.6817388545137237,6303
31023640,야탑2동,분당구,2.1473562717437744,32.94424057006836,90.91346925670251,7.898539091346926,1.1879916519505538,6229
31023530,수내1동,분당구,1.4485499858856201,14.805394172668457,94.0595028381288,5.940497161871208,0.0,10218
