GU_NM,ADM_NM,composite,total_demand_Ds,b2b_score,b2c_score,n_cells,rank,label
분당구,수내1동,0.7774159949251578,10.883823928952209,1.0,0.8725946944328697,14,1,수내1동
분당구,야탑1동,0.6807534932036852,10.892055891258963,0.8630267289942255,0.5053073302701437,16,2,야탑1동
수정구,태평4동,0.6454353249079487,3.2271766245397435,0.9431611805337925,0.689776939972584,5,3,태평4동
분당구,정자1동,0.640844424759958,11.535199645679244,0.7036987105425986,0.3912288089646858,18,4,정자1동
수정구,신흥3동,0.5863155539839904,2.9315777699199517,0.9612032659288843,0.41273365260007483,5,5,신흥3동
중원구,성남동,0.508153723088836,14.228304246487408,0.4750741802404046,0.22691923468011396,28,6,성남동
수정구,위례동,0.5018206070269415,21.578286102158486,0.2782908015070536,0.135538196099941,43,7,위례동
분당구,서현1동,0.49757514797922636,49.25993964994341,0.24316358695664436,0.1568736399080484,99,8,서현1동
분당구,백현동,0.49309259478025247,13.313500059066817,0.2712591632191613,0.1696190422988663,27,9,백현동
분당구,삼평동,0.46860280345974675,18.275509334930124,0.315303741908038,0.1706182831907607,39,10,삼평동
분당구,정자동,0.4667082256176748,7.467331609882796,0.3205098765780579,0.1756013518055147,16,11,정자동
수정구,신흥1동,0.46297613055698916,1.8519045222279567,0.6404342531307063,0.2409641033296796,4,12,신흥1동
수정구,태평3동,0.45547811619450174,1.821912464778007,0.7251393565038079,0.2638961728812283,4,13,태평3동
분당구,운중동,0.428018405116932,103.15243563318062,0.0117325852896997,0.0074089079150314,241,14,운중동
분당구,서현2동,0.42611810568550473,4.687299162540552,0.426322169350031,0.1732139477441886,11,15,서현2동
