lot_id,lot_name,lot_class,lot_subtype,address_road,address_jibun,lat,lon,ADM_NM,GU_NM,CSV_ADMI_CD,h3_index,nearest_h3_m,capacity_num,avg_monthly_entries,parking_candidate_score,parking_candidate_score_confidence,parking_site_score,Ds,demand_grade,delivery_zone,constraint_score,drone_score,robot_score,service_priority_score,covered_cell_count,covered_priority_cell_count,covered_priority_ratio,catchment_mean_Ds,catchment_total_Ds,catchment_max_Ds,catchment_mean_service_priority,demand_context_score,constraint_context_score,zone_score,corporate_context_score,candidate_score_primary,candidate_score_conservative,candidate_score_for_ranking,candidate_rank,candidate_percentile,candidate_grade,airspace_review_required,candidate_reason,risk_note,nb10_candidate_reason,nb10_risk_note
206-2-000011,수내역환승,공영,노외,경기도 성남시 분당구 수내로 74,None,37.379279,127.118856,수내1동,분당구,41135520,8930e1530dbffff,0.0,526,17424.257142857143,0.8361,1.0,0.8361,0.8298987264166263,A,부적합,0.7646021329968842,0.5069002367346448,0.7904115086369348,0.7089518114719946,60,0.0,0.0,0.4886604359391248,29.319626156347486,0.8298987264166263,0.5394227921407189,0.6931962615634748,0.7646021329968842,0.0,1.0,0.6927942247964373,0.6927942247964373,0.6927942247964373,1,100.0,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-3-000001,분당구청 부설주차장,공영,부설,경기도 성남시 분당구 분당로50,경기도 성남시 분당구 수내동 1,37.382624,127.1189553112,수내1동,분당구,41135520,8930e1530d3ffff,0.0,541,,0.6897,0.6,0.6897,0.8298987264166263,A,부적합,0.8974146329968842,0.6397127367346447,0.7904115086369348,0.7554361864719945,58,0.0,0.0,0.5048677453089152,29.282329227917085,0.8298987264166263,0.5444005921885802,0.702673820202877,0.8974146329968842,0.0,1.0,0.692714495320228,0.692714495320228,0.692714495320228,2,99.4,A,False,"부설 공영주차장, 주차면수 큼, 입출차 데이터 없음, 24시간 운영",입출차 데이터 미확보,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000020,백현동카페거리공영주차장,공영,노외,경기도 성남시 분당구 판교역로2번길 23,경기도 성남시 분당구 백현동 563,37.385453,127.111993,백현동,분당구,41135657,8930e15347bffff,0.0,205,9405.285714285714,0.6185,1.0,0.6185,0.45376362521388297,B,부적합,0.8298915760427471,0.6400296557140108,0.5364943484212097,0.5355028805303931,60,0.0,0.0,0.522882571649754,31.372954298985242,0.8298987264166263,0.5670401123169566,0.7137295429898525,0.8298915760427471,0.0,0.1566804533532173,0.619737256724796,0.619737256724796,0.619737256724796,3,98.8,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000023,정자동공영주차장,공영,노외,경기도 성남시 분당구 황새울로116번길 19-8,경기도 성남시 분당구 정자동 72,37.371093,127.11221,정자동,분당구,41135545,8930e15360fffff,0.0,102,4381.828571428571,0.5708,1.0,0.5708,0.4300143748335851,B,부적합,0.846394365225,0.6160866034317733,0.8639397468822663,0.5819247292526872,59,0.0,0.0,0.4915815669781073,29.00331245170833,0.8298987264166263,0.5404463002156886,0.6885471051086431,0.846394365225,0.0,0.1328785730998173,0.601934006749266,0.601934006749266,0.601934006749266,4,98.2,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000007,정자역환승,공영,노외,경기도 성남시 분당구 성남대로331번길 6,None,37.365753,127.107329,정자1동,분당구,41135550,8930e153643ffff,0.0,208,12796.171428571428,0.5709,1.0,0.5709,0.6610120434351695,A,부적합,0.8842110776889434,0.6097421364749169,0.8738652162585279,0.6856382105637528,58,11.0,0.1896551724137931,0.42022603897462024,24.373110260527973,0.6610120434351695,0.517885493965054,0.5435932204205982,0.8842110776889434,0.0,0.8869778705706505,0.5983842900979778,0.5983842900979778,0.5983842900979778,5,97.7,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000015,판교공영,공영,노외,경기도 성남시 분당구 판교역로146번길 8,None,37.393624,127.110748,백현동,분당구,41135657,8930e153403ffff,0.0,734,24860.8,0.8974,1.0,0.8974,0.45376362521388297,B,부적합,0.7019544856031449,0.44407940981434274,0.8292906584066789,0.5254795564626031,56,0.0,0.0,0.42898493381529507,24.023156293656523,0.46286517016966955,0.5132733716598444,0.5411287007325031,0.7019544856031449,0.0,0.1566804533532173,0.5970676893248231,0.5970676893248231,0.5970676893248231,6,97.1,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000014,서현 환승,공영,노외,경기도 성남시 분당구 황새울로 360번길 43,None,37.384261,127.123721,서현1동,분당구,41135580,8930e15308bffff,0.0,486,28473.714285714286,0.7338,1.0,0.7338,0.46286517016966955,A,부적합,0.7434893001080974,0.5037017373839642,0.7097947267368776,0.5265438800081143,58,0.0,0.0,0.4475019476692036,25.955112964813807,0.8298987264166263,0.5067247987154112,0.5948571670334384,0.7434893001080974,0.0,0.1579767405001072,0.5854211705137332,0.5854211705137332,0.5854211705137332,7,96.5,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
205-2-000002,성남동 대형,공영,노외,경기도 성남시 중원구 둔촌대로 10,None,37.428909,127.120119,성남동,중원구,41133510,8930e1c9977ffff,0.0,565,13988.542857142857,0.8841,1.0,0.8841,0.5129422940779669,A,부적합,0.8884454293117431,0.6823392788682603,0.49860200098002705,0.5693631801349817,60,0.0,0.0,0.31865941195534475,19.119564717320685,0.5129422940779669,0.44169681758346885,0.36676194982451804,0.8884454293117431,0.0,0.27329046980358374,0.5851675632566963,0.5851675632566963,0.5851675632566963,8,95.9,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,"종합 점수 낮음, 추가 검토 필요",이상 없음
205-3-000001,성남시청 부설주차장,공영,부설,경기도 성남시 중원구 성남대로 997,None,37.420178,127.12628,도촌동,중원구,41133670,8930e1526c7ffff,0.0,1184,,0.7449,0.6,0.7449,0.2853938536924451,C,부적합,0.8742371580960564,0.6774958369943725,0.47125897323524246,0.45980257175667916,56,0.0,0.0,0.4090404049586053,22.906262677681895,0.7196853984687459,0.48601826096132017,0.5045237185018632,0.8742371580960564,0.0,0.014559613591608749,0.5820955716792466,0.5820955716792466,0.5820955716792466,9,95.3,A,False,"부설 공영주차장, 주차면수 큼, 입출차 데이터 없음, 24시간 운영",입출차 데이터 미확보,수요는 있으나 제약/공역 리스크 있음,이상 없음
204-2-000017,신흥 제7,공영,노외,경기도 성남시 수정구 수정남로 85,None,37.44179956,127.136976,수진1동,수정구,41131570,8930e152407ffff,0.0,276,6957.914285714286,0.7229,1.0,0.7229,0.3742992232065798,B,부적합,0.6871761732381944,0.5795063569627851,0.4170368543091858,0.45466924624177285,57,0.0,0.0,0.4395517105344034,25.054447500460995,0.6775996391710029,0.47083482083082784,0.5702186738240624,0.6871761732381944,0.0,0.2104318660565858,0.5626171724507998,0.5626171724507998,0.5626171724507998,10,94.7,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
