scenario_id,scenario_label_kr,airspace_mode,lot_id,lot_name,lat,lon,site_GU_NM,site_ADM_NM,selected_order,assigned_Ds_sum,coverage_cell_count,route_feasibility,approval_required_routes,candidate_score,hub_explanation
S001,공역+장애물+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,18.5653,58,0.82629,58,0.69271,RFI=0.881 | Ds=18.57 | 58셀 | RFI순위#1 | 경로타당성83%
S001,공역+장애물+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,21.2425,60,0.78124,60,0.61974,RFI=0.851 | Ds=21.24 | 60셀 | RFI순위#2 | 경로타당성78%
S001,공역+장애물+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,18.665,60,0.7752,60,0.69279,RFI=0.830 | Ds=18.66 | 60셀 | RFI순위#3 | 경로타당성78%
S001,공역+장애물+소음+로봇접근+기상 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,4,13.9972,60,0.85268,60,0.54402,RFI=0.782 | Ds=14.00 | 60셀 | RFI순위#4 | 경로타당성85%
S001,공역+장애물+소음+로봇접근+기상 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,5,13.9972,60,0.85249,60,0.58517,RFI=0.781 | Ds=14.00 | 60셀 | RFI순위#5 | 경로타당성85%
S001,공역+장애물+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,6,17.0838,58,0.78547,58,0.59838,RFI=0.781 | Ds=17.08 | 58셀 | RFI순위#6 | 경로타당성79%
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,13.4586,48,0.7626,0,0.48579,RFI=0.721 | Ds=13.46 | 48셀 | RFI순위#1 | 경로타당성76%
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,17.2731,57,0.69945,0,0.50197,RFI=0.600 | Ds=17.27 | 57셀 | RFI순위#2 | 경로타당성70%
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,9.6546,36,0.78196,0,0.51049,RFI=0.485 | Ds=9.65 | 36셀 | RFI순위#3 | 경로타당성78%
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,9.8797,36,0.7302,0,0.55042,RFI=0.305 | Ds=9.88 | 36셀 | RFI순위#4 | 경로타당성73%
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,8.0955,31,0.71936,0,0.535,RFI=0.163 | Ds=8.10 | 31셀 | RFI순위#5 | 경로타당성72%
S002,공역+장애물+소음+로봇접근+기상 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S003,공역+장애물+소음+로봇접근 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,18.8977,58,0.82629,58,0.69271,RFI=0.881 | Ds=18.90 | 58셀 | RFI순위#1 | 경로타당성83%
S003,공역+장애물+소음+로봇접근 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,21.6034,60,0.78124,60,0.61974,RFI=0.851 | Ds=21.60 | 60셀 | RFI순위#2 | 경로타당성78%
S003,공역+장애물+소음+로봇접근 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,18.9973,60,0.7752,60,0.69279,RFI=0.830 | Ds=19.00 | 60셀 | RFI순위#3 | 경로타당성78%
S003,공역+장애물+소음+로봇접근 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,4,14.2362,60,0.85268,60,0.54402,RFI=0.782 | Ds=14.24 | 60셀 | RFI순위#4 | 경로타당성85%
S003,공역+장애물+소음+로봇접근 (승인허용),approval_required_allowed,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,5,17.3736,58,0.78547,58,0.59838,RFI=0.781 | Ds=17.37 | 58셀 | RFI순위#5 | 경로타당성79%
S003,공역+장애물+소음+로봇접근 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,6,14.2362,60,0.85249,60,0.58517,RFI=0.781 | Ds=14.24 | 60셀 | RFI순위#6 | 경로타당성85%
S004,공역+장애물+소음+로봇접근 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,13.6551,48,0.7626,0,0.48579,RFI=0.721 | Ds=13.66 | 48셀 | RFI순위#1 | 경로타당성76%
