step,row_idx,h3_index,lat,lon,ADM_NM,GU_NM,Ds_v3,Ra,composite_v2,new_covered,total_covered,coverage_pct,gain_weight
1,1185,8930e15312bffff,37.385757040484,127.15517981080716,서현1동,분당구,0.68,0.5865,0.088,41,41,0.0655,27.8819
2,1427,8930e153487ffff,37.40017554199969,127.10921739485588,삼평동,분당구,0.6423,0.5534,0.083,37,78,0.1246,21.3305
3,34,8930e152123ffff,37.43572767662649,127.17779871436096,상대원1동,중원구,0.5002,0.4456,0.0668,39,117,0.1869,19.5074
4,1334,8930e1530d3ffff,37.38190828220894,127.11815888254486,수내1동,분당구,0.4597,0.6603,0.099,36,153,0.2444,18.1341
5,862,8930e1cd6c3ffff,37.4668648381357,127.14632469557203,위례동,수정구,0.4708,0.4496,0.0674,34,187,0.2987,16.008
6,1295,8930e0249d7ffff,37.34344743120266,127.11753569033726,구미동,분당구,0.3798,0.7436,0.5562,41,228,0.3642,14.3846
7,556,8930e026b33ffff,37.36760177292466,127.09600091348852,금곡동,분당구,0.3242,0.5685,0.0853,41,269,0.4297,14.3556
8,710,8930e15302fffff,37.37926544242254,127.13890004130542,서현2동,분당구,0.1274,0.4447,0.0667,20,289,0.4617,13.6009
9,1099,8930e15244bffff,37.43035927653107,127.13011432578853,성남동,중원구,0.6301,0.5632,0.0845,21,310,0.4952,13.2331
10,1189,8930e1504d7ffff,37.39814216247577,127.1588544304825,야탑3동,분당구,0.2482,0.5509,0.0826,33,343,0.5479,11.2126
