step,h3_index,lat,lon,ADM_NM,GU_NM,Ds_v3,Ra,composite_v3,score_construction,score_protected,zone,new_covered,coverage_pct
1,8930e153173ffff,37.38359319009531,127.14975232511092,서현1동,분당구,0.68,0.7063,0.1059,1.0,0.6,로봇전용,39,0.0607
2,8930e024dbbffff,37.35889104944779,127.10836163785046,정자1동,분당구,0.5904,0.7831,0.2973,1.0,0.6,Hybrid,26,0.1011
3,8930e026b53ffff,37.36044942688107,127.08492890282172,구미1동,분당구,0.2718,0.5542,0.4911,1.0,0.6,Hybrid,39,0.1617
4,8930e024d53ffff,37.34825559330758,127.10223043417538,금곡동,분당구,0.3242,0.4995,0.3556,0.7,0.6,Hybrid,27,0.2037
5,8930e15346fffff,37.38473301111654,127.1183971013442,수내1동,분당구,0.4597,0.7687,0.1153,1.0,0.6,로봇전용,35,0.2582
6,8930e152cc7ffff,37.44354774636257,127.1837171639096,상대원1동,중원구,0.5002,0.5445,0.0817,0.5,0.6,일반,40,0.3204
7,8930e1cd6d3ffff,37.46860681196969,127.14384782531287,위례동,수정구,0.4708,0.6852,0.1028,1.0,0.6,로봇전용,33,0.3717
8,8930e15326bffff,37.3516779780984,127.13132591821932,정자3동,분당구,0.1556,0.5436,0.4895,1.0,0.6,Hybrid,15,0.395
9,8930e153417ffff,37.39560896398931,127.1114530902622,백현동,분당구,0.2946,0.6054,0.0908,1.0,0.6,로봇전용,30,0.4417
10,8930e1c9b2fffff,37.41124041632629,127.12325481207814,야탑1동,분당구,0.4302,0.7093,0.1064,1.0,0.6,로봇전용,19,0.4712
