h3_index,h3_res,centroid_lat,centroid_lon,ADM_NM,GU_NM,CSV_ADMI_CD,coverage_ratio,is_edge_cell,h3_marker_radius_px,b2b_score,commercial_score,b2c_score,sales_score,base_h3_score,Ds,Od,Cc,demand_grade,demand_rank,demand_percentile,delivery_demand_index,flow_pop_index
8930e153013ffff,9,37.38233020706954,127.12605539248388,서현1동,분당구,41135580,1.0,0,4,0.2431635869566444,1.0,0.1568736399080484,0.5902633650522128,0.4975751479792264,0.4975751479792264,0.2431635869566444,0.1568736399080484,A,42,84.0,0.881655226086415,0.9351769011355312
8930e024cafffff,9,37.3506584595111,127.09457861724036,금곡동,분당구,41135662,1.0,0,4,0.088910056037352,0.8105480892439647,0.0458448617467097,0.6004387064139654,0.38643542836049793,0.38643542836049793,0.088910056037352,0.0458448617467097,B,28,56.00000000000001,0.8165099788515986,0.7610887846993277
8930e1c912fffff,9,37.42802870440284,127.0696367139712,고등동,수정구,41131640,1.0,0,4,0.0047344222891329,0.563307274067727,0.0034386463829846,0.6906974889051272,0.3155444579112429,0.3155444579112429,0.0047344222891329,0.0034386463829846,C,11,22.0,0.3382761765419816,0.5631398843293168
8930e15264bffff,9,37.410581221462095,127.12844226527524,야탑1동,분당구,41135620,1.0,0,4,0.8630267289942255,0.8809722372067536,0.5053073302701437,0.4737076763436179,0.6807534932036852,0.6807534932036852,0.8630267289942255,0.5053073302701437,A,49,98.0,0.8863802748738852,0.8174726088619849
8930e026a07ffff,9,37.35894437134783,127.0743336578728,구미1동,분당구,41135665,1.0,0,4,0.135782488432641,0.7309825560957123,0.0859169663544788,0.6007368125922509,0.38835470586877074,0.38835470586877074,0.135782488432641,0.0859169663544788,B,29,57.99999999999999,0.4688519830972249,0.6973860753274006
8930e152167ffff,9,37.43007419579828,127.17731637013138,상대원1동,중원구,41133570,1.0,0,4,0.0536057568915534,0.6904231266000725,0.0118079597967463,0.2151016645367137,0.24273462695627152,0.24273462695627152,0.0536057568915534,0.0118079597967463,D,6,12.0,0.6397888896736036,0.6649128994782841
8930e152543ffff,9,37.440769995523176,127.14935863000278,중앙동,중원구,41133525,1.0,0,4,0.1913800611444096,0.5183487607853257,0.0737175882922231,0.5858938017085731,0.3423350529826329,0.3423350529826329,0.1913800611444096,0.0737175882922231,C,23,46.0,0.2418652203850697,0.5271446613715776
8930e1c8b43ffff,9,37.452965135326025,127.13202658543788,복정동,수정구,41131620,1.0,0,4,0.0945999036459246,0.6054283979324323,0.0206579963501409,0.379589044114181,0.2750688355106697,0.2750688355106697,0.0945999036459246,0.0206579963501409,C,10,20.0,0.341178602879723,0.5968634026142088
8930e1c9027ffff,9,37.42326253384161,127.05090721245168,고등동,수정구,41131640,1.0,0,4,0.0047344222891329,0.563307274067727,0.0034386463829846,0.6906974889051272,0.3155444579112429,0.3155444579112429,0.0047344222891329,0.0034386463829846,C,11,22.0,0.3382761765419816,0.5631398843293168
8930e1c9ed3ffff,9,37.41847259449854,127.0662190043511,시흥동,수정구,41131650,1.0,0,4,0.0117207013502018,0.619594904114988,0.0064844152483438,0.457599072586192,0.2738497733249314,0.2738497733249314,0.0117207013502018,0.0064844152483438,D,8,16.0,0.3861493162339475,0.6082055603357117
8930e15243bffff,9,37.43926153164376,127.13873646801775,신흥1동,수정구,41131510,1.0,0,4,0.6404342531307063,0.3197528874514579,0.2409641033296796,0.6507532783161127,0.46297613055698916,0.46297613055698916,0.6404342531307063,0.2409641033296796,A,41,82.0,0.295359832284298,0.3681424565113529
8930e152e03ffff,9,37.42309804817607,127.1872205690562,도촌동,중원구,41133670,1.0,0,4,0.0226577816181148,0.7059662820815956,0.0065748632745028,0.6621889585805354,0.3493469713886872,0.3493469713886872,0.0226577816181148,0.0065748632745028,C,18,36.0,0.7018436487590132,0.677357246636962
8930e1c8a3bffff,9,37.45145410700295,127.12140625144572,태평1동,수정구,41131540,1.0,0,4,0.1950230913822297,0.6285420871564925,0.0600585609366998,0.5826479806958633,0.36656793004282134,0.36656793004282134,0.1950230913822297,0.0600585609366998,B,26,52.0,0.3183210802017464,0.6153689611003168
8930e026cdbffff,9,37.38829892194823,127.04537943696836,운중동,분당구,41135680,1.0,0,4,0.0117325852896997,0.8375340736275518,0.0074089079150314,0.8553980536354453,0.428018405116932,0.428018405116932,0.0117325852896997,0.0074089079150314,B,30,60.0,0.4358038389443436,0.7826946264788317
8930e1c9dcbffff,9,37.44126762497704,127.08908644971076,고등동,수정구,41131640,1.0,0,4,0.0047344222891329,0.563307274067727,0.0034386463829846,0.6906974889051272,0.3155444579112429,0.3155444579112429,0.0047344222891329,0.0034386463829846,C,11,22.0,0.3382761765419816,0.5631398843293168
8930e152333ffff,9,37.41768510383994,127.17363528772268,도촌동,중원구,41133670,1.0,0,4,0.0226577816181148,0.7059662820815956,0.0065748632745028,0.6621889585805354,0.3493469713886872,0.3493469713886872,0.0226577816181148,0.0065748632745028,C,18,36.0,0.7018436487590132,0.677357246636962
8930e024997ffff,9,37.350177322067054,127.12072195653036,구미1동,분당구,41135665,1.0,0,4,0.135782488432641,0.7309825560957123,0.0859169663544788,0.6007368125922509,0.38835470586877074,0.38835470586877074,0.135782488432641,0.0859169663544788,B,29,57.99999999999999,0.4688519830972249,0.6973860753274006
8930e1c9237ffff,9,37.405237847425816,127.04678870795314,시흥동,수정구,41131650,1.0,0,4,0.0117207013502018,0.619594904114988,0.0064844152483438,0.457599072586192,0.2738497733249314,0.2738497733249314,0.0117207013502018,0.0064844152483438,D,8,16.0,0.3861493162339475,0.6082055603357117
8930e026b0fffff,9,37.36369570587125,127.09305476844888,금곡동,분당구,41135662,1.0,0,4,0.088910056037352,0.8105480892439647,0.0458448617467097,0.6004387064139654,0.38643542836049793,0.38643542836049793,0.088910056037352,0.0458448617467097,B,28,56.00000000000001,0.8165099788515986,0.7610887846993277
8930e1536c3ffff,9,37.37259027175192,127.10165738205704,금곡동,분당구,41135662,1.0,0,4,0.088910056037352,0.8105480892439647,0.0458448617467097,0.6004387064139654,0.38643542836049793,0.38643542836049793,0.088910056037352,0.0458448617467097,B,28,56.00000000000001,0.8165099788515986,0.7610887846993277
8930e026bd3ffff,9,37.36675589569753,127.0802218402037,금곡동,분당구,41135662,1.0,0,4,0.088910056037352,0.8105480892439647,0.0458448617467097,0.6004387064139654,0.38643542836049793,0.38643542836049793,0.088910056037352,0.0458448617467097,B,28,56.00000000000001,0.8165099788515986,0.7610887846993277
8930e1c886fffff,9,37.46384143895194,127.12507591957736,복정동,수정구,41131620,1.0,0,4,0.0945999036459246,0.6054283979324323,0.0206579963501409,0.379589044114181,0.2750688355106697,0.2750688355106697,0.0945999036459246,0.0206579963501409,C,10,20.0,0.341178602879723,0.5968634026142088
