version,rank,dong,gu,ds3,ra,composite,coverage_pct
v2,1,서현1동,분당구,0.68,0.5865,0.088,6.550000000000001
v2,2,삼평동,분당구,0.6423,0.5534,0.083,12.46
v2,3,상대원1동,중원구,0.5002,0.4456,0.0668,18.69
v2,4,수내1동,분당구,0.4597,0.6603,0.099,24.44
v2,5,위례동,수정구,0.4708,0.4496,0.0674,29.87
v2,6,구미동,분당구,0.3798,0.7436,0.5562,36.42
v2,7,금곡동,분당구,0.3242,0.5685,0.0853,42.970000000000006
v2,8,서현2동,분당구,0.1274,0.4447,0.0667,46.17
v2,9,성남동,중원구,0.6301,0.5632,0.0845,49.519999999999996
v2,10,야탑3동,분당구,0.2482,0.5509,0.0826,54.790000000000006
v3,1,서현1동,분당구,0.68,0.7063,0.1059,6.069999999999999
v3,2,정자1동,분당구,0.5904,0.7831,0.2973,10.11
v3,3,구미1동,분당구,0.2718,0.5542,0.4911,16.17
v3,4,금곡동,분당구,0.3242,0.4995,0.3556,20.369999999999997
v3,5,수내1동,분당구,0.4597,0.7687,0.1153,25.82
v3,6,상대원1동,중원구,0.5002,0.5445,0.0817,32.04
v3,7,위례동,수정구,0.4708,0.6852,0.1028,37.169999999999995
v3,8,정자3동,분당구,0.1556,0.5436,0.4895,39.5
v3,9,백현동,분당구,0.2946,0.6054,0.0908,44.17
v3,10,야탑1동,분당구,0.4302,0.7093,0.1064,47.12
