scenario_id,lot_id,lot_name,hub_lat,hub_lon,target_h3_index,target_ADM_NM,target_GU_NM,target_lat,target_lon,scenario_h3_score,drone_time_min,time_saving_min,co2_saving_g,airspace_approval_required,drone_direct_feasible_strict,route_constraint_score,hub_rank
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153687ffff,정자1동,분당구,37.3804,127.10755,0.4301,0.68435,24.32,1094.4,True,False,0.78013,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15342fffff,이매2동,분당구,37.39147,127.12159,0.1295,1.07979,23.92,1076.4,True,False,0.74754,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15340fffff,백현동,분당구,37.39104,127.11369,0.2729,0.63799,24.36,1096.2,True,False,0.72286,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153443ffff,백현동,분당구,37.38605,127.10803,0.3062,0.35721,24.64,1108.8,True,False,0.77229,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1534c3ffff,백현동,분당구,37.39236,127.10332,0.365,1.08479,23.92,1076.4,True,False,0.77355,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1530c3ffff,수내2동,분당구,37.38017,127.12063,0.0881,0.96385,24.04,1081.8,True,False,0.82978,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153413ffff,백현동,분당구,37.39453,127.10874,0.3709,1.04694,23.95,1077.8,True,False,0.76075,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15368fffff,정자1동,분당구,37.37758,127.10732,0.4368,0.96674,24.03,1081.4,True,False,0.81554,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15342bffff,백현동,분당구,37.39038,127.11887,0.301,0.81859,24.18,1088.1,True,False,0.75678,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15347bffff,백현동,분당구,37.38539,127.11321,0.3294,0.10817,24.89,1120.0,True,False,0.76952,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153447ffff,백현동,분당구,37.38714,127.11074,0.2697,0.21711,24.78,1115.1,True,False,0.76952,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153403ffff,백현동,분당구,37.39278,127.11122,0.2854,0.81626,24.18,1088.1,True,False,0.72069,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153683ffff,정자1동,분당구,37.37932,127.10484,0.4349,0.92926,24.07,1083.2,True,False,0.78732,1
