lot_id,lot_name,site_ADM_NM,site_GU_NM,candidate_rank,candidate_grade,candidate_score_for_ranking,total_route_pairs,strict_1km_pairs,drone_feasible_approval_count,drone_feasible_strict_count,robot_handoff_feasible_count,airspace_approval_required_count,mean_drone_time_min,mean_robot_time_min_adjusted,demand_weighted_drone_time_min,served_Ds_sum_approval,served_Ds_sum_strict,mean_route_constraint_score,route_feasibility_index_approval,route_feasibility_index_strict,nb11_route_note
204-1-000001,수상4,단대동,수정구,152,D,0.36251774031611356,58,43,58,0,58,58,0.7726287434684347,17.973073223357805,0.7732422483289492,18.59067686699091,0.0,0.6336793318658827,0.5278,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-1-000002,수상5,단대동,수정구,141,D,0.3773123484076812,56,43,56,0,56,56,0.7595144818592997,17.239371003927417,0.7586184491932608,18.558630792844163,0.0,0.6467798763434943,0.5429,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-1-000003,수상7,신흥3동,수정구,126,C,0.40006391640752026,56,42,56,0,56,56,0.7577132705682831,18.64725329694856,0.7392071540456364,22.289101107388184,0.0,0.6091475797860476,0.5989,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-1-000004,수상9-10,수진1동,수정구,62,B,0.4623076462177581,60,43,60,0,60,60,0.786052614538525,17.213125570065106,0.7682165585304243,25.49096790328917,0.0,0.6572958462896469,0.6607,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-1-000005,수상11,수진1동,수정구,77,B,0.4489163544404781,58,43,58,0,58,58,0.7721001612705695,17.582476490937157,0.7535501280203872,24.227703825173876,0.0,0.6732045008882579,0.6612,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-1-000006,수상11-1,수진1동,수정구,95,C,0.43206815995303693,57,42,57,0,57,57,0.7663810019870281,16.978254318045217,0.7474396283684768,23.970173086898235,0.0,0.6691040988593164,0.6565,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-1-000007,수상1,단대동,수정구,167,D,0.28298789083894554,59,43,59,0,59,59,0.7800328419321269,18.500453654083877,0.7882169971570323,16.979677653845744,0.0,0.6089016091714339,0.474,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-1-000008,수상1-2,단대동,수정구,153,D,0.36046440060115936,60,43,60,0,60,60,0.7868478715068947,20.982710877344623,0.7991960284255388,17.42120700091386,0.0,0.6244006168428944,0.4811,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-1-000009,수상2,단대동,수정구,163,D,0.3123520619669986,57,42,57,0,57,57,0.7653493651377474,18.377193415224248,0.7766228023335532,16.154922976329914,0.0,0.6067286705569176,0.4635,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-1-000010,수상3,단대동,수정구,151,D,0.36284942003139853,60,43,60,0,60,60,0.7866967113852877,17.156105508952308,0.7901949974366755,18.546151102749445,0.0,0.6265578893389032,0.5119,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-1-000011,수상20,단대동,수정구,160,D,0.3329378908389456,59,43,59,0,59,59,0.7800328419321269,18.500453654083877,0.7882169971570323,16.979677653845744,0.0,0.6089016091714339,0.474,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-1-000012,산성대로589,양지동,수정구,158,D,0.33866300661818494,55,41,55,0,55,55,0.7642420958497192,28.889996869533658,0.7824199750981381,15.244640215086525,0.0,0.680628327601813,0.4751,0.0,55 routes need 관제권 approval; no strictly-feasible routes
204-2-000001,논골공영,단대동,수정구,45,B,0.4870890144315913,56,44,56,0,56,56,0.7624991211650559,38.24068520556682,0.7741345740016806,18.74726035831285,0.0,0.7047560687917356,0.5596,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-2-000002,단대 제1,단대동,수정구,88,C,0.4369059031737682,57,43,57,0,57,57,0.766436920546715,27.486319204322616,0.7943805167466377,17.0271518082568,0.0,0.641731598644085,0.4706,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-2-000003,희망로,단대동,수정구,68,B,0.4538583198286968,57,45,57,0,57,57,0.7676836507097946,18.654161352428147,0.7816667999796673,18.611750862103683,0.0,0.6214368545629373,0.4986,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-2-000004,양지 제1,양지동,수정구,73,B,0.4519809498774281,59,43,59,0,59,59,0.7789849656047588,25.979279245546333,0.811604193297021,17.41735272004832,0.0,0.6338003265823782,0.4597,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000005,양지 제2,양지동,수정구,106,C,0.4224125926916994,57,44,57,0,57,57,0.7677372712489745,20.096503797346855,0.7819683035762951,15.881062443345717,0.0,0.611472138927194,0.4546,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-2-000006,산성동 제1,산성동,수정구,59,B,0.46965059124753067,57,45,57,0,57,57,0.7656297467244371,21.61498543423649,0.8144673546590352,20.20668212945368,0.0,0.61624864443838,0.4651,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-2-000007,단대 공원,산성동,수정구,71,B,0.45239765771410667,60,44,60,0,60,60,0.7852333816821974,24.72395824585868,0.8178703640849223,18.46749238508994,0.0,0.6406315574901058,0.4766,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000008,산성동 제2,산성동,수정구,85,B,0.44394581688785023,59,43,59,0,59,59,0.7801198577840969,21.877351017321413,0.8133443488473004,18.423860432284638,0.0,0.6091868649713231,0.4542,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000009,산성역 환승,산성동,수정구,72,B,0.4521406262036063,56,45,56,0,56,56,0.7599430253646228,20.98719888825868,0.7946463264704823,18.416209968165603,0.0,0.6318594560839879,0.4744,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-2-000010,복정 제3공영,복정동,수정구,56,B,0.4738290854620018,44,35,44,0,43,44,0.7162283657939448,19.531535750080216,0.7395145106110982,11.939588109116386,0.0,0.8336923638600623,0.5109,0.0,44 routes need 관제권 approval; no strictly-feasible routes
204-2-000011,복정 제4공영,복정동,수정구,24,A,0.5196366850301597,60,44,60,0,60,60,0.7849884948782293,24.99079388362588,0.808781128413407,17.420170147168125,0.0,0.8026474148307918,0.5844,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000012,복정 제5공영,복정동,수정구,41,B,0.49213507005113716,56,43,56,0,54,56,0.7617926323104763,21.9729729733798,0.7749017998348986,14.6511034148546,0.0,0.8168926998069591,0.5775,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-2-000013,수정,신흥2동,수정구,52,B,0.47806346665205135,59,42,59,0,59,59,0.7787266867401271,21.450146660042154,0.7514688317185475,22.212212581142428,0.0,0.6056905911068683,0.6004,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000014,신흥 제1,신흥1동,수정구,43,B,0.487483194010996,58,41,58,0,58,58,0.7716890993746194,16.743429591421982,0.7633771258309315,25.54176072247938,0.0,0.6483632724803915,0.647,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-2-000016,신흥 3동,신흥3동,수정구,70,B,0.45332080627407767,56,41,56,0,56,56,0.7579948749366804,17.521969170440457,0.7522059246503644,21.405224708495183,0.0,0.5879959891983704,0.5524,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-2-000017,신흥 제7,신흥1동,수정구,10,A,0.5626171724507998,57,43,57,0,57,57,0.7674381000976381,15.50795009858044,0.7696507442149019,25.054447500460995,0.0,0.671878274906975,0.6381,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-2-000018,태평4동 제1,태평4동,수정구,39,B,0.49642446565740844,60,43,60,0,60,60,0.7851473852198444,19.663038148732483,0.7362567686078243,23.8926584693249,0.0,0.6053000642911838,0.6549,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000019,태평,태평3동,수정구,27,A,0.5161207077131108,59,43,59,0,59,59,0.7800084421308322,17.79410319593781,0.7729689300397171,22.781370776839466,0.0,0.6687162090580369,0.6162,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000020,태평동 제1,태평3동,수정구,81,B,0.44644239484837456,58,43,58,0,58,58,0.774462597336696,20.321386674094253,0.775209000329636,19.83822970585761,0.0,0.6573630236774686,0.5573,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-2-000021,태평2동 제1,태평2동,수정구,34,A,0.5038798657744005,60,42,60,0,60,60,0.7858289870941725,19.27727536865762,0.7537332561916371,24.221806750602923,0.0,0.6421946338746883,0.6563,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000022,태평4동제3,태평4동,수정구,29,A,0.5128234950358681,58,41,58,0,58,58,0.7720241523603129,18.540902916385523,0.7236575278737768,23.49353581722201,0.0,0.6337755275183476,0.6721,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-2-000023,아래숯골,태평1동,수정구,46,B,0.48626127655451407,60,43,60,0,60,60,0.7851478459235083,18.805383070652088,0.7820764946615033,20.092620772958085,0.0,0.715836044810539,0.6049,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000024,태평4동,태평4동,수정구,80,B,0.4471249834574532,56,42,56,0,56,56,0.7583996487221611,23.552045579751923,0.7275837130155098,20.247137255867443,0.0,0.6346223154109631,0.6065,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-2-000025,건우,태평2동,수정구,50,B,0.4805159649965502,59,42,59,0,59,59,0.7798326730296194,22.446814948398714,0.7844387995554223,20.489235793797782,0.0,0.6782931659032616,0.5735,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000026,태평동 탄천변,태평1동,수정구,86,B,0.4423798892500256,57,41,57,0,52,57,0.7647791215586718,24.996009489131453,0.7583459261193588,15.31631669998946,0.0,0.7646660060838837,0.5859,0.0,57 routes need 관제권 approval; no strictly-feasible routes
204-2-000027,수진 제1,수진1동,수정구,21,A,0.5270966897490235,59,42,59,0,59,59,0.7782459755377799,16.188590202381828,0.7762201539401483,24.309251384116845,0.0,0.688062797896039,0.6446,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000028,수진 제2,수진2동,수정구,11,A,0.5596379615859924,61,43,61,0,61,61,0.7927249076135439,16.283661157159624,0.7851170885347911,25.045404658523324,0.0,0.6898487485416013,0.6578,0.0,61 routes need 관제권 approval; no strictly-feasible routes
204-2-000029,수진 제3,수진1동,수정구,18,A,0.5316089751023593,56,45,56,0,56,56,0.7596240764976333,16.016945104247338,0.7752168357332199,23.572781374768407,0.0,0.6870762198089098,0.6113,0.0,56 routes need 관제권 approval; no strictly-feasible routes
204-2-000030,수진동 제4,수진2동,수정구,40,B,0.49313913140334625,60,42,60,0,59,60,0.7856860453371648,17.105037560595765,0.7920636401059544,22.170983247741997,0.0,0.7179027960693206,0.6186,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000031,번성,수진2동,수정구,44,B,0.4872897287263061,58,42,58,0,58,58,0.7718915377211645,16.78742203970041,0.783441433720478,22.172273889164327,0.0,0.6970622177246026,0.6022,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-2-000033,복정 제6공영,복정동,수정구,105,C,0.42419937442025374,42,33,42,0,41,42,0.7404143515103352,19.227298714431605,0.7659854879335711,12.08633851756641,0.0,0.8198840312816105,0.446,0.0,42 routes need 관제권 approval; no strictly-feasible routes
204-2-000034,신흥제9공영주차장,신흥1동,수정구,26,A,0.5166860834125706,59,43,59,0,59,59,0.7799073096928453,16.443855220488448,0.7500510948552075,25.720763374256983,0.0,0.6264584311202551,0.6639,0.0,59 routes need 관제권 approval; no strictly-feasible routes
204-2-000035,신흥2동제1공영주차장,신흥2동,수정구,42,B,0.4915300891101113,60,43,60,0,60,60,0.7865252931304778,23.21867026717164,0.7745858186465862,22.46394760911562,0.0,0.5783992435196343,0.5574,0.0,60 routes need 관제권 approval; no strictly-feasible routes
204-2-000036,고등동공영주차장,고등동,수정구,107,C,0.42237483922706864,58,43,58,0,58,58,0.7723378997212017,16.90491380435549,0.7709291861283644,13.9692684715131,0.0,0.7637235003464309,0.5553,0.0,58 routes need 관제권 approval; no strictly-feasible routes
204-2-000037,복정제1공영주차장,복정동,수정구,110,C,0.41999289262868394,30,22,30,0,29,30,0.7879479090641228,20.491021748249587,0.7972040900102503,9.343799687010902,0.0,0.8114864240616505,0.2574,0.0,30 routes need 관제권 approval; no strictly-feasible routes
204-2-000038,신촌동공영주차장,신촌동,수정구,115,C,0.4118821559530255,31,25,31,0,26,31,0.724194433743453,17.365106479486123,0.7278059812235004,5.476914865575119,0.0,0.7479474168519977,0.2802,0.0,31 routes need 관제권 approval; no strictly-feasible routes
