metric,value
route_count,77.0
hub_count,6.0
kosha_success_count,52.0
kosha_success_rate_pct,67.53246753246754
fallback_count,25.0
mean_motorcycle_eta_min,12.712164211204337
mean_drone_direct_wx_eta_min,4.9292742501696
mean_drone_robot_full_wx_eta_min,28.73716969189161
median_direct_time_saving_min,8.208321066885357
median_robot_full_time_saving_min,-13.06682240226961
direct_routes_faster_pct,100.0
robot_full_routes_faster_pct,2.5974025974025974
total_direct_co2_saving_kg_per_cycle,16.484217876667238
total_robot_full_co2_saving_kg_per_cycle,15.592256027176163
baedal_zone_route_share_pct,2.5974025974025974
P_drone_weather_available,0.944093
motorcycle_fallback_speed_kmh,25.0
