YY,MT,DE,ROAD_KIND,ROAD_KIND_CD,ROUTE_NM,ROUTE_CD,UPNDW_DIV,UPNDW_CD,BGPT_LOC,LASTSTOP_LOC,TM01_SPEED,TM02_SPEED,TM03_SPEED,TM04_SPEED,TM05_SPEED,TM06_SPEED,TM07_SPEED,TM08_SPEED,TM09_SPEED,TM10_SPEED,TM11_SPEED,TM12_SPEED,TM13_SPEED,TM14_SPEED,TM15_SPEED,TM16_SPEED,TM17_SPEED,TM18_SPEED,TM19_SPEED,TM20_SPEED,TM21_SPEED,TM22_SPEED,TM23_SPEED,TM24_SPEED,DAY1_AVG_SPEED,source_total_count
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,안성천교,비전지하4,43,50,59,58,48,32,41,50,39,33,40,37,34,28,0,0,0,0,0,0,0,0,0,0,37,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,비전지하4,안성천교,58,55,60,61,59,52,52,32,45,55,51,54,53,54,0,0,0,0,0,0,0,0,0,0,52,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,비전지하4,송탄교차로,30,29,29,29,33,31,32,25,22,28,27,28,27,27,0,0,0,0,0,0,0,0,0,0,27,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,송탄교차로,비행장사거리,27,27,30,29,27,29,29,27,22,25,26,25,25,24,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,송탄교차로,비전지하4,29,26,23,25,23,26,27,24,20,23,23,22,23,23,0,0,0,0,0,0,0,0,0,0,23,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,안양육교삼거리,박달우회도로,34,41,39,43,39,33,34,30,15,30,30,30,30,29,0,0,0,0,0,0,0,0,0,0,30,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,기아대교앞,금천IC,24,22,22,25,25,24,20,14,10,11,15,17,21,18,0,0,0,0,0,0,0,0,0,0,18,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,금천IC,기아대교앞,23,23,23,23,26,25,22,20,13,16,15,20,21,20,0,0,0,0,0,0,0,0,0,0,20,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,대자삼거리,관산삼거리,42,42,50,45,42,42,42,40,35,38,32,33,34,32,0,0,0,0,0,0,0,0,0,0,36,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,관산삼거리,대자삼거리,41,49,44,47,48,43,43,39,34,34,36,36,35,37,0,0,0,0,0,0,0,0,0,0,37,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,관산삼거리,장곡검문소R,35,37,37,39,35,37,29,22,12,18,26,26,26,25,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,장곡검문소R,관산삼거리,37,37,37,40,40,35,31,30,27,27,28,28,29,28,0,0,0,0,0,0,0,0,0,0,29,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,장곡검문소R,육교사거리,44,46,49,46,45,44,39,38,33,34,37,38,39,38,0,0,0,0,0,0,0,0,0,0,38,385467
