ADM_NM,avg_Ra,max_Ra,robot_ok_cells,total_cells,robot_ok_ratio
정자동,0.6955930263011555,0.7990716651801771,16,16,1.0
수내1동,0.6867465615808043,0.7687456022172291,14,14,1.0
수내2동,0.6526863610004734,0.7275554965450146,10,10,1.0
야탑2동,0.6449783097164669,0.7477738806594917,9,9,1.0
이매2동,0.6440054763462449,0.7188137916740558,7,7,1.0
정자1동,0.6276241103138263,0.7831191498515893,18,18,1.0
정자2동,0.6273525002926243,0.6692571196780239,7,7,1.0
백현동,0.6034351608715609,0.6913027217278659,27,27,1.0
야탑1동,0.6028195605886834,0.7360991401355018,16,16,1.0
위례동,0.5987710481087459,0.7347171650952632,43,43,1.0
신흥1동,0.5879685255998284,0.610194809613851,4,4,1.0
구미동,0.5747524172366133,0.7773240681018523,51,51,1.0
수진1동,0.5677119158254325,0.6347405771719137,5,5,1.0
수진2동,0.5673540577785596,0.6215988004042918,12,12,1.0
이매1동,0.5583245275363724,0.7615333020775651,42,42,1.0
정자3동,0.5559810239441346,0.711657119284221,26,27,0.9629629629629629
수내3동,0.5531710355076959,0.6642519974390713,16,16,1.0
태평1동,0.5521578892962795,0.6644010647182778,21,21,1.0
은행2동,0.5474558394520866,0.5836222841474518,33,33,1.0
태평2동,0.5454627493525717,0.6134946392969696,7,7,1.0
삼평동,0.5421771477461222,0.7160087733915195,39,39,1.0
태평3동,0.5418194441265263,0.5905833141332834,4,4,1.0
은행1동,0.5373651326933362,0.581970241449561,4,4,1.0
태평4동,0.5372727841958049,0.5841588746022415,5,5,1.0
상대원3동,0.5342766158907188,0.5762154447168287,5,5,1.0
서현2동,0.5265381667277739,0.648100585189416,11,11,1.0
금곡동,0.5261231912914515,0.7061864733613525,79,80,0.9875
신흥3동,0.5253824449424237,0.5705804055375685,5,5,1.0
분당동,0.5253383501400611,0.6956743834639568,47,48,0.9791666666666666
성남동,0.5182135087257775,0.7367999999999999,28,28,1.0
단대동,0.5133157702224064,0.5689197711155719,11,11,1.0
서현1동,0.5096833274866492,0.7255343744551315,91,99,0.9191919191919192
금광2동,0.5090273314427418,0.5803142275694122,17,17,1.0
중앙동,0.5055377345490337,0.5816136981979549,10,10,1.0
판교동,0.4947814761110604,0.6442023745023698,60,63,0.9523809523809523
야탑3동,0.48391283417267505,0.5918711496125505,68,70,0.9714285714285714
산성동,0.47928464336032656,0.5513031818713965,8,8,1.0
양지동,0.47424604215265553,0.5520080613174003,17,17,1.0
복정동,0.47365284152766507,0.635885452811532,45,48,0.9375
금광1동,0.4705826464436131,0.5242394776011748,8,8,1.0
구미1동,0.4705596771719688,0.7464442317733546,47,51,0.9215686274509803
상대원2동,0.4668337670044313,0.6248054780460016,7,7,1.0
상대원1동,0.46216975413648914,0.5953537775340714,84,90,0.9333333333333333
도촌동,0.4383699717174765,0.6846529478405216,119,128,0.9296875
고등동,0.4118532337719738,0.6751179779489905,139,171,0.8128654970760234
신흥2동,0.4093032476346582,0.5537320452799296,13,14,0.9285714285714286
시흥동,0.39040726608825993,0.7164963045208593,145,178,0.8146067415730337
하대원동,0.3891450012751612,0.5496221836825986,31,34,0.9117647058823529
운중동,0.3838940735834171,0.6532873908540758,191,241,0.7925311203319502
신촌동,0.3443846250179378,0.6307196182986639,48,68,0.7058823529411765
