ADM_NM,GU_NM,robot_index_100,connectivity_index,passable_ratio,slope_ratio,blind_ratio,delivery_density
신흥2동,수정구,75.53,0.6666666666666666,0.8526184983830756,0.0025559105431309905,0.0025559105431309905,0.12268370607028754
중앙동,중원구,74.44,0.5161290322580645,0.8721953821091432,0.005798629414865577,0.0,0.39588824459673166
서현2동,분당구,74.19,0.7950310559006211,0.8668958736843578,0.018867924528301886,0.10716981132075472,0.17886792452830189
산성동,수정구,71.92,0.5,0.7662913360964481,0.006510416666666667,0.0013020833333333333,0.66796875
태평4동,수정구,69.95,0.4,0.9176172946242964,0.000883489784649365,0.012147984538928768,0.0992821645499724
신흥3동,수정구,68.98,0.603448275862069,0.7721761868617689,0.0025559105431309905,0.0025559105431309905,0.12268370607028754
은행2동,중원구,68.68,0.45394736842105265,0.9266550669036677,0.03325166258312916,0.05285264263213161,0.47497374868743436
수진2동,수정구,68.48,0.4945054945054945,0.8680537808942322,0.003767598651596272,0.009518143961927425,0.08189569700575054
단대동,수정구,68.17,0.45161290322580644,0.90453082422923,0.016877637130801686,0.010548523206751054,0.2616033755274262
금광2동,중원구,67.8,0.432,0.945436681095668,0.005368647100930566,0.006800286327845383,0.21116678596993557
판교동,분당구,67.16,0.4828897338403042,0.8824181102595765,0.007584830339321357,0.07345309381237525,0.10658682634730539
수내1동,분당구,66.89,0.5918367346938775,0.7833324879228256,0.0,0.08656716417910448,0.12835820895522387
신흥1동,수정구,66.87,0.5964912280701754,0.7902430014517612,0.0025559105431309905,0.0025559105431309905,0.12268370607028754
성남동,중원구,66.57,0.40414507772020725,0.9168035775974288,0.0011750881316098707,0.006462984723854289,0.26498237367802585
금광1동,중원구,65.73,0.23255813953488372,1.0,0.005368647100930566,0.006800286327845383,0.21116678596993557
수내3동,분당구,64.45,0.5384615384615384,0.7920842591596435,0.0,0.08656716417910448,0.12835820895522387
태평1동,수정구,64.27,0.2698412698412698,0.943193635412964,0.000883489784649365,0.012147984538928768,0.0992821645499724
삼평동,분당구,63.62,0.42857142857142855,0.908632573427714,0.030878859857482184,0.035629453681710214,0.07838479809976247
백현동,분당구,63.44,0.43846153846153846,0.874415307803266,0.00618921308576481,0.14942528735632185,0.1184792219274978
신촌동,수정구,62.72,0.723404255319149,0.7148476360581216,0.012699446434386193,0.1566265060240964,0.1302507326603712
은행1동,중원구,61.64,0.08,1.0,0.03325166258312916,0.05285264263213161,0.47497374868743436
시흥동,수정구,61.4,0.32682926829268294,1.0,0.035259692757863934,0.22297000731528896,0.09597659107534748
하대원동,중원구,61.37,0.5504587155963303,0.8370534541885633,0.018018018018018018,0.10304054054054054,0.22635135135135134
정자1동,분당구,60.91,0.376,0.82601861962788,0.0033624747814391394,0.0242098184263618,0.09347679892400806
