GU_NM,ADM_NM,score,n_cells,rank,kr_title,label
분당구,수내2동,0.8181097280947548,2,1,로봇배송용이성,수내2동
분당구,정자동,0.8168795935752856,2,2,로봇배송용이성,정자동
분당구,수내1동,0.8157888961770994,2,3,로봇배송용이성,수내1동
분당구,야탑1동,0.7844290659577575,2,4,로봇배송용이성,야탑1동
분당구,정자1동,0.6485419732542725,2,5,로봇배송용이성,정자1동
분당구,백현동,0.6333417969528432,5,6,로봇배송용이성,백현동
분당구,야탑2동,0.5629279657103696,1,7,로봇배송용이성,야탑2동
수정구,태평1동,0.5092793941828865,3,8,로봇배송용이성,태평1동
분당구,정자2동,0.4775055681197722,1,9,로봇배송용이성,정자2동
수정구,수진2동,0.4726350505432668,1,10,로봇배송용이성,수진2동
분당구,이매2동,0.4655288470266178,1,11,로봇배송용이성,이매2동
수정구,신흥1동,0.4549997055210363,1,12,로봇배송용이성,신흥1동
수정구,위례동,0.4492621532364066,8,13,로봇배송용이성,위례동
분당구,삼평동,0.4378264538840164,6,14,로봇배송용이성,삼평동
분당구,정자3동,0.4324475716720029,5,15,로봇배송용이성,정자3동
