GU_NM,ADM_NM,single_hh_count,Hr
수정구,신흥1동,4766,0.41946026706508543
수정구,신흥2동,2540,0.2115977215426277
수정구,신흥3동,3958,0.34400971145765247
수정구,태평1동,5107,0.4513026426370343
수정구,태평2동,4026,0.3503595106919414
수정구,태평3동,3386,0.29059669436922214
수정구,태평4동,3202,0.2734148846764404
수정구,수진1동,4142,0.36119152115043424
수정구,수진2동,3694,0.3193575497245308
수정구,단대동,2459,0.20403399010178355
수정구,산성동,910,0.05938929872070221
수정구,양지동,1786,0.14118965356242413
수정구,복정동,4540,0.39835652255112525
수정구,위례동,5896,0.5249789896348865
수정구,신촌동,811,0.05014473807078158
수정구,고등동,2083,0.16892333551218602
수정구,시흥동,1309,0.09664767952189747
중원구,성남동,10983,1.0
중원구,중앙동,2851,0.24063871509944906
중원구,금광1동,2327,0.1917079092352227
중원구,금광2동,5735,0.5099449061537025
중원구,은행1동,1800,0.14249696516948362
중원구,은행2동,4943,0.4359884209543375
중원구,상대원1동,5723,0.5088243533476515
중원구,상대원2동,832,0.052105705481370806
중원구,상대원3동,3446,0.2961994583994771
중원구,하대원동,2603,0.21748062377439537
중원구,도촌동,3301,0.282659445326361
분당구,분당동,3309,0.283406480530395
분당구,수내1동,3333,0.28564758614249697
분당구,수내2동,274,0.0
분당구,수내3동,1613,0.1250350172751891
분당구,정자동,2602,0.21738724437389112
분당구,정자1동,6329,0.5654122700532263
분당구,정자2동,3526,0.303669810439817
분당구,정자3동,1934,0.15500980483705296
분당구,서현1동,4429,0.3879914090951536
분당구,서현2동,1633,0.12690260528527406
분당구,이매1동,1830,0.14529834718461107
분당구,이매2동,646,0.03473713698758054
분당구,야탑1동,3054,0.25959473340181155
분당구,야탑2동,1540,0.11821832103837894
분당구,야탑3동,5307,0.46997852273788404
분당구,금곡동,4516,0.39611541693902325
분당구,구미동,4773,0.4201139228686152
분당구,구미1동,2502,0.20804930432346624
분당구,판교동,1311,0.09683443832290596
분당구,삼평동,2248,0.18433093659538705
분당구,백현동,2827,0.2383976094873471
분당구,운중동,2488,0.20674199271640675
