h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds_v3,Hr,Fp,Cc,Ec,Od_v2,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,score_construction,score_protected,Ra,composite_v3,zone,demand_grade,is_hub_v3,hub_rank_v3,is_hub_v2
8930e153013ffff,37.3823,127.1261,41135580,서현1동,분당구,0.68,0.388,0.638,0.9968,0.6063,0.8988,0.0,0.3875,0.844,1.0,0.8,1.0,0.6,0.5198,0.078,일반,A-최우선,0,0.0,0
8930e024cafffff,37.3507,127.0946,41135662,금곡동,분당구,0.3242,0.3961,0.2918,0.2717,0.2575,0.4062,1.0,1.0,1.0,1.0,0.8,0.65,0.6,0.4688,0.3355,Hybrid,C-보통,0,0.0,0
8930e1c912fffff,37.428,127.0696,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,0.7223,1.0,0.8,1.0,0.6,0.5223,0.0783,일반,D-낮음,0,0.0,0
8930e15264bffff,37.4106,127.1284,41135620,야탑1동,분당구,0.4302,0.2596,0.3922,0.554,0.4649,0.5538,0.0,0.3,0.8629,1.0,0.8,1.0,0.6,0.5791,0.0869,로봇전용,B-높음,0,0.0,0
8930e026a07ffff,37.3589,127.0743,41135665,구미1동,분당구,0.2718,0.208,0.2213,0.3151,0.3578,0.2731,1.0,1.0,0.988,1.0,0.8,1.0,0.6,0.0,0.4031,드론전용,C-보통,0,0.0,0
8930e152167ffff,37.4301,127.1773,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,0.3875,0.7909,1.0,0.8,0.4,0.6,0.4194,0.0629,일반,A-최우선,0,0.0,0
8930e152543ffff,37.4408,127.1494,41133525,중앙동,중원구,0.1068,0.2406,0.0874,0.0453,0.0165,0.112,0.0,0.825,0.5023,1.0,0.8,1.0,0.6,0.4565,0.0685,일반,D-낮음,0,0.0,0
8930e1c8b43ffff,37.453,127.132,41131620,복정동,수정구,0.229,0.3984,0.1664,0.117,0.2038,0.2129,0.0,0.65,0.9092,1.0,0.8,1.0,0.6,0.5906,0.0886,로봇전용,C-보통,0,0.0,0
8930e1c9027ffff,37.4233,127.0509,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5417,0.0813,일반,D-낮음,0,0.0,0
8930e1c9ed3ffff,37.4185,127.0662,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.5698,0.0855,일반,D-낮음,0,0.0,0
8930e15243bffff,37.4393,127.1387,41131510,신흥1동,수정구,0.1696,0.4195,0.0429,0.0745,0.0217,0.2461,0.0,0.9125,0.5004,1.0,0.8,1.0,0.6,0.6102,0.0915,일반,D-낮음,0,0.0,0
