GU_NM,ADM_NM,cell_count,avg_ds3,max_ds3,avg_ra,avg_cv3,hub_v3_count,hub_v2_count,feasible_cells,드론전용,로봇전용,Hybrid,일반,부적합,feasible_pct
분당구,구미1동,51,0.2718,0.2718,0.4706,0.4029,1,0,51,6,3,38,4,0,100.0
분당구,구미동,51,0.3798,0.3798,0.5748,0.1704,0,1,51,0,1,44,6,0,100.0
분당구,금곡동,80,0.3242,0.3242,0.5261,0.1777,1,1,79,0,31,32,16,1,98.8
분당구,백현동,27,0.2946,0.2946,0.6034,0.0905,1,0,27,0,26,0,1,0,100.0
분당구,분당동,48,0.1296,0.1296,0.5253,0.1713,0,0,48,1,0,10,37,0,100.0
분당구,삼평동,39,0.6423,0.6423,0.5422,0.0813,0,1,39,0,17,0,22,0,100.0
분당구,서현1동,99,0.68,0.68,0.5097,0.0765,1,1,91,0,47,0,44,8,91.9
분당구,서현2동,11,0.1274,0.1274,0.5265,0.079,0,1,11,0,0,0,11,0,100.0
분당구,수내1동,14,0.4597,0.4597,0.6867,0.103,1,1,14,0,14,0,0,0,100.0
분당구,수내2동,10,0.0328,0.0328,0.6527,0.0979,0,0,10,0,0,0,10,0,100.0
분당구,수내3동,16,0.081,0.081,0.5532,0.2092,0,0,16,0,0,5,11,0,100.0
분당구,야탑1동,16,0.4302,0.4302,0.6028,0.0904,1,0,16,0,11,0,5,0,100.0
분당구,야탑2동,9,0.1277,0.1277,0.645,0.0967,0,0,9,0,0,0,9,0,100.0
분당구,야탑3동,70,0.2482,0.2482,0.4839,0.0726,0,1,68,0,13,0,55,2,97.1
분당구,운중동,241,0.247,0.247,0.3839,0.1492,0,0,223,37,29,34,123,18,92.5
분당구,이매1동,42,0.141,0.141,0.5583,0.0837,0,0,42,0,0,0,42,0,100.0
분당구,이매2동,7,0.0422,0.0422,0.644,0.0966,0,0,7,0,0,0,7,0,100.0
분당구,정자1동,18,0.5904,0.5904,0.6276,0.1165,1,0,18,0,14,1,3,0,100.0
분당구,정자2동,7,0.1058,0.1058,0.6274,0.0941,0,0,7,0,0,0,7,0,100.0
분당구,정자3동,27,0.1556,0.1556,0.556,0.3549,1,0,27,1,0,21,5,0,100.0
분당구,정자동,16,0.1949,0.1949,0.6956,0.1097,0,0,16,0,0,1,15,0,100.0
분당구,판교동,63,0.1369,0.1369,0.4948,0.0742,0,0,60,0,0,0,60,3,95.2
수정구,고등동,171,0.1394,0.1394,0.4119,0.0618,0,0,139,0,0,0,139,32,81.3
수정구,단대동,11,0.0914,0.0914,0.5133,0.077,0,0,11,0,0,0,11,0,100.0
수정구,복정동,48,0.229,0.229,0.4737,0.071,0,0,45,0,12,0,33,3,93.8
수정구,산성동,8,0.0322,0.0322,0.4793,0.0719,0,0,8,0,0,0,8,0,100.0
수정구,수진1동,5,0.1591,0.1591,0.5677,0.0852,0,0,5,0,0,0,5,0,100.0
수정구,수진2동,12,0.1737,0.1737,0.5674,0.0851,0,0,12,0,0,0,12,0,100.0
수정구,시흥동,178,0.1912,0.1912,0.3904,0.0586,0,0,145,0,0,0,145,33,81.5
수정구,신촌동,68,0.028,0.028,0.3444,0.0517,0,0,48,0,0,0,48,20,70.6
수정구,신흥1동,4,0.1696,0.1696,0.588,0.0882,0,0,4,0,0,0,4,0,100.0
수정구,신흥2동,14,0.1425,0.1425,0.4093,0.0614,0,0,13,0,0,0,13,1,92.9
수정구,신흥3동,5,0.1797,0.1797,0.5254,0.0788,0,0,5,0,0,0,5,0,100.0
수정구,양지동,17,0.0625,0.0625,0.4742,0.0711,0,0,17,0,0,0,17,0,100.0
수정구,위례동,43,0.4708,0.4708,0.5988,0.0898,1,1,43,0,30,0,13,0,100.0
수정구,태평1동,21,0.1997,0.1997,0.5522,0.0828,0,0,21,0,0,0,21,0,100.0
수정구,태평2동,7,0.1467,0.1467,0.5455,0.0818,0,0,7,0,0,0,7,0,100.0
수정구,태평3동,4,0.1411,0.1411,0.5418,0.0813,0,0,4,0,0,0,4,0,100.0
수정구,태평4동,5,0.1569,0.1569,0.5373,0.0806,0,0,5,0,0,0,5,0,100.0
중원구,금광1동,8,0.1143,0.1143,0.4706,0.0706,0,0,8,0,0,0,8,0,100.0
중원구,금광2동,17,0.2496,0.2496,0.509,0.0764,0,0,17,0,1,0,16,0,100.0
중원구,도촌동,128,0.2121,0.2121,0.4384,0.0658,0,0,119,0,24,0,95,9,93.0
중원구,상대원1동,90,0.5002,0.5002,0.4622,0.0693,1,1,84,0,25,0,59,6,93.3
중원구,상대원2동,7,0.0667,0.0667,0.4668,0.07,0,0,7,0,0,0,7,0,100.0
중원구,상대원3동,5,0.1148,0.1148,0.5343,0.0801,0,0,5,0,0,0,5,0,100.0
중원구,성남동,28,0.6301,0.6301,0.5182,0.0777,0,1,28,0,9,0,19,0,100.0
중원구,은행1동,4,0.037,0.037,0.5374,0.0806,0,0,4,0,0,0,4,0,100.0
중원구,은행2동,33,0.1931,0.1931,0.5475,0.0821,0,0,33,0,0,0,33,0,100.0
중원구,중앙동,10,0.1068,0.1068,0.5055,0.0758,0,0,10,0,0,0,10,0,100.0
중원구,하대원동,34,0.1504,0.1504,0.3891,0.0584,0,0,31,0,0,0,31,3,91.2
