시나리오,총_거리_km,드론_비행_km,로봇_라스트마일_km,E_moto_kg,E_drone_robot_kg,E_reduction_kg,E_reduction_pct,T_moto_min,T_drone_robot_min,T_saving_min,T_efficiency_pct,data_type,지표,오토바이,드론,드론+로봇
단거리 (1km),1.0,0.7,0.3,0.1445,0.0171,0.1274,88.2,8.0,6.5,1.5,18.8,scenario,,,,
중거리 (2.5km),2.5,2.2,0.3,0.3612,0.0486,0.3127,86.6,15.0,9.0,6.0,40.0,scenario,,,,
장거리 (4km),4.0,3.7,0.3,0.578,0.0801,0.4979,86.1,22.0,12.5,9.5,43.2,scenario,,,,
산간 (3km),3.0,3.0,0.0,0.4335,0.063,0.3705,85.5,35.0,11.0,24.0,68.6,scenario,,,,
피크타임 (2.5km),2.5,2.2,0.3,0.3612,0.0486,0.3127,86.6,21.0,9.0,12.0,57.1,scenario,,,,
,,,,,,,,,,,,mode_comparison,"ETA (분, 평균 1.5km)",8.1,5.5,11.7
,,,,,,,,,,,,mode_comparison,"ETA (분, 피크 1.5km)",10.5,5.5,11.7
,,,,,,,,,,,,mode_comparison,이착륙/신호 오버헤드 (분),4.5,4.0,7.5
,,,,,,,,,,,,mode_comparison,탄소 배출 (gCO₂/건),186.0,12.0,12.0
,,,,,,,,,,,,mode_comparison,야간 운영,0.7,0.95,0.95
,,,,,,,,,,,,mode_comparison,경사지 대응,0.9,0.6,0.6
