ADM_NM,시설수,경로당수,복지관수,총회원수,cell_count,facility_per_cell,welfare_density
(분관)상대원3동,1,0,1,0,,,
(분관)수진1동,1,0,1,0,,,
고등동,28,27,1,1638,171.0,0.16374269005847952,0.04093567251461988
구미1동,9,9,0,230,51.0,0.17647058823529413,0.04411764705882353
구미동,17,17,0,460,51.0,0.3333333333333333,0.08333333333333333
금곡동,15,15,0,648,80.0,0.1875,0.046875
금광1동,24,24,0,960,8.0,3.0,0.75
금광2동,27,27,0,927,17.0,1.588235294117647,0.39705882352941174
단대동,27,27,0,924,11.0,2.4545454545454546,0.6136363636363636
도촌동,42,42,0,1677,128.0,0.328125,0.08203125
백현동,12,12,0,368,27.0,0.4444444444444444,0.1111111111111111
복정동,9,9,0,405,48.0,0.1875,0.046875
분당구,5,0,5,44272,,,
분당동,33,33,0,999,48.0,0.6875,0.171875
산성동,10,9,1,540,8.0,1.25,0.3125
삼평동,10,10,0,339,39.0,0.2564102564102564,0.0641025641025641
상대원1동,28,27,1,1065,90.0,0.3111111111111111,0.07777777777777778
상대원2동,4,3,1,78,7.0,0.5714285714285714,0.14285714285714285
상대원3동,9,9,0,360,5.0,1.8,0.45
서현1동,6,6,0,198,99.0,0.06060606060606061,0.015151515151515152
서현2동,8,8,0,241,11.0,0.7272727272727273,0.18181818181818182
성남동,19,18,1,816,28.0,0.6785714285714286,0.16964285714285715
수내1동,15,15,0,579,14.0,1.0714285714285714,0.26785714285714285
수내2동,12,12,0,252,10.0,1.2,0.3
수내3동,9,9,0,285,16.0,0.5625,0.140625
수정구,2,0,2,27822,,,
수진1동,12,12,0,336,5.0,2.4,0.6
수진2동,18,18,0,789,12.0,1.5,0.375
시흥동,18,18,0,660,178.0,0.10112359550561797,0.025280898876404494
신촌동,12,12,0,405,68.0,0.17647058823529413,0.04411764705882353
신흥1동,13,12,1,513,4.0,3.25,0.8125
신흥2동,30,30,0,1827,14.0,2.142857142857143,0.5357142857142857
신흥3동,12,12,0,636,5.0,2.4,0.6
야탑1동,5,5,0,178,16.0,0.3125,0.078125
야탑2동,7,7,0,161,9.0,0.7777777777777778,0.19444444444444445
야탑3동,23,23,0,608,70.0,0.32857142857142857,0.08214285714285714
양지동,7,6,1,474,17.0,0.4117647058823529,0.10294117647058823
운중동,23,23,0,623,241.0,0.0954356846473029,0.023858921161825725
위례동,45,45,0,3042,43.0,1.0465116279069768,0.2616279069767442
은행1동,13,12,1,516,4.0,3.25,0.8125
은행2동,29,27,2,963,33.0,0.8787878787878788,0.2196969696969697
이매1동,13,13,0,336,42.0,0.30952380952380953,0.07738095238095238
이매2동,5,5,0,106,7.0,0.7142857142857143,0.17857142857142858
정자1동,12,12,0,399,18.0,0.6666666666666666,0.16666666666666666
정자2동,6,6,0,142,7.0,0.8571428571428571,0.21428571428571427
정자3동,10,10,0,204,27.0,0.37037037037037035,0.09259259259259259
정자동,5,5,0,144,16.0,0.3125,0.078125
중앙동,28,27,1,1377,10.0,2.8,0.7
중원구,2,0,2,32129,,,
태평1동,22,21,1,921,21.0,1.0476190476190477,0.2619047619047619
태평2동,19,18,1,738,7.0,2.7142857142857144,0.6785714285714286
태평3동,16,15,1,651,4.0,4.0,1.0
태평4동,13,12,1,645,5.0,2.6,0.65
판교동,16,16,0,313,63.0,0.25396825396825395,0.06349206349206349
하대원동,28,27,1,954,34.0,0.8235294117647058,0.20588235294117646
