csv_file,field_name,dtype,description
T00_dashboard_inventory.csv,dashboard_area,str,
T00_dashboard_inventory.csv,tableau_sheet,str,
T00_dashboard_inventory.csv,csv_sources,str,
T00_dashboard_inventory.csv,purpose,str,
T00_html_constant_audit.csv,html_const,str,
T00_html_constant_audit.csv,kind,str,
T00_html_constant_audit.csv,item_count,int64,
T01_grid_cells.csv,h3_index,str,H3 res.9 셀 식별자
T01_grid_cells.csv,lat,float64,위도. Tableau에서 Latitude로 지정
T01_grid_cells.csv,lon,float64,경도. Tableau에서 Longitude로 지정
T01_grid_cells.csv,admin_code,int64,
T01_grid_cells.csv,dong,str,행정동
T01_grid_cells.csv,gu,str,구
T01_grid_cells.csv,delivery_demand_index,float64,
T01_grid_cells.csv,flow_pop_index,float64,
T01_grid_cells.csv,urgency_score,float64,
T01_grid_cells.csv,urgency_level,str,
T01_grid_cells.csv,score_airspace,float64,공역 제한 점수
T01_grid_cells.csv,score_obstacle,float64,장애물 점수
T01_grid_cells.csv,score_noise,float64,소음 민감 점수
T01_grid_cells.csv,score_terrain_raw,float64,
T01_grid_cells.csv,score_robot_access_ra,float64,로봇 접근성 Ra 점수
T01_grid_cells.csv,score_weather,float64,기상 점수
T01_grid_cells.csv,dashboard_score_all_layers,float64,HTML 대시보드의 전체 레이어 선택 기준 점수
T01_grid_cells.csv,dashboard_score_without_robot,float64,
T01_grid_cells.csv,original_composite_score,float64,
T01_grid_cells.csv,dashboard_feasible_all_layers,bool,
T01_grid_cells.csv,dashboard_feasible_static,bool,
T01_grid_cells.csv,dashboard_score_band,str,
T01_grid_cells.csv,composite_level,str,
T01_grid_cells.csv,tall_bldg_count,int64,
T01_grid_cells.csv,total_bldg_count,int64,
T01_grid_cells.csv,avg_slope,float64,
T01_grid_cells.csv,terrain_zone,str,
T01_grid_cells.csv,Hr,float64,
T01_grid_cells.csv,Fp,float64,
T01_grid_cells.csv,Cc,float64,
T01_grid_cells.csv,Od,float64,
T01_grid_cells.csv,Ds_v2,float64,
T01_grid_cells.csv,Ec,float64,
T01_grid_cells.csv,Od_v2,float64,
T01_grid_cells.csv,Ds_v3,float64,
T01_grid_cells.csv,total_walk_length,float64,
T01_grid_cells.csv,robot_walk_length,float64,
T01_grid_cells.csv,n_crossings,int64,
T01_grid_cells.csv,avg_robot_weight,float64,
T01_grid_cells.csv,b2b_index_100,float64,
T01_grid_cells.csv,b2c_index_100,float64,
T01_grid_cells.csv,b2c_zone_type,str,
T01_grid_cells.csv,robot_index_100,float64,
T01_grid_cells.csv,welfare_facility_count,int64,
T01_grid_cells.csv,welfare_density,float64,
T01_grid_cells.csv,total_corp,int64,
T01_grid_cells.csv,drone_ratio,float64,
T01_grid_cells.csv,resident_score,float64,
T01_grid_cells.csv,inflow_score,float64,
T01_grid_cells.csv,connectivity_index,float64,
T01_grid_cells.csv,passable_ratio,float64,
T02_dong_summary.csv,dong,str,행정동
T02_dong_summary.csv,gu,str,구
T02_dong_summary.csv,n_cells,int64,
T02_dong_summary.csv,avg_selected_score_all_layers,float64,
T02_dong_summary.csv,avg_original_composite,float64,
T02_dong_summary.csv,feasible_cells_all_layers,int64,
T02_dong_summary.csv,feasible_cells_static,int64,
T02_dong_summary.csv,avg_airspace,float64,
T02_dong_summary.csv,avg_obstacle,float64,
T02_dong_summary.csv,avg_noise,float64,
T02_dong_summary.csv,avg_robot_access_ra,float64,
T02_dong_summary.csv,avg_weather,float64,
T02_dong_summary.csv,avg_urgency,float64,
T02_dong_summary.csv,avg_delivery_demand,float64,
T02_dong_summary.csv,avg_flow_pop,float64,
T02_dong_summary.csv,b2b_index_100,float64,
T02_dong_summary.csv,b2c_index_100,float64,
T02_dong_summary.csv,robot_index_100,float64,
T02_dong_summary.csv,welfare_density,float64,
T02_dong_summary.csv,feasible_pct_all_layers,float64,
T02_dong_summary.csv,feasible_pct_static,float64,
T03_hourly_demand.csv,hour,int64,
T03_hourly_demand.csv,hour_label,str,
T03_hourly_demand.csv,total_delivery_count,int64,
T03_hourly_demand.csv,avg_hour_ratio,float64,
T03_hourly_demand.csv,demand_rank,int64,
T04_mode_comparison_wide.csv,sort_order,int64,
T04_mode_comparison_wide.csv,지표,str,
T04_mode_comparison_wide.csv,오토바이,str,
T04_mode_comparison_wide.csv,드론+로봇,str,
T04_mode_comparison_wide.csv,드론 우위,str,
T04_mode_comparison_long.csv,sort_order,int64,
T04_mode_comparison_long.csv,indicator,str,
T04_mode_comparison_long.csv,mode,str,
T04_mode_comparison_long.csv,value_display,str,
T04_mode_comparison_long.csv,drone_advantage,str,
T05_mode_radar_long.csv,metric_order,int64,
T05_mode_radar_long.csv,metric,str,
T05_mode_radar_long.csv,mode_key,str,
T05_mode_radar_long.csv,mode,str,
T05_mode_radar_long.csv,score,float64,
T05_mode_radar_long.csv,angle_rad,float64,
T05_mode_radar_long.csv,radar_x,float64,
T05_mode_radar_long.csv,radar_y,float64,
T06_hubs.csv,hub_rank,int64,
T06_hubs.csv,name,str,
T06_hubs.csv,facility,str,
T06_hubs.csv,address,str,
T06_hubs.csv,lat,float64,위도. Tableau에서 Latitude로 지정
T06_hubs.csv,lon,float64,경도. Tableau에서 Longitude로 지정
T06_hubs.csv,capacity,int64,
T06_hubs.csv,idle_score,float64,
T06_hubs.csv,terrain_zone,str,
T06_hubs.csv,avg_slope,float64,
T06_hubs.csv,delivery_mode,str,
T06_hubs.csv,new_covered,int64,
T06_hubs.csv,total_covered,int64,
T06_hubs.csv,coverage_pct,float64,핫스팟 커버리지 비율
T06_hubs.csv,hub_name,str,
T06_hubs.csv,n_routes,int64,
T06_hubs.csv,avg_distance,float64,
T06_hubs.csv,avg_flight_time,float64,
T06_hubs.csv,avg_total_time,float64,
T06_hubs.csv,max_distance,float64,
T06_hubs.csv,coverage_pct_display,float64,
T07_vertiports_dashboard.csv,dashboard_rank,int64,
T07_vertiports_dashboard.csv,display_name,str,
T07_vertiports_dashboard.csv,name,str,
T07_vertiports_dashboard.csv,type,str,
T07_vertiports_dashboard.csv,lat,float64,위도. Tableau에서 Latitude로 지정
T07_vertiports_dashboard.csv,lon,float64,경도. Tableau에서 Longitude로 지정
T07_vertiports_dashboard.csv,dong,str,행정동
T07_vertiports_dashboard.csv,gu,str,구
T07_vertiports_dashboard.csv,zone,str,
T07_vertiports_dashboard.csv,score,float64,
T07_vertiports_dashboard.csv,near_hub,bool,
T07_vertiports_dashboard.csv,color,str,
T07_vertiport_candidates_full.csv,candidate_rank,int64,
T07_vertiport_candidates_full.csv,display_name,str,
T07_vertiport_candidates_full.csv,name,str,
T07_vertiport_candidates_full.csv,type,str,
T07_vertiport_candidates_full.csv,facility_weight,float64,
T07_vertiport_candidates_full.csv,lat,float64,위도. Tableau에서 Latitude로 지정
T07_vertiport_candidates_full.csv,lon,float64,경도. Tableau에서 Longitude로 지정
T07_vertiport_candidates_full.csv,h3_index,str,H3 res.9 셀 식별자
T07_vertiport_candidates_full.csv,dong,str,행정동
T07_vertiport_candidates_full.csv,gu,str,구
T07_vertiport_candidates_full.csv,zone,str,
T07_vertiport_candidates_full.csv,grid_composite_v3,float64,
T07_vertiport_candidates_full.csv,Ds_v3,float64,
T07_vertiport_candidates_full.csv,Ra,float64,
T07_vertiport_candidates_full.csv,dist_to_grid_m,float64,
T07_vertiport_candidates_full.csv,vertiport_score,float64,
T07_vertiport_candidates_full.csv,dist_to_hub_m,float64,
T07_vertiport_candidates_full.csv,near_hub,bool,
T08_demand_indices_wide.csv,dong,str,행정동
T08_demand_indices_wide.csv,gu,str,구
T08_demand_indices_wide.csv,b2b_index_100,float64,
T08_demand_indices_wide.csv,b2c_index_100,float64,
T08_demand_indices_wide.csv,b2c_zone_type,str,
T08_demand_indices_wide.csv,robot_index_100,float64,
T08_demand_indices_wide.csv,delivery_demand_index,float64,
T08_demand_indices_wide.csv,flow_pop_index,float64,
T08_demand_indices_wide.csv,welfare_density,float64,
T08_demand_indices_wide.csv,ddi_index_100,float64,
T08_demand_indices_wide.csv,flow_pop_index_100,float64,
T08_demand_indices_long.csv,dong,str,행정동
T08_demand_indices_long.csv,gu,str,구
T08_demand_indices_long.csv,metric,str,
T08_demand_indices_long.csv,index_value,float64,
T08_demand_indices_long.csv,category,str,
T09_esg_scenarios.csv,scenario_order,int64,
T09_esg_scenarios.csv,시나리오,str,
T09_esg_scenarios.csv,배송모드,str,
T09_esg_scenarios.csv,총거리_km,float64,
T09_esg_scenarios.csv,ΔT_분,float64,
T09_esg_scenarios.csv,ΔC_kg,float64,
T09_esg_scenarios.csv,ΔT_가치_원,float64,
T09_esg_scenarios.csv,ΔC_가치_원,float64,
