h3_index,lat,lon,admin_code,dong,gu,delivery_demand_index,flow_pop_index,urgency_score,urgency_level,score_airspace,score_obstacle,score_noise,score_terrain_raw,score_robot_access_ra,score_weather,dashboard_score_all_layers,dashboard_score_without_robot,original_composite_score,dashboard_feasible_all_layers,dashboard_feasible_static,dashboard_score_band,composite_level,tall_bldg_count,total_bldg_count,avg_slope,terrain_zone,Hr,Fp,Cc,Od,Ds_v2,Ec,Od_v2,Ds_v3,total_walk_length,robot_walk_length,n_crossings,avg_robot_weight,b2b_index_100,b2c_index_100,b2c_zone_type,robot_index_100,welfare_facility_count,welfare_density,total_corp,drone_ratio,resident_score,inflow_score,connectivity_index,passable_ratio
8930e153013ffff,37.382330204152815,127.12605536970356,41135580,서현1동,분당구,0.9968130393916228,0.6447023797590359,0.855968775538588,매우 높음,0.0,0.3875,0.8440178265341103,1.0,0.5197828158467991,0.8,0.0,0.0,0.0,False,False,부적합,부적합,7,98,,Unknown,0.3879914090951536,0.6379679208477442,0.9968130393916228,0.9968130393916228,0.7244552706667124,0.6063353609372737,0.898837387767631,0.6800467246742612,7451.3,4224.8,128,0.5781,60.2,60.87,즉시 확장 구역,53.9,6,0.0151515151515151,2145,0.3874125874125874,0.6919578564216569,0.5459936266462968,0.7087719298245614,0.8641462523368525
8930e024cafffff,37.350658456575616,127.0945785944842,41135662,금곡동,분당구,0.2716677734571954,0.3057914029293038,0.2853172252460388,높음,1.0,1.0,1.0,1.0,0.4688037473717196,0.8,0.375043,0.8,0.8,True,True,낮음,최적,0,0,,Unknown,0.3961154169390232,0.2918124336158817,0.2716677734571954,0.2716677734571954,0.3140382315414153,0.2575278304814252,0.4062428056173739,0.3241668825882624,6745.3,3299.2,6,0.4333,35.22,56.24,안정 수요 구역,55.2,15,0.046875,895,0.3787709497206704,0.6327276608160091,0.5508094573824001,0.1202185792349726,0.8573219744212512
8930e1c912fffff,37.42802870149976,127.06963669119068,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,매우 낮음,0.0,1.0,0.7223174494343502,1.0,0.5223285707196883,0.8,0.0,0.0,0.0,False,False,부적합,부적합,0,162,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.159100173110528,0.1561660655360294,0.1394027198049199,9426.7,5088.2,78,0.5051,30.97,66.31,즉시 확장 구역,54.19,28,0.0409356725146198,561,0.4581105169340463,0.7209433023429709,0.5680754195197021,0.5703125,0.787403838061368
8930e15264bffff,37.41058121855873,127.12844224248204,41135620,야탑1동,분당구,0.5540292177394195,0.3964888625358763,0.4910130756580022,매우 높음,0.0,0.3,0.8628728145354816,1.0,0.5791044679547944,0.8,0.0,0.0,0.0,False,False,부적합,부적합,18,98,,Unknown,0.2595947334018115,0.3922237079971283,0.5540292177394195,0.5540292177394195,0.4252474950025643,0.4648619930075792,0.5537564269818126,0.4301851311465501,10672.2,6608.6,186,0.6559,46.18,47.01,성장 잠재 구역,49.23,5,0.078125,1602,0.414481897627965,0.5134996313347452,0.3626253285761638,0.5895522388059702,0.7852212183110027
8930e026a07ffff,37.358944368413525,127.07433363512008,41135665,구미1동,분당구,0.3151374004709809,0.2235613294144668,0.2785069720483753,높음,1.0,1.0,0.9880013712718546,1.0,0.0,0.8,0.0,0.790401,0.7904010970174837,False,True,부적합,높음,0,7,,Unknown,0.2080493043234662,0.2212685070153227,0.3151374004709809,0.3151374004709809,0.2595437482628119,0.3577852268197078,0.2730987644846903,0.2718153676147724,0.0,0.0,0,0.0,39.85,58.34,즉시 확장 구역,38.0,9,0.0441176470588235,1089,0.4664830119375573,0.5744689704551427,0.4905531750406035,0.348314606741573,0.8483579472724432
8930e152167ffff,37.43007419291041,127.17731634731332,41133570,상대원1동,중원구,0.1464882246035055,0.317823978552547,0.2150225261831221,보통,0.0,0.3875,0.7908810421666094,1.0,0.4194274064091794,0.8,0.0,0.0,0.0,False,False,부적합,부적합,7,129,,Unknown,0.5088243533476515,0.2910084552227944,0.1464882246035055,0.1464882246035055,0.2913191208815715,0.9372439985935204,0.653576087790653,0.5001906371894749,5515.4,2329.8,44,0.4636,88.87,27.22,성장 잠재 구역,60.46,28,0.0777777777777777,3286,0.696895922093731,0.2132019671604174,0.1762887572573852,0.321608040201005,0.9493140164101443
8930e152543ffff,37.440769992636525,127.14935860718964,41133525,중앙동,중원구,0.0453211759139985,0.0955786315011052,0.0654241581488412,매우 낮음,0.0,0.825,0.5022935779816513,1.0,0.4564609180396108,0.8,0.0,0.0,0.0,False,False,부적합,부적합,2,436,,Unknown,0.240638715099449,0.0873911700377771,0.0453211759139985,0.0453211759139985,0.1144339362005783,0.0164983851538812,0.1120405187629498,0.1068079028104361,7232.1,3324.7,56,0.4536,3.01,45.62,성장 잠재 구역,74.44,28,0.7,57,0.2105263157894736,0.3997053720093187,0.3497690389931692,0.5161290322580645,0.8721953821091432
8930e1c8b43ffff,37.45296513244273,127.13202656262553,41131620,복정동,수정구,0.1169695747533441,0.1752065572430349,0.1402643677492204,낮음,0.0,0.65,0.9091532396297566,1.0,0.5905501334518662,0.8,0.0,0.0,0.0,False,False,부적합,부적합,4,57,,Unknown,0.3983565225511252,0.1664261426881347,0.1169695747533441,0.1169695747533441,0.2137498010763761,0.203764487421365,0.2129345407106131,0.228961352716942,6393.1,4525.2,100,0.692,34.94,22.48,관망 구역,56.93,9,0.046875,657,0.4231354642313546,0.2143542045900754,0.2104581960574201,0.72,0.5776880928287509
8930e1c9027ffff,37.423262530933854,127.05090718967962,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,매우 낮음,0.0,1.0,1.0,1.0,0.5417235307393358,0.8,0.0,0.0,0.0,False,False,부적합,부적합,0,0,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.159100173110528,0.1561660655360294,0.1394027198049199,1547.7,1083.4,2,0.7,30.97,66.31,즉시 확장 구역,54.19,28,0.0409356725146198,561,0.4581105169340463,0.7209433023429709,0.5680754195197021,0.5703125,0.787403838061368
8930e1c9ed3ffff,37.41847259159061,127.06621898157584,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,보통,0.0,1.0,1.0,1.0,0.5697753136002208,0.8,0.0,0.0,0.0,False,False,부적합,부적합,0,0,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.1912274332382693,4611.1,3227.8,6,0.7,34.75,59.87,즉시 확장 구역,61.4,18,0.0252808988764044,993,0.3031218529707956,0.6072316978343043,0.4102062990359738,0.3268292682926829,1.0
