dong,gu,n_cells,avg_selected_score_all_layers,avg_original_composite,feasible_cells_all_layers,feasible_cells_static,avg_airspace,avg_obstacle,avg_noise,avg_robot_access_ra,avg_weather,avg_urgency,avg_delivery_demand,avg_flow_pop,b2b_index_100,b2c_index_100,robot_index_100,welfare_density,feasible_pct_all_layers,feasible_pct_static
구미동,분당구,51,0.318222,0.550317,51,51,1.0,0.752941,0.908481,0.574752,0.8,0.423038,0.462524,0.36381,36.86,56.33,34.89,0.083333,100.0,100.0
구미1동,분당구,51,0.287136,0.651595,47,51,1.0,0.881618,0.913691,0.47056,0.8,0.278507,0.315137,0.223561,39.85,58.34,38.0,0.044118,92.16,100.0
정자3동,분당구,27,0.285727,0.532264,22,23,0.851852,0.854167,0.908011,0.555981,0.8,0.259075,0.297547,0.201367,13.36,66.31,59.96,0.092593,81.48,85.19
금곡동,분당구,80,0.143802,0.276656,37,37,0.4625,0.872031,0.933793,0.526123,0.8,0.285317,0.271668,0.305791,35.22,56.24,55.2,0.046875,46.25,46.25
수내3동,분당구,16,0.133046,0.247429,5,5,0.3125,0.86875,0.869301,0.553171,0.8,0.078002,0.070253,0.089626,15.25,65.61,64.45,0.140625,31.25,31.25
분당동,분당구,48,0.087044,0.181419,10,11,0.229167,0.903385,0.910189,0.525338,0.8,0.081641,0.035225,0.151264,11.82,51.25,56.1,0.171875,20.83,22.92
운중동,분당구,241,0.073398,0.256494,49,81,0.3361,0.956068,0.951557,0.383894,0.8,0.245039,0.205958,0.30366,31.64,70.06,47.08,0.023859,20.33,33.61
정자1동,분당구,18,0.028081,0.043881,3,3,0.166667,0.470139,0.937721,0.627624,0.8,0.537632,0.53039,0.548497,52.47,72.59,60.91,0.166667,16.67,16.67
정자동,분당구,16,0.024612,0.035328,2,2,0.125,0.628125,0.751136,0.695593,0.8,0.169025,0.14361,0.207148,22.79,67.62,52.34,0.078125,12.5,12.5
고등동,수정구,171,0.0,0.0,0,0,0.0,0.986696,0.965788,0.411853,0.8,0.104878,0.09194,0.124285,30.97,66.31,54.19,0.040936,0.0,0.0
복정동,수정구,48,0.0,0.0,0,0,0.0,0.779427,0.907403,0.473653,0.8,0.140264,0.11697,0.175207,34.94,22.48,56.93,0.046875,0.0,0.0
산성동,수정구,8,0.0,0.0,0,0,0.0,0.759375,0.617062,0.479285,0.8,0.041932,0.050017,0.029804,12.72,18.38,71.92,0.3125,0.0,0.0
삼평동,분당구,39,0.0,0.0,0,0,0.0,0.591667,0.911746,0.542177,0.8,0.667956,0.446593,1.0,67.37,70.91,63.62,0.064103,0.0,0.0
금광1동,중원구,8,0.0,0.0,0,0,0.0,0.69375,0.743047,0.470583,0.8,0.114292,0.093298,0.145782,7.45,41.05,65.73,0.75,0.0,0.0
단대동,수정구,11,0.0,0.0,0,0,0.0,0.817045,0.689998,0.513316,0.8,0.058719,0.041726,0.084208,12.7,40.3,68.17,0.613636,0.0,0.0
도촌동,중원구,128,0.0,0.0,0,0,0.0,0.96582,0.946328,0.43837,0.8,0.155766,0.125836,0.200661,23.03,46.22,50.86,0.082031,0.0,0.0
백현동,분당구,27,0.0,0.0,0,0,0.0,0.756944,0.868142,0.603435,0.8,0.301825,0.279685,0.335035,27.01,78.64,63.44,0.111111,0.0,0.0
금광2동,중원구,17,0.0,0.0,0,0,0.0,0.747794,0.677888,0.509027,0.8,0.156067,0.122742,0.206054,21.07,34.49,67.8,0.397059,0.0,0.0
서현2동,분당구,11,0.0,0.0,0,0,0.0,0.769318,0.809892,0.526538,0.8,0.142148,0.136914,0.149999,22.13,57.36,74.19,0.181818,0.0,0.0
서현1동,분당구,99,0.0,0.0,0,0,0.0,0.900126,0.941427,0.509683,0.8,0.855969,0.996813,0.644702,60.2,60.87,53.9,0.015152,0.0,0.0
상대원3동,중원구,5,0.0,0.0,0,0,0.0,0.8075,0.502087,0.534277,0.8,0.037302,0.047378,0.022189,23.9,22.36,53.0,0.45,0.0,0.0
상대원2동,중원구,7,0.0,0.0,0,0,0.0,0.7375,0.614428,0.466834,0.8,0.033486,0.012835,0.064462,34.27,24.8,60.25,0.142857,0.0,0.0
상대원1동,중원구,90,0.0,0.0,0,0,0.0,0.774444,0.918223,0.46217,0.8,0.215023,0.146488,0.317824,88.87,27.22,60.46,0.077778,0.0,0.0
수진1동,수정구,5,0.0,0.0,0,0,0.0,0.7725,0.502128,0.567712,0.8,0.058598,0.054032,0.065446,13.52,13.72,59.73,0.6,0.0,0.0
수내1동,분당구,14,0.0,0.0,0,0,0.0,0.50625,0.912092,0.686747,0.8,0.601447,0.820864,0.272321,44.21,67.41,66.89,0.267857,0.0,0.0
성남동,중원구,28,0.0,0.0,0,0,0.0,0.6875,0.700137,0.518214,0.8,0.443359,0.458556,0.420564,39.97,27.4,66.57,0.169643,0.0,0.0
신촌동,수정구,68,0.0,0.0,0,0,0.0,0.992279,0.951653,0.344385,0.8,0.012446,0.001246,0.029247,28.58,48.86,62.72,0.044118,0.0,0.0
