sort_order,indicator,mode,value_display,drone_advantage
1,평균 배송 시간 (분),오토바이,7.2,O
1,평균 배송 시간 (분),드론+로봇,3.5,O
2,평균 배송 비용 (원),오토바이,"4,500",O
2,평균 배송 비용 (원),드론+로봇,"2,800",O
3,탄소 배출 (gCO₂/건),오토바이,186,O
3,탄소 배출 (gCO₂/건),드론+로봇,12,O
4,기상 민감도 (1=안전),오토바이,0.4,X
4,기상 민감도 (1=안전),드론+로봇,0.3,X
5,야간 운영 (1=가능),오토바이,0.7,O
5,야간 운영 (1=가능),드론+로봇,0.95,O
6,경사지 대응 (1=원활),오토바이,0.9,X
6,경사지 대응 (1=원활),드론+로봇,0.6,X
7,배송 가능 반경 (km),오토바이,5~10,-
7,배송 가능 반경 (km),드론+로봇,"1~3 (드론), 0.5 (로봇)",-
8,소음 영향,오토바이,높음 (엔진 소음),O
8,소음 영향,드론+로봇,낮음 (전기모터),O
9,초기 투자비,오토바이,낮음 (200~300만원/대),X
9,초기 투자비,드론+로봇,높음 (5000만원~/스테이션),X
