dashboard_rank,display_name,name,type,lat,lon,dong,gu,zone,score,near_hub,color
1,공영주차장,nan,공영주차장,37.355652,127.098267,금곡동,분당구,Hybrid,0.759,True,#42A5F5
2,공영주차장,nan,공영주차장,37.344888,127.109611,구미1동,분당구,Hybrid,0.753,True,#42A5F5
3,공영주차장,nan,공영주차장,37.345419,127.109582,구미1동,분당구,Hybrid,0.753,True,#42A5F5
4,공영주차장,nan,공영주차장,37.352936,127.102129,금곡동,분당구,Hybrid,0.746,True,#42A5F5
5,공영주차장,nan,공영주차장,37.353549,127.101355,금곡동,분당구,Hybrid,0.746,True,#42A5F5
6,공영주차장,nan,공영주차장,37.336513,127.118127,구미동,분당구,Hybrid,0.738,False,#42A5F5
7,공영주차장,nan,공영주차장,37.343906,127.116749,구미동,분당구,Hybrid,0.737,True,#42A5F5
8,공영주차장,nan,공영주차장,37.344211,127.116625,구미동,분당구,Hybrid,0.737,True,#42A5F5
9,공영주차장,nan,공영주차장,37.334889,127.117282,구미동,분당구,Hybrid,0.733,False,#42A5F5
10,주차장,주차장,공영주차장,37.357602,127.119624,정자3동,분당구,Hybrid,0.731,True,#42A5F5
11,공영주차장,nan,공영주차장,37.359255,127.110875,정자3동,분당구,Hybrid,0.73,True,#42A5F5
12,공영주차장,nan,공영주차장,37.340041,127.123096,구미동,분당구,Hybrid,0.73,True,#42A5F5
13,공영주차장,nan,공영주차장,37.336559,127.117228,구미동,분당구,Hybrid,0.728,False,#42A5F5
14,공영주차장,nan,공영주차장,37.347924,127.12471,구미동,분당구,Hybrid,0.727,True,#42A5F5
15,이마트24 분당미켈란점,이마트24 분당미켈란점,대형마트,37.359571,127.107187,정자1동,분당구,Hybrid,0.727,True,#FFA726
16,공영주차장,nan,공영주차장,37.34835,127.124992,구미동,분당구,Hybrid,0.724,True,#42A5F5
17,공영주차장,nan,공영주차장,37.344124,127.109664,구미동,분당구,Hybrid,0.723,True,#42A5F5
18,공영주차장,nan,공영주차장,37.34438,127.109651,구미동,분당구,Hybrid,0.723,True,#42A5F5
19,대농식자재마트,대농식자재마트,대형마트,37.366724,127.068299,운중동,분당구,Hybrid,0.704,False,#FFA726
20,정자3동 행정복지센터,정자3동 행정복지센터,주민센터,37.360785,127.119555,정자3동,분당구,Hybrid,0.697,True,#66BB6A
21,그랜드빌 주민회관,그랜드빌 주민회관,주민센터,37.343331,127.116812,구미동,분당구,Hybrid,0.697,True,#66BB6A
22,구미동 행정복지센터,구미동 행정복지센터,주민센터,37.340209,127.122616,구미동,분당구,Hybrid,0.69,True,#66BB6A
23,하얀마을복지회관,하얀마을복지회관,주민센터,37.344518,127.112275,구미동,분당구,Hybrid,0.684,True,#66BB6A
24,상가,상가,대형마트,37.349094,127.115664,구미1동,분당구,Hybrid,0.681,True,#FFA726
25,gs더프레시,gs더프레시,대형마트,37.345681,127.112657,구미1동,분당구,Hybrid,0.677,True,#FFA726
26,이마트24,이마트24,대형마트,37.347573,127.111754,구미1동,분당구,Hybrid,0.677,True,#FFA726
27,킴스클럽,킴스클럽,대형마트,37.349243,127.10648,구미1동,분당구,Hybrid,0.674,True,#FFA726
28,이마트 분당점,이마트 분당점,대형마트,37.358764,127.119706,정자3동,분당구,Hybrid,0.672,True,#FFA726
29,공원,nan,공원,37.364478,127.073434,운중동,분당구,Hybrid,0.671,True,#AB47BC
30,공영주차장,nan,공영주차장,37.383007,127.149683,서현1동,분당구,로봇전용,0.668,True,#42A5F5
31,공영주차장,nan,공영주차장,37.388004,127.121183,서현1동,분당구,로봇전용,0.667,True,#42A5F5
32,공영주차장,nan,공영주차장,37.387746,127.121475,서현1동,분당구,로봇전용,0.667,True,#42A5F5
33,대원 상가,대원 상가,대형마트,37.351661,127.113305,금곡동,분당구,Hybrid,0.667,True,#FFA726
34,공영주차장,nan,공영주차장,37.384007,127.136368,서현1동,분당구,로봇전용,0.665,True,#42A5F5
35,공원,nan,공원,37.364698,127.072018,운중동,분당구,Hybrid,0.664,True,#AB47BC
36,공영주차장,nan,공영주차장,37.386744,127.122758,서현1동,분당구,로봇전용,0.662,True,#42A5F5
37,공영주차장,nan,공영주차장,37.40044,127.113607,삼평동,분당구,로봇전용,0.661,True,#42A5F5
38,공영주차장,nan,공영주차장,37.400006,127.114091,삼평동,분당구,로봇전용,0.661,True,#42A5F5
39,506동 앞 주차장,506동 앞 주차장,공영주차장,37.400453,127.114259,삼평동,분당구,로봇전용,0.661,True,#42A5F5
40,봇들마을 5단지 상가 전용 주차장,봇들마을 5단지 상가 전용 주차장,공영주차장,37.400027,127.114085,삼평동,분당구,로봇전용,0.661,True,#42A5F5
41,501동 앞 주차장,501동 앞 주차장,공영주차장,37.400438,127.113615,삼평동,분당구,로봇전용,0.661,True,#42A5F5
42,공영주차장,nan,공영주차장,37.400463,127.114271,삼평동,분당구,로봇전용,0.661,True,#42A5F5
43,공영주차장,nan,공영주차장,37.397921,127.11452,삼평동,분당구,로봇전용,0.656,True,#42A5F5
44,공영주차장,nan,공영주차장,37.401081,127.114273,삼평동,분당구,로봇전용,0.655,True,#42A5F5
45,504동 앞 주차장,504동 앞 주차장,공영주차장,37.401067,127.114253,삼평동,분당구,로봇전용,0.655,True,#42A5F5
46,공원,nan,공원,37.36374,127.07,운중동,분당구,Hybrid,0.655,True,#AB47BC
47,공영주차장,nan,공영주차장,37.400408,127.102084,삼평동,분당구,로봇전용,0.655,True,#42A5F5
48,공영주차장,nan,공영주차장,37.399352,127.10186,삼평동,분당구,로봇전용,0.655,True,#42A5F5
49,503동 앞 주차장,503동 앞 주차장,공영주차장,37.401029,127.113615,삼평동,분당구,로봇전용,0.654,True,#42A5F5
50,공영주차장,nan,공영주차장,37.401045,127.113605,삼평동,분당구,로봇전용,0.654,True,#42A5F5
51,공영주차장,nan,공영주차장,37.400527,127.111466,삼평동,분당구,로봇전용,0.654,True,#42A5F5
52,Daewon Apt. playground,Daewon Apt. playground,공원,37.351027,127.114423,구미1동,분당구,Hybrid,0.653,True,#AB47BC
53,공원,nan,공원,37.351567,127.114905,구미1동,분당구,Hybrid,0.653,True,#AB47BC
54,공원,nan,공원,37.351421,127.115938,구미1동,분당구,Hybrid,0.653,True,#AB47BC
55,홈플러스익스프레스,홈플러스익스프레스,대형마트,37.355805,127.105588,금곡동,분당구,Hybrid,0.652,True,#FFA726
56,공원,nan,공원,37.364436,127.070853,운중동,분당구,Hybrid,0.65,True,#AB47BC
57,공영주차장,nan,공영주차장,37.377839,127.107549,정자1동,분당구,로봇전용,0.649,True,#42A5F5
58,공영주차장,nan,공영주차장,37.377545,127.105673,정자1동,분당구,로봇전용,0.649,True,#42A5F5
59,상가동,상가동,대형마트,37.34676,127.117125,구미동,분당구,Hybrid,0.644,True,#FFA726
60,대형마트,nan,대형마트,37.340531,127.10513,구미동,분당구,Hybrid,0.643,True,#FFA726
