dong,gu,metric,index_value,category
고등동,수정구,B2B 기업 활동 지수,30.97,
고등동,수정구,B2C 소비 수요 지수,66.31,즉시 확장 구역
고등동,수정구,로봇 배송 용이성 지수,54.19,
고등동,수정구,상권활력지수,9.19,
고등동,수정구,유동인구지수,12.43,
고등동,수정구,복지시설 밀도,0.040936,
구미1동,분당구,B2B 기업 활동 지수,39.85,
구미1동,분당구,B2C 소비 수요 지수,58.34,즉시 확장 구역
구미1동,분당구,로봇 배송 용이성 지수,38.0,
구미1동,분당구,상권활력지수,31.51,
구미1동,분당구,유동인구지수,22.36,
구미1동,분당구,복지시설 밀도,0.044118,
구미동,분당구,B2B 기업 활동 지수,36.86,
구미동,분당구,B2C 소비 수요 지수,56.33,즉시 확장 구역
구미동,분당구,로봇 배송 용이성 지수,34.89,
구미동,분당구,상권활력지수,46.25,
구미동,분당구,유동인구지수,36.38,
구미동,분당구,복지시설 밀도,0.083333,
금곡동,분당구,B2B 기업 활동 지수,35.22,
금곡동,분당구,B2C 소비 수요 지수,56.24,안정 수요 구역
금곡동,분당구,로봇 배송 용이성 지수,55.2,
금곡동,분당구,상권활력지수,27.17,
금곡동,분당구,유동인구지수,30.58,
금곡동,분당구,복지시설 밀도,0.046875,
금광1동,중원구,B2B 기업 활동 지수,7.45,
금광1동,중원구,B2C 소비 수요 지수,41.05,성장 잠재 구역
금광1동,중원구,로봇 배송 용이성 지수,65.73,
금광1동,중원구,상권활력지수,9.33,
금광1동,중원구,유동인구지수,14.58,
금광1동,중원구,복지시설 밀도,0.75,
금광2동,중원구,B2B 기업 활동 지수,21.07,
금광2동,중원구,B2C 소비 수요 지수,34.49,성장 잠재 구역
금광2동,중원구,로봇 배송 용이성 지수,67.8,
금광2동,중원구,상권활력지수,12.27,
금광2동,중원구,유동인구지수,20.61,
금광2동,중원구,복지시설 밀도,0.397059,
단대동,수정구,B2B 기업 활동 지수,12.7,
단대동,수정구,B2C 소비 수요 지수,40.3,성장 잠재 구역
단대동,수정구,로봇 배송 용이성 지수,68.17,
단대동,수정구,상권활력지수,4.17,
단대동,수정구,유동인구지수,8.42,
단대동,수정구,복지시설 밀도,0.613636,
도촌동,중원구,B2B 기업 활동 지수,23.03,
도촌동,중원구,B2C 소비 수요 지수,46.22,안정 수요 구역
도촌동,중원구,로봇 배송 용이성 지수,50.86,
도촌동,중원구,상권활력지수,12.58,
도촌동,중원구,유동인구지수,20.07,
도촌동,중원구,복지시설 밀도,0.082031,
백현동,분당구,B2B 기업 활동 지수,27.01,
백현동,분당구,B2C 소비 수요 지수,78.64,즉시 확장 구역
백현동,분당구,로봇 배송 용이성 지수,63.44,
백현동,분당구,상권활력지수,27.97,
백현동,분당구,유동인구지수,33.5,
백현동,분당구,복지시설 밀도,0.111111,
복정동,수정구,B2B 기업 활동 지수,34.94,
복정동,수정구,B2C 소비 수요 지수,22.48,관망 구역
복정동,수정구,로봇 배송 용이성 지수,56.93,
복정동,수정구,상권활력지수,11.7,
복정동,수정구,유동인구지수,17.52,
복정동,수정구,복지시설 밀도,0.046875,
분당동,분당구,B2B 기업 활동 지수,11.82,
분당동,분당구,B2C 소비 수요 지수,51.25,안정 수요 구역
분당동,분당구,로봇 배송 용이성 지수,56.1,
분당동,분당구,상권활력지수,3.52,
분당동,분당구,유동인구지수,15.13,
분당동,분당구,복지시설 밀도,0.171875,
산성동,수정구,B2B 기업 활동 지수,12.72,
산성동,수정구,B2C 소비 수요 지수,18.38,성장 잠재 구역
산성동,수정구,로봇 배송 용이성 지수,71.92,
산성동,수정구,상권활력지수,5.0,
산성동,수정구,유동인구지수,2.98,
산성동,수정구,복지시설 밀도,0.3125,
삼평동,분당구,B2B 기업 활동 지수,67.37,
삼평동,분당구,B2C 소비 수요 지수,70.91,즉시 확장 구역
삼평동,분당구,로봇 배송 용이성 지수,63.62,
삼평동,분당구,상권활력지수,44.66,
삼평동,분당구,유동인구지수,100.0,
삼평동,분당구,복지시설 밀도,0.064103,
상대원1동,중원구,B2B 기업 활동 지수,88.87,
상대원1동,중원구,B2C 소비 수요 지수,27.22,성장 잠재 구역
상대원1동,중원구,로봇 배송 용이성 지수,60.46,
상대원1동,중원구,상권활력지수,14.65,
상대원1동,중원구,유동인구지수,31.78,
상대원1동,중원구,복지시설 밀도,0.077778,
상대원2동,중원구,B2B 기업 활동 지수,34.27,
상대원2동,중원구,B2C 소비 수요 지수,24.8,성장 잠재 구역
상대원2동,중원구,로봇 배송 용이성 지수,60.25,
상대원2동,중원구,상권활력지수,1.28,
상대원2동,중원구,유동인구지수,6.45,
상대원2동,중원구,복지시설 밀도,0.142857,
상대원3동,중원구,B2B 기업 활동 지수,23.9,
상대원3동,중원구,B2C 소비 수요 지수,22.36,관망 구역
상대원3동,중원구,로봇 배송 용이성 지수,53.0,
상대원3동,중원구,상권활력지수,4.74,
상대원3동,중원구,유동인구지수,2.22,
상대원3동,중원구,복지시설 밀도,0.45,
서현1동,분당구,B2B 기업 활동 지수,60.2,
서현1동,분당구,B2C 소비 수요 지수,60.87,즉시 확장 구역
서현1동,분당구,로봇 배송 용이성 지수,53.9,
서현1동,분당구,상권활력지수,99.68,
서현1동,분당구,유동인구지수,64.47,
서현1동,분당구,복지시설 밀도,0.015152,
서현2동,분당구,B2B 기업 활동 지수,22.13,
서현2동,분당구,B2C 소비 수요 지수,57.36,안정 수요 구역
서현2동,분당구,로봇 배송 용이성 지수,74.19,
서현2동,분당구,상권활력지수,13.69,
서현2동,분당구,유동인구지수,15.0,
서현2동,분당구,복지시설 밀도,0.181818,
성남동,중원구,B2B 기업 활동 지수,39.97,
성남동,중원구,B2C 소비 수요 지수,27.4,관망 구역
성남동,중원구,로봇 배송 용이성 지수,66.57,
성남동,중원구,상권활력지수,45.86,
성남동,중원구,유동인구지수,42.06,
성남동,중원구,복지시설 밀도,0.169643,
수내1동,분당구,B2B 기업 활동 지수,44.21,
수내1동,분당구,B2C 소비 수요 지수,67.41,즉시 확장 구역
수내1동,분당구,로봇 배송 용이성 지수,66.89,
수내1동,분당구,상권활력지수,82.09,
수내1동,분당구,유동인구지수,27.23,
수내1동,분당구,복지시설 밀도,0.267857,
수내2동,분당구,B2B 기업 활동 지수,12.71,
수내2동,분당구,B2C 소비 수요 지수,76.58,안정 수요 구역
수내2동,분당구,로봇 배송 용이성 지수,58.93,
수내2동,분당구,상권활력지수,5.27,
수내2동,분당구,유동인구지수,2.3,
수내2동,분당구,복지시설 밀도,0.3,
수내3동,분당구,B2B 기업 활동 지수,15.25,
수내3동,분당구,B2C 소비 수요 지수,65.61,안정 수요 구역
수내3동,분당구,로봇 배송 용이성 지수,64.45,
수내3동,분당구,상권활력지수,7.03,
수내3동,분당구,유동인구지수,8.96,
수내3동,분당구,복지시설 밀도,0.140625,
수진1동,수정구,B2B 기업 활동 지수,13.52,
수진1동,수정구,B2C 소비 수요 지수,13.72,관망 구역
수진1동,수정구,로봇 배송 용이성 지수,59.73,
수진1동,수정구,상권활력지수,5.4,
수진1동,수정구,유동인구지수,6.54,
수진1동,수정구,복지시설 밀도,0.6,
수진2동,수정구,B2B 기업 활동 지수,17.04,
수진2동,수정구,B2C 소비 수요 지수,14.99,관망 구역
수진2동,수정구,로봇 배송 용이성 지수,68.48,
수진2동,수정구,상권활력지수,11.51,
수진2동,수정구,유동인구지수,15.05,
수진2동,수정구,복지시설 밀도,0.375,
시흥동,수정구,B2B 기업 활동 지수,34.75,
시흥동,수정구,B2C 소비 수요 지수,59.87,즉시 확장 구역
시흥동,수정구,로봇 배송 용이성 지수,61.4,
시흥동,수정구,상권활력지수,12.88,
시흥동,수정구,유동인구지수,26.84,
시흥동,수정구,복지시설 밀도,0.025281,
신촌동,수정구,B2B 기업 활동 지수,28.58,
신촌동,수정구,B2C 소비 수요 지수,48.86,안정 수요 구역
신촌동,수정구,로봇 배송 용이성 지수,62.72,
신촌동,수정구,상권활력지수,0.12,
신촌동,수정구,유동인구지수,2.92,
신촌동,수정구,복지시설 밀도,0.044118,
신흥1동,수정구,B2B 기업 활동 지수,20.51,
신흥1동,수정구,B2C 소비 수요 지수,29.48,관망 구역
신흥1동,수정구,로봇 배송 용이성 지수,66.87,
신흥1동,수정구,상권활력지수,7.45,
신흥1동,수정구,유동인구지수,4.7,
신흥1동,수정구,복지시설 밀도,0.8125,
신흥2동,수정구,B2B 기업 활동 지수,23.47,
신흥2동,수정구,B2C 소비 수요 지수,39.14,관망 구역
신흥2동,수정구,로봇 배송 용이성 지수,75.53,
신흥2동,수정구,상권활력지수,7.4,
신흥2동,수정구,유동인구지수,23.07,
신흥2동,수정구,복지시설 밀도,0.535714,
신흥3동,수정구,B2B 기업 활동 지수,21.44,
신흥3동,수정구,B2C 소비 수요 지수,30.4,관망 구역
신흥3동,수정구,로봇 배송 용이성 지수,68.98,
신흥3동,수정구,상권활력지수,13.04,
신흥3동,수정구,유동인구지수,10.81,
신흥3동,수정구,복지시설 밀도,0.6,
야탑1동,분당구,B2B 기업 활동 지수,46.18,
야탑1동,분당구,B2C 소비 수요 지수,47.01,성장 잠재 구역
야탑1동,분당구,로봇 배송 용이성 지수,49.23,
야탑1동,분당구,상권활력지수,55.4,
야탑1동,분당구,유동인구지수,39.65,
야탑1동,분당구,복지시설 밀도,0.078125,
야탑2동,분당구,B2B 기업 활동 지수,22.88,
야탑2동,분당구,B2C 소비 수요 지수,49.28,즉시 확장 구역
야탑2동,분당구,로봇 배송 용이성 지수,34.09,
야탑2동,분당구,상권활력지수,9.29,
야탑2동,분당구,유동인구지수,6.82,
야탑2동,분당구,복지시설 밀도,0.194444,
야탑3동,분당구,B2B 기업 활동 지수,39.45,
야탑3동,분당구,B2C 소비 수요 지수,45.3,성장 잠재 구역
야탑3동,분당구,로봇 배송 용이성 지수,52.15,
야탑3동,분당구,상권활력지수,9.53,
야탑3동,분당구,유동인구지수,24.91,
야탑3동,분당구,복지시설 밀도,0.082143,
양지동,수정구,B2B 기업 활동 지수,14.66,
양지동,수정구,B2C 소비 수요 지수,16.08,관망 구역
양지동,수정구,로봇 배송 용이성 지수,45.2,
양지동,수정구,상권활력지수,4.14,
양지동,수정구,유동인구지수,4.98,
양지동,수정구,복지시설 밀도,0.102941,
운중동,분당구,B2B 기업 활동 지수,31.64,
운중동,분당구,B2C 소비 수요 지수,70.06,안정 수요 구역
운중동,분당구,로봇 배송 용이성 지수,47.08,
운중동,분당구,상권활력지수,20.6,
운중동,분당구,유동인구지수,30.37,
운중동,분당구,복지시설 밀도,0.023859,
