dong,gu,b2b_index_100,b2c_index_100,b2c_zone_type,robot_index_100,delivery_demand_index,flow_pop_index,welfare_density,ddi_index_100,flow_pop_index_100
고등동,수정구,30.97,66.31,즉시 확장 구역,54.19,0.09194,0.124285,0.040936,9.19,12.43
구미1동,분당구,39.85,58.34,즉시 확장 구역,38.0,0.315137,0.223561,0.044118,31.51,22.36
구미동,분당구,36.86,56.33,즉시 확장 구역,34.89,0.462524,0.36381,0.083333,46.25,36.38
금곡동,분당구,35.22,56.24,안정 수요 구역,55.2,0.271668,0.305791,0.046875,27.17,30.58
금광1동,중원구,7.45,41.05,성장 잠재 구역,65.73,0.093298,0.145782,0.75,9.33,14.58
금광2동,중원구,21.07,34.49,성장 잠재 구역,67.8,0.122742,0.206054,0.397059,12.27,20.61
단대동,수정구,12.7,40.3,성장 잠재 구역,68.17,0.041726,0.084208,0.613636,4.17,8.42
도촌동,중원구,23.03,46.22,안정 수요 구역,50.86,0.125836,0.200661,0.082031,12.58,20.07
백현동,분당구,27.01,78.64,즉시 확장 구역,63.44,0.279685,0.335035,0.111111,27.97,33.5
복정동,수정구,34.94,22.48,관망 구역,56.93,0.11697,0.175207,0.046875,11.7,17.52
분당동,분당구,11.82,51.25,안정 수요 구역,56.1,0.035225,0.151264,0.171875,3.52,15.13
산성동,수정구,12.72,18.38,성장 잠재 구역,71.92,0.050017,0.029804,0.3125,5.0,2.98
삼평동,분당구,67.37,70.91,즉시 확장 구역,63.62,0.446593,1.0,0.064103,44.66,100.0
상대원1동,중원구,88.87,27.22,성장 잠재 구역,60.46,0.146488,0.317824,0.077778,14.65,31.78
상대원2동,중원구,34.27,24.8,성장 잠재 구역,60.25,0.012835,0.064462,0.142857,1.28,6.45
상대원3동,중원구,23.9,22.36,관망 구역,53.0,0.047378,0.022189,0.45,4.74,2.22
서현1동,분당구,60.2,60.87,즉시 확장 구역,53.9,0.996813,0.644702,0.015152,99.68,64.47
서현2동,분당구,22.13,57.36,안정 수요 구역,74.19,0.136914,0.149999,0.181818,13.69,15.0
성남동,중원구,39.97,27.4,관망 구역,66.57,0.458556,0.420564,0.169643,45.86,42.06
수내1동,분당구,44.21,67.41,즉시 확장 구역,66.89,0.820864,0.272321,0.267857,82.09,27.23
수내2동,분당구,12.71,76.58,안정 수요 구역,58.93,0.052746,0.023006,0.3,5.27,2.3
수내3동,분당구,15.25,65.61,안정 수요 구역,64.45,0.070253,0.089626,0.140625,7.03,8.96
수진1동,수정구,13.52,13.72,관망 구역,59.73,0.054032,0.065446,0.6,5.4,6.54
수진2동,수정구,17.04,14.99,관망 구역,68.48,0.115119,0.150524,0.375,11.51,15.05
시흥동,수정구,34.75,59.87,즉시 확장 구역,61.4,0.128757,0.268369,0.025281,12.88,26.84
신촌동,수정구,28.58,48.86,안정 수요 구역,62.72,0.001246,0.029247,0.044118,0.12,2.92
신흥1동,수정구,20.51,29.48,관망 구역,66.87,0.074536,0.046977,0.8125,7.45,4.7
신흥2동,수정구,23.47,39.14,관망 구역,75.53,0.073978,0.23066,0.535714,7.4,23.07
신흥3동,수정구,21.44,30.4,관망 구역,68.98,0.130439,0.10814,0.6,13.04,10.81
야탑1동,분당구,46.18,47.01,성장 잠재 구역,49.23,0.554029,0.396489,0.078125,55.4,39.65
야탑2동,분당구,22.88,49.28,즉시 확장 구역,34.09,0.092904,0.068246,0.194444,9.29,6.82
야탑3동,분당구,39.45,45.3,성장 잠재 구역,52.15,0.095296,0.249102,0.082143,9.53,24.91
양지동,수정구,14.66,16.08,관망 구역,45.2,0.041367,0.04978,0.102941,4.14,4.98
운중동,분당구,31.64,70.06,안정 수요 구역,47.08,0.205958,0.30366,0.023859,20.6,30.37
위례동,수정구,39.76,53.73,안정 수요 구역,59.87,0.443049,0.417832,0.261628,44.3,41.78
은행1동,중원구,11.25,26.69,관망 구역,61.64,0.0031,0.0,0.8125,0.31,0.0
은행2동,중원구,12.15,28.4,성장 잠재 구역,68.68,0.134469,0.127637,0.219697,13.45,12.76
이매1동,분당구,21.65,58.99,안정 수요 구역,56.44,0.103269,0.22963,0.077381,10.33,22.96
이매2동,분당구,10.08,66.91,즉시 확장 구역,56.87,0.045013,0.037756,0.178571,4.5,3.78
정자1동,분당구,52.47,72.59,즉시 확장 구역,60.91,0.53039,0.548497,0.166667,53.04,54.85
정자2동,분당구,12.19,66.97,즉시 확장 구역,56.29,0.013479,0.117001,0.214286,1.35,11.7
정자3동,분당구,13.36,66.31,즉시 확장 구역,59.96,0.297547,0.201367,0.092593,29.75,20.14
정자동,분당구,22.79,67.62,즉시 확장 구역,52.34,0.14361,0.207148,0.078125,14.36,20.71
중앙동,중원구,3.01,45.62,성장 잠재 구역,74.44,0.045321,0.095579,0.7,4.53,9.56
태평1동,수정구,14.36,15.18,관망 구역,64.27,0.091577,0.162318,0.261905,9.16,16.23
태평2동,수정구,16.29,14.27,관망 구역,59.89,0.057048,0.082266,0.678571,5.7,8.23
태평3동,수정구,13.18,14.3,관망 구역,58.28,0.105502,0.090601,1.0,10.55,9.06
태평4동,수정구,3.09,11.67,관망 구역,69.95,0.347841,0.049567,0.65,34.78,4.96
판교동,분당구,23.14,81.09,즉시 확장 구역,67.16,0.127588,0.186548,0.063492,12.76,18.65
하대원동,중원구,20.94,30.2,관망 구역,61.37,0.089748,0.114879,0.205882,8.97,11.49
