dong,facility_count,senior_center_count,welfare_center_count,member_count,cell_count,facility_per_cell,welfare_density
(분관)상대원3동,1,0,1,0,,,
(분관)수진1동,1,0,1,0,,,
고등동,28,27,1,1638,171.0,0.1637426900584795,0.0409356725146198
구미1동,9,9,0,230,51.0,0.1764705882352941,0.0441176470588235
구미동,17,17,0,460,51.0,0.3333333333333333,0.0833333333333333
금곡동,15,15,0,648,80.0,0.1875,0.046875
금광1동,24,24,0,960,8.0,3.0,0.75
금광2동,27,27,0,927,17.0,1.588235294117647,0.3970588235294117
단대동,27,27,0,924,11.0,2.4545454545454546,0.6136363636363636
도촌동,42,42,0,1677,128.0,0.328125,0.08203125
백현동,12,12,0,368,27.0,0.4444444444444444,0.1111111111111111
복정동,9,9,0,405,48.0,0.1875,0.046875
분당구,5,0,5,44272,,,
분당동,33,33,0,999,48.0,0.6875,0.171875
산성동,10,9,1,540,8.0,1.25,0.3125
삼평동,10,10,0,339,39.0,0.2564102564102564,0.0641025641025641
상대원1동,28,27,1,1065,90.0,0.3111111111111111,0.0777777777777777
상대원2동,4,3,1,78,7.0,0.5714285714285714,0.1428571428571428
상대원3동,9,9,0,360,5.0,1.8,0.45
서현1동,6,6,0,198,99.0,0.0606060606060606,0.0151515151515151
서현2동,8,8,0,241,11.0,0.7272727272727273,0.1818181818181818
성남동,19,18,1,816,28.0,0.6785714285714286,0.1696428571428571
수내1동,15,15,0,579,14.0,1.0714285714285714,0.2678571428571428
수내2동,12,12,0,252,10.0,1.2,0.3
수내3동,9,9,0,285,16.0,0.5625,0.140625
수정구,2,0,2,27822,,,
수진1동,12,12,0,336,5.0,2.4,0.6
수진2동,18,18,0,789,12.0,1.5,0.375
시흥동,18,18,0,660,178.0,0.1011235955056179,0.0252808988764044
신촌동,12,12,0,405,68.0,0.1764705882352941,0.0441176470588235
신흥1동,13,12,1,513,4.0,3.25,0.8125
신흥2동,30,30,0,1827,14.0,2.142857142857143,0.5357142857142857
신흥3동,12,12,0,636,5.0,2.4,0.6
야탑1동,5,5,0,178,16.0,0.3125,0.078125
야탑2동,7,7,0,161,9.0,0.7777777777777778,0.1944444444444444
야탑3동,23,23,0,608,70.0,0.3285714285714285,0.0821428571428571
양지동,7,6,1,474,17.0,0.4117647058823529,0.1029411764705882
운중동,23,23,0,623,241.0,0.0954356846473029,0.0238589211618257
위례동,45,45,0,3042,43.0,1.0465116279069768,0.2616279069767442
은행1동,13,12,1,516,4.0,3.25,0.8125
은행2동,29,27,2,963,33.0,0.8787878787878788,0.2196969696969697
이매1동,13,13,0,336,42.0,0.3095238095238095,0.0773809523809523
이매2동,5,5,0,106,7.0,0.7142857142857143,0.1785714285714285
정자1동,12,12,0,399,18.0,0.6666666666666666,0.1666666666666666
정자2동,6,6,0,142,7.0,0.8571428571428571,0.2142857142857142
정자3동,10,10,0,204,27.0,0.3703703703703703,0.0925925925925925
정자동,5,5,0,144,16.0,0.3125,0.078125
중앙동,28,27,1,1377,10.0,2.8,0.7
중원구,2,0,2,32129,,,
태평1동,22,21,1,921,21.0,1.0476190476190477,0.2619047619047619
태평2동,19,18,1,738,7.0,2.7142857142857144,0.6785714285714286
태평3동,16,15,1,651,4.0,4.0,1.0
태평4동,13,12,1,645,5.0,2.6,0.65
판교동,16,16,0,313,63.0,0.2539682539682539,0.0634920634920634
하대원동,28,27,1,954,34.0,0.8235294117647058,0.2058823529411764
