scenario_key,layer_key,demand_key,layer_label,demand_label,airspace_selected,obstacle_selected,noise_selected,robot_selected,weather_selected,b2b_selected,b2c_selected,ddi_selected,feasible_cells,hotspot_cells,selected_hubs,covered_hotspots,uncovered_hotspots,coverage_pct,avg_score_all_cells,demand_threshold
A0O0N0R0W0__B0C0D0,A0O0N0R0W0,B0C0D0,선택 없음,선택 없음,False,False,False,False,False,False,False,False,0,0,0,0,0,0.0,0.0,0.0
A0O0N0R0W0__B0C0D1,A0O0N0R0W0,B0C0D1,선택 없음,상권활력지수,False,False,False,False,False,False,False,True,0,0,0,0,0,0.0,0.0,0.095296
A0O0N0R0W0__B0C1D0,A0O0N0R0W0,B0C1D0,선택 없음,소비력지수,False,False,False,False,False,False,True,False,0,0,0,0,0,0.0,0.0,0.4622
A0O0N0R0W0__B0C1D1,A0O0N0R0W0,B0C1D1,선택 없음,소비력지수 + 상권활력지수,False,False,False,False,False,False,True,True,0,0,0,0,0,0.0,0.0,0.274148
A0O0N0R0W0__B1C0D0,A0O0N0R0W0,B1C0D0,선택 없음,기업수요지수,False,False,False,False,False,True,False,False,0,0,0,0,0,0.0,0.0,0.2314
A0O0N0R0W0__B1C0D1,A0O0N0R0W0,B1C0D1,선택 없음,기업수요지수 + 상권활력지수,False,False,False,False,False,True,False,True,0,0,0,0,0,0.0,0.0,0.178068
A0O0N0R0W0__B1C1D0,A0O0N0R0W0,B1C1D0,선택 없음,기업수요지수 + 소비력지수,False,False,False,False,False,True,True,False,0,0,0,0,0,0.0,0.0,0.3872
A0O0N0R0W0__B1C1D1,A0O0N0R0W0,B1C1D1,선택 없음,기업수요지수 + 소비력지수 + 상권활력지수,False,False,False,False,False,True,True,True,0,0,0,0,0,0.0,0.0,0.292951
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,기상,선택 없음,False,False,False,False,True,False,False,False,1947,1947,10,122,1825,6.27,0.8,0.0
A0O0N0R0W1__B0C0D1,A0O0N0R0W1,B0C0D1,기상,상권활력지수,False,False,False,False,True,False,False,True,1947,1456,10,115,1341,7.9,0.8,0.095296
A0O0N0R0W1__B0C1D0,A0O0N0R0W1,B0C1D0,기상,소비력지수,False,False,False,False,True,False,True,False,1947,1480,10,111,1369,7.5,0.8,0.4622
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,기상,소비력지수 + 상권활력지수,False,False,False,False,True,False,True,True,1947,1462,10,114,1348,7.8,0.8,0.274148
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,기상,기업수요지수,False,False,False,False,True,True,False,False,1947,1421,10,110,1311,7.74,0.8,0.2314
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,기상,기업수요지수 + 상권활력지수,False,False,False,False,True,True,False,True,1947,1514,10,115,1399,7.6,0.8,0.178068
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,기상,기업수요지수 + 소비력지수,False,False,False,False,True,True,True,False,1947,1448,10,112,1336,7.73,0.8,0.3872
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,기상,기업수요지수 + 소비력지수 + 상권활력지수,False,False,False,False,True,True,True,True,1947,1401,10,112,1289,7.99,0.8,0.292951
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,로봇 접근성(Ra),선택 없음,False,False,False,True,False,False,False,False,1770,1770,10,121,1649,6.84,0.473118,0.0
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,로봇 접근성(Ra),상권활력지수,False,False,False,True,False,False,False,True,1770,1336,10,114,1222,8.53,0.473118,0.095296
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,로봇 접근성(Ra),소비력지수,False,False,False,True,False,False,True,False,1770,1318,10,111,1207,8.42,0.473118,0.4622
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,로봇 접근성(Ra),소비력지수 + 상권활력지수,False,False,False,True,False,False,True,True,1770,1319,10,114,1205,8.64,0.473118,0.274148
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,로봇 접근성(Ra),기업수요지수,False,False,False,True,False,True,False,False,1770,1258,10,108,1150,8.59,0.473118,0.2314
A0O0N0R1W0__B1C0D1,A0O0N0R1W0,B1C0D1,로봇 접근성(Ra),기업수요지수 + 상권활력지수,False,False,False,True,False,True,False,True,1770,1362,10,114,1248,8.37,0.473118,0.178068
A0O0N0R1W0__B1C1D0,A0O0N0R1W0,B1C1D0,로봇 접근성(Ra),기업수요지수 + 소비력지수,False,False,False,True,False,True,True,False,1770,1288,10,111,1177,8.62,0.473118,0.3872
A0O0N0R1W0__B1C1D1,A0O0N0R1W0,B1C1D1,로봇 접근성(Ra),기업수요지수 + 소비력지수 + 상권활력지수,False,False,False,True,False,True,True,True,1770,1261,10,111,1150,8.8,0.473118,0.292951
A0O0N0R1W1__B0C0D0,A0O0N0R1W1,B0C0D0,로봇 접근성(Ra) + 기상,선택 없음,False,False,False,True,True,False,False,False,1770,1770,10,121,1649,6.84,0.378494,0.0
A0O0N0R1W1__B0C0D1,A0O0N0R1W1,B0C0D1,로봇 접근성(Ra) + 기상,상권활력지수,False,False,False,True,True,False,False,True,1770,1336,10,114,1222,8.53,0.378494,0.095296
A0O0N0R1W1__B0C1D0,A0O0N0R1W1,B0C1D0,로봇 접근성(Ra) + 기상,소비력지수,False,False,False,True,True,False,True,False,1770,1318,10,111,1207,8.42,0.378494,0.4622
A0O0N0R1W1__B0C1D1,A0O0N0R1W1,B0C1D1,로봇 접근성(Ra) + 기상,소비력지수 + 상권활력지수,False,False,False,True,True,False,True,True,1770,1319,10,114,1205,8.64,0.378494,0.274148
A0O0N0R1W1__B1C0D0,A0O0N0R1W1,B1C0D0,로봇 접근성(Ra) + 기상,기업수요지수,False,False,False,True,True,True,False,False,1770,1258,10,108,1150,8.59,0.378494,0.2314
A0O0N0R1W1__B1C0D1,A0O0N0R1W1,B1C0D1,로봇 접근성(Ra) + 기상,기업수요지수 + 상권활력지수,False,False,False,True,True,True,False,True,1770,1362,10,114,1248,8.37,0.378494,0.178068
A0O0N0R1W1__B1C1D0,A0O0N0R1W1,B1C1D0,로봇 접근성(Ra) + 기상,기업수요지수 + 소비력지수,False,False,False,True,True,True,True,False,1770,1288,10,111,1177,8.62,0.378494,0.3872
A0O0N0R1W1__B1C1D1,A0O0N0R1W1,B1C1D1,로봇 접근성(Ra) + 기상,기업수요지수 + 소비력지수 + 상권활력지수,False,False,False,True,True,True,True,True,1770,1261,10,111,1150,8.8,0.378494,0.292951
A0O0N1R0W0__B0C0D0,A0O0N1R0W0,B0C0D0,소음 민감,선택 없음,False,False,True,False,False,False,False,False,1947,1947,10,122,1825,6.27,0.902067,0.0
