scenario_key,layer_key,demand_key,hub_rank,facility_index,facility_id,hub_name,facility,capacity,idle_score,lat,lon,new_hotspot_cells,cumulative_hotspot_cells,cumulative_coverage_pct,layer_label,demand_label
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,13,13,0.67,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,2,46,205-1-000047,중상50,주차장,18,0.9782254477531648,37.428469,127.143157,13,26,1.34,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,3,18,205-1-000019,중상89,주차장,13,0.9611372325876234,37.445631,127.162621,12,38,1.95,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,4,42,205-1-000043,중상79하,주차장,74,0.9350523594182064,37.444641,127.176881,12,50,2.57,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,5,54,205-1-000055,중상70-4-5,주차장,10,1.0,37.458714,127.165251,12,62,3.18,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,6,58,205-1-000059,중상60-63,주차장,14,1.0,37.431331,127.157281,12,74,3.8,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,7,63,205-1-000064,모란2,주차장,24,0.9513031344662622,37.429731,127.125431,12,86,4.42,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,8,71,204-2-000006,산성동 제1,주차장,109,1.0,37.451632,127.152324,12,98,5.03,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,9,84,204-2-000020,태평동 제1,주차장,119,1.0,37.44718,127.129216,12,110,5.65,기상,선택 없음
A0O0N0R0W1__B0C0D0,A0O0N0R0W1,B0C0D0,10,93,204-2-000029,수진 제3,주차장,223,1.0,37.438147,127.133322,12,122,6.27,기상,선택 없음
A0O0N0R0W1__B0C0D1,A0O0N0R0W1,B0C0D1,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,13,13,0.89,기상,상권활력지수
A0O0N0R0W1__B0C0D1,A0O0N0R0W1,B0C0D1,2,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,25,1.72,기상,상권활력지수
A0O0N0R0W1__B0C0D1,A0O0N0R0W1,B0C0D1,3,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,37,2.54,기상,상권활력지수
A0O0N0R0W1__B0C0D1,A0O0N0R0W1,B0C0D1,4,161,205-3-000001,성남시청 부설주차장,주차장,1184,1.0,37.420178,127.12628,12,49,3.37,기상,상권활력지수
A0O0N0R0W1__B0C0D1,A0O0N0R0W1,B0C0D1,5,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,60,4.12,기상,상권활력지수
