name,type,facility_weight,lat,lon,h3_index,ADM_NM,GU_NM,zone,composite_v3,Ds_v3,Ra,dist_to_grid_m,vtp_score,dist_to_hub_m,near_hub
nan,공영주차장,1.0,37.355652,127.098267,8930e024dd3ffff,금곡동,분당구,Hybrid,0.3155,0.3242,0.526,138.0,0.7595,894.0,True
nan,공영주차장,1.0,37.344888,127.109611,8930e024d7bffff,구미1동,분당구,Hybrid,0.3284,0.2718,0.6563,110.0,0.7529,752.0,True
nan,공영주차장,1.0,37.345419,127.109582,8930e024d7bffff,구미1동,분당구,Hybrid,0.3284,0.2718,0.6563,55.0,0.7529,722.0,True
nan,공영주차장,1.0,37.352936,127.102129,8930e024dc7ffff,금곡동,분당구,Hybrid,0.2688,0.3242,0.461,119.0,0.7455,521.0,True
nan,공영주차장,1.0,37.353549,127.101355,8930e024dc7ffff,금곡동,분당구,Hybrid,0.2688,0.3242,0.461,126.0,0.7455,594.0,True
nan,공영주차장,1.0,37.336513,127.118127,8930e024953ffff,구미동,분당구,Hybrid,0.2054,0.3798,0.6424,134.0,0.7376,1918.0,False
nan,공영주차장,1.0,37.343906,127.116749,8930e0249d7ffff,구미동,분당구,Hybrid,0.2023,0.3798,0.7436,86.0,0.7366,1372.0,True
nan,공영주차장,1.0,37.344211,127.116625,8930e0249d7ffff,구미동,분당구,Hybrid,0.2023,0.3798,0.7436,117.0,0.7366,1350.0,True
nan,공영주차장,1.0,37.334889,127.117282,8930e024827ffff,구미동,분당구,Hybrid,0.1913,0.3798,0.5058,42.0,0.7334,1995.0,False
주차장,공영주차장,1.0,37.357602,127.119624,8930e1532cbffff,정자3동,분당구,Hybrid,0.3331,0.1556,0.4982,79.0,0.7311,1006.0,True
nan,공영주차장,1.0,37.359255,127.110875,8930e024da3ffff,정자3동,분당구,Hybrid,0.3304,0.1556,0.6127,82.0,0.7302,226.0,True
nan,공영주차장,1.0,37.340041,127.123096,8930e02491bffff,구미동,분당구,Hybrid,0.1797,0.3798,0.5191,55.0,0.7299,1484.0,True
nan,공영주차장,1.0,37.336559,127.117228,8930e0249cbffff,구미동,분당구,Hybrid,0.1726,0.3798,0.6263,139.0,0.7277,1857.0,False
nan,공영주차장,1.0,37.347924,127.12471,8930e024987ffff,구미동,분당구,Hybrid,0.1715,0.3798,0.6452,146.0,0.7274,718.0,True
이마트24 분당미켈란점,대형마트,0.8,37.359571,127.107187,8930e024dbbffff,정자1동,분당구,Hybrid,0.2973,0.5904,0.7831,128.0,0.7273,128.0,True
nan,공영주차장,1.0,37.34835,127.124992,8930e0249b3ffff,구미동,분당구,Hybrid,0.1584,0.3798,0.4706,153.0,0.7235,671.0,True
nan,공영주차장,1.0,37.344124,127.109664,8930e0248b7ffff,구미동,분당구,Hybrid,0.1572,0.3798,0.524,122.0,0.7231,802.0,True
nan,공영주차장,1.0,37.34438,127.109651,8930e0248b7ffff,구미동,분당구,Hybrid,0.1572,0.3798,0.524,150.0,0.7231,785.0,True
대농식자재마트,대형마트,0.8,37.366724,127.068299,8930e026a97ffff,운중동,분당구,Hybrid,0.4483,0.247,0.6138,105.0,0.7039,1627.0,False
정자3동 행정복지센터,주민센터,0.9,37.360785,127.119555,8930e1532c3ffff,정자3동,분당구,Hybrid,0.3527,0.1556,0.5927,68.0,0.6969,1011.0,True
그랜드빌 주민회관,주민센터,0.9,37.343331,127.116812,8930e0249d7ffff,구미동,분당구,Hybrid,0.2023,0.3798,0.7436,65.0,0.6966,1400.0,True
구미동 행정복지센터,주민센터,0.9,37.340209,127.122616,8930e02491bffff,구미동,분당구,Hybrid,0.1797,0.3798,0.5191,30.0,0.6899,1490.0,True
하얀마을복지회관,주민센터,0.9,37.344518,127.112275,8930e024d6bffff,구미동,분당구,Hybrid,0.1602,0.3798,0.6442,46.0,0.684,980.0,True
상가,대형마트,0.8,37.349094,127.115664,8930e024d67ffff,구미1동,분당구,Hybrid,0.3551,0.2718,0.6773,124.0,0.6809,1191.0,True
gs더프레시,대형마트,0.8,37.345681,127.112657,8930e024d63ffff,구미1동,분당구,Hybrid,0.3423,0.2718,0.7464,139.0,0.6771,965.0,True
이마트24,대형마트,0.8,37.347573,127.111754,8930e024d63ffff,구미1동,분당구,Hybrid,0.3423,0.2718,0.7464,103.0,0.6771,845.0,True
킴스클럽,대형마트,0.8,37.349243,127.10648,8930e024d57ffff,구미1동,분당구,Hybrid,0.3327,0.2718,0.5261,137.0,0.6742,391.0,True
이마트 분당점,대형마트,0.8,37.358764,127.119706,8930e1532cfffff,정자3동,분당구,Hybrid,0.4025,0.1556,0.6014,153.0,0.6719,1003.0,True
nan,공원,0.7,37.364478,127.073434,8930e026aa3ffff,운중동,분당구,Hybrid,0.4733,0.247,0.5289,122.0,0.6714,1110.0,True
nan,공영주차장,1.0,37.383007,127.149683,8930e153173ffff,서현1동,분당구,로봇전용,0.1059,0.68,0.7063,65.0,0.6678,65.0,True
nan,공영주차장,1.0,37.388004,127.121183,8930e153093ffff,서현1동,분당구,로봇전용,0.1049,0.68,0.6993,72.0,0.6675,439.0,True
nan,공영주차장,1.0,37.387746,127.121475,8930e153093ffff,서현1동,분당구,로봇전용,0.1049,0.68,0.6993,100.0,0.6675,432.0,True
대원 상가,대형마트,0.8,37.351661,127.113305,8930e024d3bffff,금곡동,분당구,Hybrid,0.2754,0.3242,0.5922,104.0,0.6674,915.0,True
nan,공영주차장,1.0,37.384007,127.136368,8930e153037ffff,서현1동,분당구,로봇전용,0.0958,0.68,0.639,33.0,0.6648,1183.0,True
nan,공원,0.7,37.366126,127.066994,8930e026a97ffff,운중동,분당구,Hybrid,0.4483,0.247,0.6138,97.0,0.6639,1706.0,False
nan,공원,0.7,37.368011,127.067625,8930e026a97ffff,운중동,분당구,Hybrid,0.4483,0.247,0.6138,121.0,0.6639,1745.0,False
nan,공원,0.7,37.367644,127.067266,8930e026a97ffff,운중동,분당구,Hybrid,0.4483,0.247,0.6138,73.0,0.6639,1754.0,False
nan,공원,0.7,37.364698,127.072018,8930e026abbffff,운중동,분당구,Hybrid,0.4477,0.247,0.6378,132.0,0.6637,1235.0,True
nan,공영주차장,1.0,37.386744,127.122758,8930e153083ffff,서현1동,분당구,로봇전용,0.0875,0.68,0.5834,95.0,0.6623,445.0,True
