tm,stn,wd,ws,ta,rn,source_station,chunk_start,chunk_end,vis,dt
202501010000,119,9.0,1.1,-3.8,0.0,수원(119),202501010000,202501312359,,2025-01-01 00:00:00
202501010100,119,11.0,1.3,-3.8,0.0,수원(119),202501010000,202501312359,,2025-01-01 01:00:00
202501010200,119,16.0,0.9,-4.0,0.0,수원(119),202501010000,202501312359,,2025-01-01 02:00:00
202501010300,119,11.0,1.7,-4.3,0.0,수원(119),202501010000,202501312359,,2025-01-01 03:00:00
202501010400,119,18.0,0.9,-4.1,0.0,수원(119),202501010000,202501312359,,2025-01-01 04:00:00
202501010500,119,11.0,2.4,-4.2,0.0,수원(119),202501010000,202501312359,,2025-01-01 05:00:00
202501010600,119,11.0,1.9,-3.7,0.0,수원(119),202501010000,202501312359,,2025-01-01 06:00:00
202501010700,119,11.0,2.0,-3.1,0.0,수원(119),202501010000,202501312359,,2025-01-01 07:00:00
202501010800,119,14.0,1.0,-3.1,0.0,수원(119),202501010000,202501312359,,2025-01-01 08:00:00
202501010900,119,14.0,0.6,-1.3,0.0,수원(119),202501010000,202501312359,,2025-01-01 09:00:00
202501011000,119,14.0,1.8,1.1,0.0,수원(119),202501010000,202501312359,,2025-01-01 10:00:00
202501011100,119,14.0,2.1,2.9,0.0,수원(119),202501010000,202501312359,,2025-01-01 11:00:00
202501011200,119,14.0,1.4,5.7,0.0,수원(119),202501010000,202501312359,,2025-01-01 12:00:00
202501011300,119,27.0,3.0,8.2,0.0,수원(119),202501010000,202501312359,,2025-01-01 13:00:00
202501011400,119,29.0,3.8,8.4,0.0,수원(119),202501010000,202501312359,,2025-01-01 14:00:00
202501011500,119,29.0,3.5,8.4,0.0,수원(119),202501010000,202501312359,,2025-01-01 15:00:00
202501011600,119,29.0,4.6,7.5,0.0,수원(119),202501010000,202501312359,,2025-01-01 16:00:00
202501011700,119,29.0,3.0,6.3,0.0,수원(119),202501010000,202501312359,,2025-01-01 17:00:00
202501011800,119,27.0,1.2,4.8,0.0,수원(119),202501010000,202501312359,,2025-01-01 18:00:00
202501011900,119,0.0,0.0,3.2,0.0,수원(119),202501010000,202501312359,,2025-01-01 19:00:00
202501012000,119,25.0,1.0,2.0,0.0,수원(119),202501010000,202501312359,,2025-01-01 20:00:00
202501012100,119,29.0,1.3,1.4,0.0,수원(119),202501010000,202501312359,,2025-01-01 21:00:00
202501012200,119,32.0,1.3,0.2,0.0,수원(119),202501010000,202501312359,,2025-01-01 22:00:00
202501012300,119,32.0,1.1,-1.0,0.0,수원(119),202501010000,202501312359,,2025-01-01 23:00:00
202501020000,119,25.0,0.9,-1.0,0.0,수원(119),202501010000,202501312359,10.0,2025-01-02 00:00:00
202501020100,119,32.0,1.0,-2.0,0.0,수원(119),202501010000,202501312359,,2025-01-02 01:00:00
202501020200,119,27.0,1.1,-2.6,0.0,수원(119),202501010000,202501312359,,2025-01-02 02:00:00
