h3_index,lat,lon,ADM_NM,GU_NM,CSV_ADMI_CD,Ds,demand_grade,P_wind_fail,P_rain_fail,P_visibility_fail,P_drone_weather_available,weather_risk,score_weather,weather_station,weather_source,weather_period_start,weather_period_end,weather_note
8830e1cd21fffff,37.45509212806639,127.17157452465692,은행2동,중원구,41133560,0.28440447622504966,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15349fffff,37.39909263329149,127.10650615542404,삼평동,분당구,41135655,0.458371381575248,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1523dfffff,37.4150981719387,127.16029604677726,도촌동,중원구,41133670,0.2853938536924451,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c991fffff,37.43233357638169,127.11454830250773,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1cd07fffff,37.468567900697174,127.17797591376277,은행2동,중원구,41133560,0.28440447622504966,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c90bfffff,37.42847975434967,127.04348710360114,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15223fffff,37.40836347437733,127.1571003444401,야탑3동,분당구,41135640,0.2899265421066042,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026c5fffff,37.38307950511591,127.05279543328538,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15315fffff,37.381429344442296,127.14432589482182,서현1동,분당구,41135580,0.46286517016966955,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9abfffff,37.41170752638031,127.09708636950418,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
