시설유형,이름,주소,동명,회원수,GU_NM,ADM_NM
경로당,신흥1동 팔각정경로당,탄리로52번길 32 (신흥1동),신흥1동,41,수정구,신흥1동
경로당,신흥1동 수정로경로당,수정로170번길 19-9 (신흥1동),신흥1동,30,수정구,신흥1동
경로당,신흥1동 신흥카네이션경로당,수정남로 115-1 (신흥1동),신흥1동,41,수정구,신흥1동
경로당,신흥1동 상애(相愛)경로당,"탄리로8번길10-1, 비102호 (신흥1동)",신흥1동,59,수정구,신흥1동
경로당,신흥2동 제일경로당,수정로251번길 12 (신흥2동),신흥2동,53,수정구,신흥2동
경로당,신흥2동 한신아파트경로당,산성대로 341 (신흥2동),신흥2동,27,수정구,신흥2동
경로당,신흥2동 두산아파트경로당,공원로 360 (신흥2동),신흥2동,30,수정구,신흥2동
경로당,신흥2동 청구아파트경로당,공원로 340 (신흥2동),신흥2동,50,수정구,신흥2동
경로당,신흥2동 신동아파라디움경로당,공원로 322 (신흥2동),신흥2동,20,수정구,신흥2동
경로당,신흥2동 산성역포레스티아경로당,"수정로 319, 126동 시니어라운지 (신흥2동)",신흥2동,215,수정구,신흥2동
경로당,산성역 자이푸르지오(아) 행복경로당,수정로 260 아너스클럽 (신흥2동) 1단지,신흥2동,57,수정구,신흥2동
경로당,자이푸르지오2단지 경로당,수정로 288 아너스클럽,신흥2동,43,수정구,신흥2동
경로당,산성역자이푸르지오3단지A 경로당,희망로 531 커뮤니티동 (신흥2동) 3단지,신흥2동,56,수정구,신흥2동
경로당,산성역 자이푸르지오4단지 경로당,희망로 533,신흥2동,58,수정구,신흥2동
경로당,신흥3동 온고경로당,공원로349번길 8 (신흥3동),신흥3동,52,수정구,신흥3동
경로당,신흥3동 종합경로당,산성대로255번길 26-4 (신흥3동),신흥3동,58,수정구,신흥3동
경로당,신흥3동 대추나무경로당,수정남로 142 (신흥3동),신흥3동,57,수정구,신흥3동
경로당,신흥3동 삼부르네상스아파트경로당,"산성대로 305, 401호 (신흥3동)",신흥3동,45,수정구,신흥3동
경로당,태평1동 좋은경로당,제일로179번길 14 (태평1동),태평1동,22,수정구,태평1동
경로당,태평1동 백수경로당,성남대로1314번길 3-4 (태평1동),태평1동,31,수정구,태평1동
경로당,태평1동 만수경로당,수정로35번길 31 (태평1동),태평1동,55,수정구,태평1동
경로당,태평1동 궁마을경로당 ,수정로73번길 16-2 (태평1동),태평1동,45,수정구,태평1동
경로당,태평1동 쌍용아파트경로당,태평로 9 (태평1동),태평1동,27,수정구,태평1동
경로당,태평1동 행복경로당,"성남대로 1283, 1층 (태평1동)",태평1동,65,수정구,태평1동
경로당,태평1동 수복경로당,남문로18번길 9-1 (태평1동),태평1동,62,수정구,태평1동
경로당,태평2동 청명(淸明)경로당,탄리로132번길 15-16 (태평2동),태평2동,24,수정구,태평2동
경로당,태평2동 울타리경로당,수정로153번길 18-3 (태평2동),태평2동,63,수정구,태평2동
경로당,태평2동 다복(多福)경로당,시민로261번길 21 (태평2동),태평2동,42,수정구,태평2동
경로당,태평2동 은빛경로당,남문로111번길 3 (태평2동),태평2동,46,수정구,태평2동
경로당,태평2동 수정경로당,남문로74번길 11 (태평2동),태평2동,44,수정구,태평2동
경로당,태평2동 두산위브아파트경로당,태평로 65 가천대역두산위브아파트 106동 1층 (태평2동),태평2동,27,수정구,태평2동
경로당,태평3동 공원경로당,남문로31번길 23(제일로 236) (태평3동),태평3동,67,수정구,태평3동
경로당,태평3동 은행나무경로당,탄리로81번길 7 (태평3동),태평3동,44,수정구,태평3동
경로당,태평3동 사랑경로당,태평로 28 (동부센트레빌 1단지 태평3동),태평3동,37,수정구,태평3동
경로당,태평3동 목화경로당,제일로 244 (동부센트레빌 2단지 태평3동),태평3동,31,수정구,태평3동
경로당,태평3동 참사랑경로당,탄리로145번길 21 (태평3동),태평3동,38,수정구,태평3동
경로당,태평4동 금빛경로당,남문로111번길 12-1 (태평4동),태평4동,24,수정구,태평4동
경로당,태평4동 복지관경로당,공원로409번길 11 (태평4동),태평4동,79,수정구,태평4동
경로당,태평4동 선경아파트경로당,시민로 214 (태평4동),태평4동,61,수정구,태평4동
경로당,태평4동 우리경로당,태평로128번길 11-1 (태평4동),태평4동,51,수정구,태평4동
경로당,수진1동 담소경로당,탄리로17번길 6 (수진1동),수진1동,0,수정구,수진1동
경로당,수진1동 성진경로당,제일로124번길 3 (1층) (수진1동),수진1동,30,수정구,수진1동
경로당,수진1동 한마음 경로당,제일로124번길 3 (2층) (수진1동),수진1동,50,수정구,수진1동
경로당,수진1동 대광경로당,탄리로31번길 19-19(지층) (수진1동),수진1동,32,수정구,수진1동
경로당,수진2동 송월(松月)경로당 ,제일로131번길 4 (수진2동),수진2동,41,수정구,수진2동
경로당,수진2동 동명경로당,모란로 23 (수진2동),수진2동,46,수정구,수진2동
경로당,수진2동 산우경로당,"성남대로1209번길 4, 1층3,4,5호 (수진2동)",수진2동,80,수정구,수진2동
경로당,수진2동 삼부아파트경로당,모란로 65 (수진2동),수진2동,36,수정구,수진2동
경로당,수진2동 현대경로당,성남대로1210번길 18-1(수진2동),수진2동,36,수정구,수진2동
경로당,수진2동 삼정그린뷰아파트경로당,수정로 2  (수진2동),수진2동,24,수정구,수진2동
경로당,단대동 단대경로당(노인회지회),희망로482번길 13 (1층) (단대동),단대동,40,수정구,단대동
경로당,단대동 논골경로당,논골로 45-4 (단대동),단대동,27,수정구,단대동
경로당,단대동 미도아파트경로당,"희망로 472 (단대동,미도아파트 1동 지층)",단대동,28,수정구,단대동
경로당,단대동 선경논골아파트경로당,논골로 87 (단대동),단대동,35,수정구,단대동
경로당,단대동 푸르지오아파트경로당,"산성대로437번길7, 관리동 (단대동)",단대동,54,수정구,단대동
경로당,단대동 진로아파트경로당,단대로23번길 32 (단대동),단대동,26,수정구,단대동
경로당,단대동 진흥아파트경로당,단대로23번길 10 (단대동),단대동,36,수정구,단대동
경로당,단대동 휴먼시아아파트경로당,"산성대로437번길8, 201동 지층 (단대동)",단대동,40,수정구,단대동
경로당,단대동 하늘채아파트경로당,단대로15번길2 (단대동),단대동,22,수정구,단대동
경로당,산성동 장수경로당,수정남로324번길 8 (산성동),산성동,61,수정구,산성동
경로당,산성동 무지개경로당,희망로526번길 11 (산성동),산성동,68,수정구,산성동
경로당,산성동 백세건강경로당,수정로456번길 46 (산성동),산성동,51,수정구,산성동
경로당,양지동 윗말경로당,수정로578번길 9 (양지동),양지동,53,수정구,양지동
경로당,양지동 아랫말경로당,양지로35번길 4 (양지동),양지동,105,수정구,양지동
경로당,복정동 기와말경로당,성남대로1518번길 16 (복정동),복정동,57,수정구,복정동
경로당,복정동 복우물경로당,복정로20번길 20 (복정동),복정동,37,수정구,복정동
경로당,복정동 웃말경로당,"성남대로1379번길 16, 101호 102호 (복정동)",복정동,41,수정구,복정동
경로당,위례 창곡경로당,위례서일로1길 26 (202호) (위례동),위례동,51,수정구,위례동
경로당,위례 산마루경로당,위례순환로 220(55단지) 5506동 (위례동),위례동,103,수정구,위례동
경로당,위례 중앙경로당,위례광장로 311(35단지) 3506동 (위례동),위례동,314,수정구,위례동
경로당,위례 센트럴푸르지오아파트경로당,위례순환로 211(54단지) 5402동 (위례동),위례동,47,수정구,위례동
경로당,위례 래미안아파트경로당,"위례순환로 150, 3407동 (위례동)",위례동,41,수정구,위례동
경로당,위례 아트리버 경로당,"위례광장로 70,103동 1층 (위례동)",위례동,27,수정구,위례동
경로당,위례 힐스테이트아파트 경로당,"위례동로 15, 5714동 지하1층 (위례동)",위례동,71,수정구,위례동
경로당,위례 호반써밋에비뉴 경로당,"위례중앙로 216, 5303동 1층 (위례동)",위례동,48,수정구,위례동
경로당,위례 산들(자연앤래미안e편한세상아파트)경로당,"위례동로 61, 시니어스클럽 (위례동)",위례동,32,수정구,위례동
경로당,위례 소담경로당,위례순환로 17(31단지) (위례동),위례동,56,수정구,위례동
경로당,위례 자이아파트경로당,위례순환로 100 (위례동),위례동,20,수정구,위례동
경로당,위례 센트럴자이경로당,위례광장로 97 3218동,위례동,58,수정구,위례동
경로당,위례 테라스경로당,"위례동이로 24 관리동(창곡동, 이편한세상 테라스 위례)",위례동,41,수정구,위례동
경로당,위례역푸르지오경로당,"위례광장로 36(403동 1,2라인 지층)",위례동,56,수정구,위례동
경로당,위례포레스트부영경로당,"헌릉로 1005(5803동 3,4라인 지층)",위례동,49,수정구,위례동
경로당,신촌동 신촌경로당,신촌로29번길 14 (신촌동),신촌동,48,수정구,신촌동
경로당,오야동 오야경로당,오야로 22 (오야동),신촌동,44,수정구,신촌동
경로당,심곡동 심곡경로당,심곡로 35-1 (심곡동),신촌동,43,수정구,신촌동
경로당,"심곡동 한성경로당
관리사무소(606-6017)","대왕판교로 1187, 공군아파트 304동 101호 (심곡동)",신촌동,0,수정구,신촌동
경로당,고등동 새술막경로당,대왕판교로976번길 9-5 (고등동),고등동,51,수정구,고등동
경로당,고등동 등자리경로당,등자로 55 (고등동),고등동,36,수정구,고등동
경로당,고등동 고등마을경로당,고등로 57 고등마을행복주택(고등동) 101동 1층,고등동,168,수정구,고등동
경로당,고등동 신중년경로당,고등공원로 19,고등동,73,수정구,고등동
경로당,고등동 판교밸리포레자이경로당,"고등로 33, 306동 데크층 ",고등동,34,수정구,고등동
경로당,고등동 호반써밋아파트 경로당,"고등로 34, 206동 1층",고등동,40,수정구,고등동
경로당,상적동 옛골경로당,옛골로 24 (상적동),고등동,56,수정구,고등동
