구별,동별,1인세대수_계,1인세대수_남,1인세대수_여,0세-4세(계),0세-4세(남),0세-4세(여),5세-9세(계),5세-9세(남),5세-9세(여),10세-14세(계),10세-14세(남),10세-14세(여),15세-19세(계),15세-19세(남),15세-19세(여),20세-24세(계),20세-24세(남),20세-24세(여),25세-29세(계),25세-29세(남),25세-29세(여),30세-34세(계),30세-34세(남),30세-34세(여),35세-39세(계),35세-39세(남),35세-39세(여),40세-44세(계),40세-44세(남),40세-44세(여),45세-49세(계),45세-49세(남),45세-49세(여),50세-54세(계),50세-54세(남),50세-54세(여),55세-59세(계),55세-59세(남),55세-59세(여),60세-64세(계),60세-64세(남),60세-64세(여),65세 이상(계),65세 이상(남),65세 이상(여),데이터기준일자
수정구,신흥1동,4766,2774,1992,0,0,0,1,0,1,0,0,0,9,4,5,142,77,65,427,245,182,432,273,159,279,190,89,313,205,108,323,241,82,451,312,139,493,334,159,548,335,213,1348,558,790,2025-04-30
수정구,신흥2동,2540,1147,1393,1,0,1,0,0,0,2,0,2,1,0,1,21,10,11,91,42,49,262,164,98,301,196,105,253,147,106,216,108,108,198,106,92,200,87,113,234,72,162,760,215,545,2025-04-30
수정구,신흥3동,3958,2414,1544,0,0,0,0,0,0,0,0,0,9,3,6,125,58,67,349,222,127,381,251,130,252,176,76,250,170,80,294,197,97,372,272,100,422,284,138,492,315,177,1012,466,546,2025-04-30
수정구,태평1동,5107,2894,2213,0,0,0,0,0,0,1,0,1,62,43,19,490,261,229,687,402,285,480,304,176,298,198,100,318,213,105,281,190,91,356,254,102,385,251,134,458,257,201,1291,521,770,2025-04-30
수정구,태평2동,4026,2183,1843,0,0,0,1,0,1,0,0,0,20,9,11,153,80,73,454,256,198,472,309,163,251,171,80,223,149,74,213,138,75,338,226,112,349,210,139,405,223,182,1147,412,735,2025-04-30
수정구,태평3동,3386,1904,1482,0,0,0,2,1,1,1,0,1,9,5,4,121,72,49,268,171,97,295,191,104,186,127,59,193,120,73,201,133,68,295,181,114,355,226,129,401,242,159,1059,435,624,2025-04-30
수정구,태평4동,3202,1703,1499,0,0,0,1,1,0,3,1,2,8,4,4,131,61,70,347,190,157,395,264,131,189,120,69,176,109,67,186,118,68,244,155,89,269,157,112,302,178,124,951,345,606,2025-04-30
수정구,수진1동,4142,2346,1796,1,0,1,0,0,0,3,2,1,0,0,0,69,39,30,256,150,106,306,210,96,230,156,74,226,162,64,228,154,74,378,237,141,460,321,139,552,337,215,1433,578,855,2025-04-30
수정구,수진2동,3694,1985,1709,0,0,0,2,1,1,2,2,0,18,9,9,122,38,84,382,213,169,398,276,122,217,143,74,225,141,84,223,135,88,265,166,99,336,222,114,401,206,195,1103,433,670,2025-04-30
수정구,단대동,2459,1184,1275,0,0,0,1,1,0,0,0,0,3,2,1,72,21,51,204,117,87,227,131,96,184,122,62,162,104,58,145,95,50,172,97,75,224,128,96,252,119,133,813,247,566,2025-04-30
수정구,산성동,910,488,422,0,0,0,0,0,0,0,0,0,2,0,2,26,13,13,78,48,30,80,52,28,52,42,10,50,35,15,57,42,15,74,49,25,79,51,28,89,46,43,323,110,213,2025-04-30
수정구,양지동,1786,887,899,0,0,0,1,1,0,1,1,0,15,2,13,122,52,70,123,69,54,132,83,49,82,53,29,102,63,39,100,55,45,117,75,42,164,100,64,217,115,102,610,218,392,2025-04-30
수정구,복정동,4540,2926,1614,1,1,0,0,0,0,1,1,0,121,56,65,853,464,389,719,466,253,519,377,142,410,303,107,365,263,102,341,234,107,374,283,91,259,172,87,192,127,65,385,179,206,2025-04-30
수정구,위례동,5896,2698,3198,0,0,0,2,0,2,3,2,1,6,2,4,88,23,65,450,180,270,798,377,421,565,314,251,511,269,242,403,232,171,425,234,191,456,243,213,503,221,282,1686,601,1085,2025-04-30
수정구,신촌동,811,555,256,0,0,0,0,0,0,0,0,0,2,0,2,102,83,19,180,146,34,121,89,32,55,38,17,44,31,13,31,23,8,51,31,20,54,36,18,57,34,23,114,44,70,2025-04-30
수정구,고등동,2083,1043,1040,0,0,0,0,0,0,0,0,0,0,0,0,28,9,19,255,113,142,402,239,163,248,151,97,185,104,81,136,76,60,104,53,51,117,60,57,121,55,66,487,183,304,2025-04-30
수정구,시흥동,1309,777,532,0,0,0,0,0,0,0,0,0,0,0,0,51,23,28,311,168,143,323,203,120,149,95,54,100,66,34,66,47,19,66,47,19,38,26,12,49,28,21,156,74,82,2025-04-30
중원구,성남동,10983,6403,4580,0,0,0,0,0,0,2,2,0,54,24,30,465,185,280,1880,1081,799,1671,1083,588,815,557,258,739,475,264,596,409,187,766,515,251,792,533,259,875,538,337,2328,1001,1327,2025-04-30
중원구,중앙동,2851,1619,1232,0,0,0,0,0,0,0,0,0,3,2,1,23,14,9,110,61,49,198,125,73,179,124,55,218,134,84,202,138,64,241,168,73,297,197,100,362,221,141,1018,435,583,2025-04-30
중원구,금광1동,2327,1194,1133,0,0,0,0,0,0,0,0,0,4,1,3,67,34,33,133,67,66,291,179,112,262,170,92,270,166,104,188,104,84,169,110,59,158,95,63,247,106,141,538,162,376,2025-04-30
중원구,금광2동,5735,2891,2844,0,0,0,4,1,3,3,2,1,29,10,19,255,108,147,633,286,347,631,354,277,376,226,150,403,224,179,391,255,136,433,264,169,490,296,194,522,289,233,1565,576,989,2025-04-30
중원구,은행1동,1800,904,896,0,0,0,0,0,0,7,5,2,11,3,8,88,41,47,284,133,151,267,167,100,132,87,45,104,65,39,68,39,29,109,72,37,129,69,60,138,80,58,463,143,320,2025-04-30
중원구,은행2동,4943,2441,2502,0,0,0,0,0,0,1,1,0,29,2,27,215,72,143,415,211,204,479,302,177,295,195,100,284,174,110,257,159,98,348,213,135,436,252,184,497,278,219,1687,582,1105,2025-04-30
중원구,상대원1동,5723,3336,2387,0,0,0,5,1,4,1,0,1,18,14,4,127,79,48,523,336,187,631,423,208,454,318,136,429,298,131,356,247,109,484,348,136,560,376,184,603,324,279,1532,572,960,2025-04-30
중원구,상대원2동,832,511,321,0,0,0,0,0,0,0,0,0,0,0,0,19,6,13,55,36,19,60,38,22,35,18,17,50,35,15,55,36,19,83,58,25,118,87,31,131,86,45,226,111,115,2025-04-30
중원구,상대원3동,3446,1963,1483,0,0,0,1,1,0,2,2,0,3,2,1,80,40,40,217,127,90,295,193,102,208,141,67,176,115,61,221,150,71,284,175,109,389,256,133,466,279,187,1104,482,622,2025-04-30
중원구,하대원동,2603,1386,1217,0,0,0,3,1,2,1,0,1,4,3,1,81,32,49,258,152,106,274,181,93,161,116,45,137,95,42,142,102,40,219,144,75,235,138,97,307,163,144,781,259,522,2025-04-30
중원구,도촌동,3301,1506,1795,0,0,0,0,0,0,2,2,0,1,0,1,41,10,31,369,170,199,448,252,196,297,186,111,255,145,110,243,135,108,243,133,110,227,102,125,289,110,179,886,261,625,2025-04-30
분당구,분당동,3309,1736,1573,0,0,0,1,1,0,2,1,1,8,3,5,112,47,65,494,287,207,560,371,189,340,224,116,263,170,93,197,113,84,232,128,104,192,106,86,194,77,117,714,208,506,2025-04-30
분당구,수내1동,3333,1482,1851,0,0,0,1,1,0,0,0,0,8,1,7,43,11,32,442,214,228,627,331,296,369,193,176,325,181,144,263,122,141,284,142,142,211,101,110,137,59,78,623,126,497,2025-04-30
분당구,수내2동,274,105,169,0,0,0,0,0,0,1,0,1,5,3,2,3,3,0,6,3,3,17,8,9,15,10,5,21,12,9,18,12,6,16,7,9,19,10,9,16,5,11,137,32,105,2025-04-30
분당구,수내3동,1613,879,734,0,0,0,0,0,0,0,0,0,1,0,1,73,33,40,324,181,143,251,178,73,152,98,54,150,91,59,95,64,31,107,66,41,91,47,44,105,50,55,264,71,193,2025-04-30
분당구,정자동,2602,1539,1063,0,0,0,0,0,0,0,0,0,4,3,1,127,49,78,609,388,221,530,373,157,293,206,87,192,129,63,142,89,53,118,73,45,105,54,51,114,55,59,368,120,248,2025-04-30
분당구,정자1동,6329,3011,3318,2,1,1,1,0,1,4,2,2,17,9,8,167,47,120,1199,526,673,1410,794,616,809,409,400,584,276,308,542,260,282,466,237,229,288,147,141,191,94,97,649,209,440,2025-04-30
분당구,정자2동,3526,1550,1976,0,0,0,0,0,0,1,1,0,3,0,3,20,8,12,323,145,178,552,340,212,356,190,166,281,149,132,204,101,103,220,99,121,190,86,104,254,111,143,1122,320,802,2025-04-30
분당구,정자3동,1934,869,1065,0,0,0,1,1,0,2,2,0,4,2,2,44,13,31,240,132,108,280,176,104,168,103,65,156,89,67,125,73,52,154,61,93,102,52,50,108,46,62,550,119,431,2025-04-30
분당구,서현1동,4429,2143,2286,1,0,1,0,0,0,1,0,1,9,3,6,154,50,104,680,310,370,871,521,350,520,314,206,371,213,158,298,162,136,298,155,143,232,110,122,202,92,110,792,213,579,2025-04-30
분당구,서현2동,1633,809,824,0,0,0,0,0,0,1,0,1,5,2,3,50,19,31,240,155,85,246,165,81,171,115,56,122,81,41,83,45,38,104,47,57,98,41,57,110,36,74,403,103,300,2025-04-30
분당구,이매1동,1830,865,965,0,0,0,0,0,0,0,0,0,3,1,2,29,18,11,170,101,69,250,159,91,196,129,67,134,77,57,139,79,60,148,68,80,101,43,58,117,53,64,543,137,406,2025-04-30
분당구,이매2동,646,268,378,0,0,0,0,0,0,0,0,0,2,2,0,10,5,5,35,16,19,51,30,21,53,31,22,46,19,27,45,27,18,45,18,27,41,17,24,47,15,32,271,88,183,2025-04-30
분당구,야탑1동,3054,1604,1450,0,0,0,0,0,0,2,1,1,6,2,4,107,43,64,611,355,256,561,342,219,283,169,114,218,127,91,183,106,77,203,120,83,164,90,74,171,87,84,545,162,383,2025-04-30
분당구,야탑2동,1540,622,918,1,1,0,0,0,0,0,0,0,1,1,0,32,7,25,191,96,95,201,107,94,169,87,82,98,51,47,101,51,50,105,42,63,74,30,44,87,33,54,480,116,364,2025-04-30
분당구,야탑3동,5307,2749,2558,0,0,0,1,1,0,1,0,1,7,2,5,109,39,70,653,416,237,757,492,265,468,310,158,416,263,153,317,191,126,339,191,148,347,190,157,403,185,218,1489,469,1020,2025-04-30
분당구,금곡동,4516,1935,2581,0,0,0,2,1,1,1,0,1,9,7,2,56,15,41,451,179,272,695,374,321,457,263,194,315,155,160,269,137,132,300,165,135,281,131,150,301,125,176,1379,383,996,2025-04-30
분당구,구미동,4773,2011,2762,1,0,1,0,0,0,2,1,1,2,0,2,80,19,61,574,205,369,691,362,329,437,256,181,365,196,169,311,157,154,324,157,167,286,138,148,341,154,187,1359,366,993,2025-04-30
분당구,구미1동,2502,1138,1364,0,0,0,0,0,0,1,1,0,1,0,1,82,17,65,353,150,203,387,218,169,232,143,89,170,91,79,166,92,74,192,100,92,168,72,96,170,82,88,580,172,408,2025-04-30
분당구,판교동,1311,614,697,1,1,0,2,0,2,6,1,5,2,1,1,21,9,12,108,60,48,156,97,59,123,72,51,127,62,65,138,61,77,128,64,64,111,62,49,93,37,56,295,87,208,2025-04-30
분당구,삼평동,2248,1051,1197,0,0,0,0,0,0,2,0,2,11,6,5,33,12,21,349,162,187,441,255,186,227,135,92,199,125,74,123,66,57,111,51,60,140,73,67,161,57,104,451,109,342,2025-04-30
분당구,백현동,2827,1250,1577,0,0,0,2,1,1,0,0,0,8,5,3,38,15,23,269,140,129,458,229,229,261,161,100,240,133,107,175,99,76,199,95,104,178,78,100,247,88,159,752,206,546,2025-04-30
분당구,운중동,2488,1135,1353,0,0,0,4,2,2,1,1,0,5,3,2,19,9,10,156,69,87,325,179,146,277,168,109,282,147,135,256,122,134,214,87,127,180,81,99,209,98,111,560,169,391,2025-04-30
